,ps,02-04-2025,-,-,-,35,02-04-2025 17:34:50.494,April,35 - Temperature set to device,0
H&E,ps,02-04-2025,L3,-,-,0,02-04-2025 17:42:38.654,April,Liquid Level - 451,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:42:50.341,April,Home Reached,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:42:52.143,April,Home Reached,478
H&E,ps,02-04-2025,,,R1,0,02-04-2025 17:42:53.403,April,Test Started,478
H&E,ps,02-04-2025,L1,Loading,R1,0,02-04-2025 17:43:01.374,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R1,0,02-04-2025 17:43:12.295,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R1,0,02-04-2025 17:45:18.757,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R1,0,02-04-2025 17:45:25.155,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R1,0,02-04-2025 17:47:31.097,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R1,0,02-04-2025 17:47:37.505,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:47:41.151,April,Home Reached,478
H&E,ps,02-04-2025,,,R2,0,02-04-2025 17:47:41.252,April,Test Started,478
H&E,ps,02-04-2025,L2,Loading,R2,0,02-04-2025 17:47:48.690,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R2,0,02-04-2025 17:48:00.093,April,Placed In,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R1,0,02-04-2025 17:49:44.540,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R1,0,02-04-2025 17:49:51.952,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R2,0,02-04-2025 17:50:08.536,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R2,0,02-04-2025 17:50:14.948,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R1,0,02-04-2025 17:52:00.022,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R1,0,02-04-2025 17:52:07.827,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R2,0,02-04-2025 17:52:21.469,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R2,0,02-04-2025 17:52:27.876,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:52:46.871,April,Home Reached,478
H&E,ps,02-04-2025,,,R3,0,02-04-2025 17:52:47.017,April,Test Started,478
H&E,ps,02-04-2025,L3,Loading,R3,0,02-04-2025 17:52:54.412,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R3,0,02-04-2025 17:53:05.834,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 17:53:51.338,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,J8,95% Alcohol,R1,0,02-04-2025 17:54:17.319,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R1,0,02-04-2025 17:54:26.119,April,Placed In,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R2,0,02-04-2025 17:54:50.879,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R2,0,02-04-2025 17:54:58.292,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R3,0,02-04-2025 17:55:14.310,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R3,0,02-04-2025 17:55:20.742,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 17:56:26.544,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R1,0,02-04-2025 17:56:33.447,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R1,0,02-04-2025 17:56:42.725,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R2,0,02-04-2025 17:57:07.247,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R2,0,02-04-2025 17:57:15.046,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R3,0,02-04-2025 17:57:27.693,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R3,0,02-04-2025 17:57:34.118,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:57:52.582,April,Home Reached,478
H&E,ps,02-04-2025,L1,-,-,0,02-04-2025 17:58:07.448,April,Liquid Level - 500,478
H&E,ps,02-04-2025,L2,-,-,0,02-04-2025 17:58:10.307,April,Liquid Level - 502,478
H&E,ps,02-04-2025,L3,-,-,0,02-04-2025 17:58:13.182,April,Liquid Level - 505,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:58:24.845,April,Home Reached,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:58:26.688,April,Home Reached,478
H&E,ps,02-04-2025,,,R4,0,02-04-2025 17:58:27.959,April,Test Started,478
H&E,ps,02-04-2025,L1,Loading,R4,0,02-04-2025 17:58:35.886,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R4,0,02-04-2025 17:58:46.808,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 17:58:58.456,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,J8,95% Alcohol,R2,0,02-04-2025 17:59:24.474,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R2,0,02-04-2025 17:59:33.254,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 17:59:41.212,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R3,0,02-04-2025 17:59:51.132,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R3,0,02-04-2025 17:59:58.547,April,Placed In,478
H&E,ps,02-04-2025,J7,Hematoxin,R1,0,02-04-2025 18:00:08.471,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R1,0,02-04-2025 18:00:19.775,April,Placed In,478
H&E,ps,02-04-2025,J12,XYLENE-1,R4,0,02-04-2025 18:00:53.279,April,Picked From,478
H&E,ps,02-04-2025,J11,XYLENE-2,R4,0,02-04-2025 18:00:59.682,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:01:20.199,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R1,0,02-04-2025 18:01:27.596,April,Picked From,478
H&E,ps,02-04-2025,J17,Mild Acid,R1,0,02-04-2025 18:01:34.515,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:01:38.718,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R2,0,02-04-2025 18:01:45.127,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R2,0,02-04-2025 18:01:54.447,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R3,0,02-04-2025 18:02:12.564,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R3,0,02-04-2025 18:02:20.356,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:02:25.926,April,Water Valve : 4 is On,478
H&E,ps,02-04-2025,J17,Mild Acid,R1,0,02-04-2025 18:02:41.424,April,Picked From,478
H&E,ps,02-04-2025,W4,Running TAP Water,R1,0,02-04-2025 18:02:47.855,April,Placed In,478
H&E,ps,02-04-2025,J11,XYLENE-2,R4,0,02-04-2025 18:03:06.655,April,Picked From,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R4,0,02-04-2025 18:03:13.083,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:03:48.380,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W4,Running TAP Water,R1,0,02-04-2025 18:03:54.779,April,Picked From,478
H&E,ps,02-04-2025,J18,Bluing,R1,0,02-04-2025 18:04:01.687,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:04:03.786,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,J8,95% Alcohol,R3,0,02-04-2025 18:04:29.782,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R3,0,02-04-2025 18:04:41.576,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:04:48.914,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:04:49.305,April,Water Valve : 6 is On,478
H&E,ps,02-04-2025,J7,Hematoxin,R2,0,02-04-2025 18:05:03.929,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R2,0,02-04-2025 18:05:12.208,April,Placed In,478
H&E,ps,02-04-2025,J18,Bluing,R1,0,02-04-2025 18:05:30.626,April,Picked From,478
H&E,ps,02-04-2025,W6,Running TAP Water,R1,0,02-04-2025 18:05:37.034,April,Placed In,478
H&E,ps,02-04-2025,J10,100 % Alcohol,R4,0,02-04-2025 18:05:46.045,April,Picked From,478
H&E,ps,02-04-2025,J9,70%Alcohol,R4,0,02-04-2025 18:05:53.473,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:06:12.650,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R2,0,02-04-2025 18:06:19.059,April,Picked From,478
H&E,ps,02-04-2025,J17,Mild Acid,R2,0,02-04-2025 18:06:25.982,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:06:42.026,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R3,0,02-04-2025 18:06:48.439,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R3,0,02-04-2025 18:06:57.758,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:07:05.491,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,W6,Running TAP Water,R1,0,02-04-2025 18:07:13.892,April,Picked From,478
H&E,ps,02-04-2025,J19,Ethnol,R1,0,02-04-2025 18:07:22.172,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:07:27.379,April,Water Valve : 4 is On,478
H&E,ps,02-04-2025,J17,Mild Acid,R2,0,02-04-2025 18:07:37.877,April,Picked From,478
H&E,ps,02-04-2025,W4,Running TAP Water,R2,0,02-04-2025 18:07:44.293,April,Placed In,478
H&E,ps,02-04-2025,J9,70%Alcohol,R4,0,02-04-2025 18:08:00.437,April,Picked From,478
H&E,ps,02-04-2025,J8,95% Alcohol,R4,0,02-04-2025 18:08:08.258,April,Placed In,478
H&E,ps,02-04-2025,J19,Ethnol,R1,0,02-04-2025 18:08:31.630,April,Picked From,478
H&E,ps,02-04-2025,J20,Eosin,R1,0,02-04-2025 18:08:38.034,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:08:44.684,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W4,Running TAP Water,R2,0,02-04-2025 18:08:52.066,April,Picked From,478
H&E,ps,02-04-2025,J18,Bluing,R2,0,02-04-2025 18:08:58.981,April,Placed In,478
H&E,ps,02-04-2025,J20,Eosin,R1,0,02-04-2025 18:09:29.008,April,Picked From,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R1,0,02-04-2025 18:09:35.421,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:09:41.156,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:09:42.406,April,Water Valve : 6 is On,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:09:51.704,April,Water Valve : 3 is On,478
H&E,ps,02-04-2025,J7,Hematoxin,R3,0,02-04-2025 18:10:04.166,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R3,0,02-04-2025 18:10:15.468,April,Placed In,478
H&E,ps,02-04-2025,J18,Bluing,R2,0,02-04-2025 18:10:33.966,April,Picked From,478
H&E,ps,02-04-2025,W6,Running TAP Water,R2,0,02-04-2025 18:10:40.364,April,Placed In,478
H&E,ps,02-04-2025,J8,95% Alcohol,R4,0,02-04-2025 18:11:00.772,April,Picked From,478
H&E,ps,02-04-2025,W3,Running TAP Water,R4,0,02-04-2025 18:11:12.575,April,Placed In,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R1,0,02-04-2025 18:11:30.827,April,Picked From,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R1,0,02-04-2025 18:11:37.233,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:11:40.776,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,W6,Running TAP Water,R2,0,02-04-2025 18:11:49.167,April,Picked From,478
H&E,ps,02-04-2025,J19,Ethnol,R2,0,02-04-2025 18:12:00.497,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:12:06.940,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R3,0,02-04-2025 18:12:15.340,April,Picked From,478
H&E,ps,02-04-2025,J17,Mild Acid,R3,0,02-04-2025 18:12:22.315,April,Placed In,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R1,0,02-04-2025 18:12:45.706,April,Picked From,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R1,0,02-04-2025 18:12:52.123,April,Placed In,478
H&E,ps,02-04-2025,J19,Ethnol,R2,0,02-04-2025 18:13:07.939,April,Picked From,478
H&E,ps,02-04-2025,J20,Eosin,R2,0,02-04-2025 18:13:14.362,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:13:15.722,April,Water Valve : 4 is On,478
H&E,ps,02-04-2025,J17,Mild Acid,R3,0,02-04-2025 18:13:28.221,April,Picked From,478
H&E,ps,02-04-2025,W4,Running TAP Water,R3,0,02-04-2025 18:13:34.635,April,Placed In,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 18:13:36.025,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W3,Running TAP Water,R4,0,02-04-2025 18:13:42.406,April,Picked From,478
H&E,ps,02-04-2025,J7,Hematoxin,R4,0,02-04-2025 18:13:55.697,April,Placed In,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R1,0,02-04-2025 18:14:10.084,April,Picked From,478
H&E,ps,02-04-2025,J24,XYLENE-1,R1,0,02-04-2025 18:14:16.492,April,Placed In,478
H&E,ps,02-04-2025,J20,Eosin,R2,0,02-04-2025 18:14:26.823,April,Picked From,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R2,0,02-04-2025 18:14:33.225,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:14:35.084,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W4,Running TAP Water,R3,0,02-04-2025 18:14:42.459,April,Picked From,478
H&E,ps,02-04-2025,J18,Bluing,R3,0,02-04-2025 18:14:49.382,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:15:32.766,April,Water Valve : 6 is On,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R2,0,02-04-2025 18:15:39.173,April,Picked From,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R2,0,02-04-2025 18:15:45.570,April,Placed In,478
H&E,ps,02-04-2025,J18,Bluing,R3,0,02-04-2025 18:15:55.332,April,Picked From,478
H&E,ps,02-04-2025,W6,Running TAP Water,R3,0,02-04-2025 18:16:01.729,April,Placed In,478
H&E,ps,02-04-2025,J24,XYLENE-1,R1,0,02-04-2025 18:16:22.978,April,Picked From,478
H&E,ps,02-04-2025,J25,XYLENE-2,R1,0,02-04-2025 18:16:29.387,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:16:39.139,April,Water Valve : 1 is On,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R2,0,02-04-2025 18:16:53.468,April,Picked From,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R2,0,02-04-2025 18:16:59.865,April,Placed In,478
H&E,ps,02-04-2025,J7,Hematoxin,R4,0,02-04-2025 18:17:07.640,April,Picked From,478
H&E,ps,02-04-2025,W1,Running TAP Water,R4,0,02-04-2025 18:17:18.917,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:17:28.165,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,W6,Running TAP Water,R3,0,02-04-2025 18:17:36.588,April,Picked From,478
H&E,ps,02-04-2025,J19,Ethnol,R3,0,02-04-2025 18:17:44.891,April,Placed In,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R2,0,02-04-2025 18:18:08.862,April,Picked From,478
H&E,ps,02-04-2025,J24,XYLENE-1,R2,0,02-04-2025 18:18:15.277,April,Placed In,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 18:18:19.356,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W1,Running TAP Water,R4,0,02-04-2025 18:18:27.765,April,Picked From,478
H&E,ps,02-04-2025,J17,Mild Acid,R4,0,02-04-2025 18:18:34.656,April,Placed In,478
H&E,ps,02-04-2025,J25,XYLENE-2,R1,0,02-04-2025 18:18:45.856,April,Picked From,478
H&E,ps,02-04-2025,U1,Unloading,R1,0,02-04-2025 18:19:00.174,April,Placed In,478
H&E,ps,02-04-2025,U1,Unloading,R1,0,02-04-2025 18:19:01.092,April,Test Completed,478
H&E,ps,02-04-2025,J19,Ethnol,R3,0,02-04-2025 18:19:19.321,April,Picked From,478
H&E,ps,02-04-2025,J20,Eosin,R3,0,02-04-2025 18:19:25.736,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:19:27.072,April,Water Valve : 4 is On,478
H&E,ps,02-04-2025,J17,Mild Acid,R4,0,02-04-2025 18:19:41.594,April,Picked From,478
H&E,ps,02-04-2025,W4,Running TAP Water,R4,0,02-04-2025 18:19:48.003,April,Placed In,478
H&E,ps,02-04-2025,J20,Eosin,R3,0,02-04-2025 18:20:16.646,April,Picked From,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R3,0,02-04-2025 18:20:23.053,April,Placed In,478
H&E,ps,02-04-2025,J24,XYLENE-1,R2,0,02-04-2025 18:20:32.256,April,Picked From,478
H&E,ps,02-04-2025,J25,XYLENE-2,R2,0,02-04-2025 18:20:38.664,April,Placed In,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 18:20:48.405,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W4,Running TAP Water,R4,0,02-04-2025 18:20:54.308,April,Picked From,478
H&E,ps,02-04-2025,J18,Bluing,R4,0,02-04-2025 18:21:01.203,April,Placed In,478
H&E,ps,02-04-2025,J21,95 % Alcohol,R3,0,02-04-2025 18:21:30.739,April,Picked From,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R3,0,02-04-2025 18:21:37.148,April,Placed In,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 18:21:44.593,April,Water Valve : 6 is On,478
H&E,ps,02-04-2025,J18,Bluing,R4,0,02-04-2025 18:22:07.110,April,Picked From,478
H&E,ps,02-04-2025,W6,Running TAP Water,R4,0,02-04-2025 18:22:13.527,April,Placed In,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 18:22:20.537,April,Home Reached,478
H&E,ps,02-04-2025,,,R5,0,02-04-2025 18:22:20.576,April,Test Started,478
H&E,ps,02-04-2025,L2,Loading,R5,0,02-04-2025 18:22:33.471,April,Picked From,478
H&E,ps,02-04-2025,J12,XYLENE-1,R5,0,02-04-2025 18:22:44.912,April,Placed In,478
H&E,ps,02-04-2025,J25,XYLENE-2,R2,0,02-04-2025 18:23:00.601,April,Picked From,478
H&E,ps,02-04-2025,U2,Unloading,R2,0,02-04-2025 18:23:13.878,April,Placed In,478
H&E,ps,02-04-2025,U2,Unloading,R2,0,02-04-2025 18:23:18.340,April,Test Completed,478
H&E,ps,02-04-2025,J22,100 % Alcohol,R3,0,02-04-2025 18:23:36.845,April,Picked From,478
H&E,ps,02-04-2025,J23,100 % Alcohol,R3,0,02-04-2025 18:23:43.254,April,Placed In,478
