,ps,21-04-2025,-,-,-,35,21-04-2025 18:15:43.974,April,35 - Temperature set to device,0
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:19:57.256,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W3,Tap Water,--,0,21-04-2025 18:19:57.974,April,Water Valve : 3 is Off,555
H&E,ps,21-04-2025,W4,Tap Water,--,0,21-04-2025 18:19:58.687,April,Water Valve : 4 is Off,555
H&E,ps,21-04-2025,W5,Tap Water,--,0,21-04-2025 18:19:59.397,April,Water Valve : 5 is Off,555
H&E,ps,21-04-2025,W6,Tap Water,--,0,21-04-2025 18:20:00.110,April,Water Valve : 6 is Off,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:20:01.596,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:20:03.815,April,Home Reached,555
H&E,ps,21-04-2025,L1,-,-,0,21-04-2025 18:20:14.321,April,Liquid Level - 500,555
H&E,ps,21-04-2025,L2,-,-,0,21-04-2025 18:20:17.327,April,Liquid Level - 483,555
H&E,ps,21-04-2025,L3,-,-,0,21-04-2025 18:20:20.333,April,Liquid Level - 450,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:20:32.139,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:20:33.853,April,Home Reached,555
H&E,ps,21-04-2025,,,R1,0,21-04-2025 18:20:35.402,April,Test Started,555
H&E,ps,21-04-2025,L1,Loading,R1,0,21-04-2025 18:20:43.084,April,Picked From,555
H&E,ps,21-04-2025,H1,Heating,R1,0,21-04-2025 18:20:50.218,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:20:51.271,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:20:51.998,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:21:07.198,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:21:11.318,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:21:22.417,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:21:37.634,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:21:52.854,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:22:08.071,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:22:23.295,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:22:38.504,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:22:53.727,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:23:08.940,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:23:24.133,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:23:39.366,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:23:54.572,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:24:09.782,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:24:25.009,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:24:40.225,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:24:55.466,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:25:10.650,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:25:25.859,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:25:41.061,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:25:56.263,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:26:10.560,April,Heater Door Opened,555
H&E,ps,21-04-2025,,,R2,0,21-04-2025 18:26:11.109,April,Test Started,555
H&E,ps,21-04-2025,L2,Loading,R2,0,21-04-2025 18:26:18.244,April,Picked From,555
H&E,ps,21-04-2025,H2,Heating,R2,0,21-04-2025 18:26:25.355,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:26:26.442,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:26:27.152,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,36,21-04-2025 18:26:42.371,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:26:47.016,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:26:57.578,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:27:12.795,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:27:28.002,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:27:43.200,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:27:58.417,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:28:13.625,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:28:28.835,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:28:44.041,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:28:59.242,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:29:14.452,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:29:29.649,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:29:44.861,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:30:00.065,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:30:15.261,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:30:30.518,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:30:46.723,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:30:50.800,April,Heater Door Opened,555
H&E,ps,21-04-2025,H1,Heating,R1,0,21-04-2025 18:30:57.421,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:30:57.983,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R1,0,21-04-2025 18:31:05.095,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:31:09.452,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:31:24.663,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:31:39.851,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:31:55.060,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:31:56.753,April,Heater Door Opened,555
H&E,ps,21-04-2025,,,R3,0,21-04-2025 18:31:57.287,April,Test Started,555
H&E,ps,21-04-2025,L3,Loading,R3,0,21-04-2025 18:32:04.400,April,Picked From,555
H&E,ps,21-04-2025,H1,Heating,R3,0,21-04-2025 18:32:11.528,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:32:12.606,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:32:13.323,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:32:28.533,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:32:33.198,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:32:43.739,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:32:59.937,April,Device temperature ,555
H&E,ps,21-04-2025,J1,XYLENE-1,R1,0,21-04-2025 18:33:11.699,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R1,0,21-04-2025 18:33:17.818,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:33:22.295,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:33:37.524,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:33:52.720,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:34:07.922,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:34:23.120,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:34:38.309,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:34:53.493,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:35:09.681,April,Device temperature ,555
H&E,ps,21-04-2025,J2,XYLENE-2,R1,0,21-04-2025 18:35:23.423,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R1,0,21-04-2025 18:35:30.035,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:35:34.016,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:35:49.243,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:36:04.471,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:36:20.672,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:36:25.924,April,Heater Door Opened,555
H&E,ps,21-04-2025,H2,Heating,R2,0,21-04-2025 18:36:34.019,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:36:34.588,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R2,0,21-04-2025 18:36:41.694,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:36:45.589,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:37:00.779,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:37:16.966,April,Device temperature ,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R1,0,21-04-2025 18:37:37.140,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R1,0,21-04-2025 18:37:43.249,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:37:48.249,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:38:03.542,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:38:04.631,April,Heater Door Opened,555
H&E,ps,21-04-2025,L1,-,-,0,21-04-2025 18:38:13.649,April,Liquid Level - 476,555
H&E,ps,21-04-2025,L2,-,-,0,21-04-2025 18:38:16.655,April,Liquid Level - 462,555
H&E,ps,21-04-2025,L3,-,-,0,21-04-2025 18:38:19.677,April,Liquid Level - 495,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:38:31.467,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:38:33.192,April,Home Reached,555
H&E,ps,21-04-2025,,,R4,0,21-04-2025 18:38:34.728,April,Test Started,555
H&E,ps,21-04-2025,L1,Loading,R4,0,21-04-2025 18:38:42.359,April,Picked From,555
H&E,ps,21-04-2025,H2,Heating,R4,0,21-04-2025 18:38:49.454,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:38:50.549,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:38:51.229,April,Device temperature ,555
H&E,ps,21-04-2025,J1,XYLENE-1,R2,0,21-04-2025 18:38:58.305,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R2,0,21-04-2025 18:39:04.428,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:39:09.379,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:39:24.592,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:39:40.824,April,Device temperature ,555
H&E,ps,21-04-2025,J5,70%Alcohol,R1,0,21-04-2025 18:39:50.348,April,Picked From,555
H&E,ps,21-04-2025,J6,95% Alcohol,R1,0,21-04-2025 18:39:56.465,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:40:01.448,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:40:16.705,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:40:31.913,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:40:48.129,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:41:03.338,April,Device temperature ,555
H&E,ps,21-04-2025,J2,XYLENE-2,R2,0,21-04-2025 18:41:11.556,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R2,0,21-04-2025 18:41:18.156,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:41:22.633,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:41:37.839,April,Device temperature ,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:41:39.685,April,Water Valve : 1 is On,555
H&E,ps,21-04-2025,J6,95% Alcohol,R1,0,21-04-2025 18:42:03.080,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:42:03.299,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R1,0,21-04-2025 18:42:11.265,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:42:20.033,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:42:22.111,April,Heater Door Opened,555
H&E,ps,21-04-2025,H1,Heating,R3,0,21-04-2025 18:42:28.721,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:42:29.280,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R3,0,21-04-2025 18:42:36.398,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,37,21-04-2025 18:42:40.669,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:42:55.872,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:43:12.076,April,Device temperature ,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R2,0,21-04-2025 18:43:25.281,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R2,0,21-04-2025 18:43:31.385,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:43:36.391,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:43:51.627,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:44:07.834,April,Device temperature ,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:44:11.479,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R1,0,21-04-2025 18:44:19.871,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:44:25.024,April,Home Reached,555
H&E,ps,21-04-2025,J8,Hematoxin,R1,0,21-04-2025 18:44:25.490,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:44:37.428,April,Home Reached,555
H&E,ps,21-04-2025,J1,XYLENE-1,R3,0,21-04-2025 18:44:48.005,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R3,0,21-04-2025 18:44:54.113,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:44:58.482,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:45:00.891,April,Heater Door Opened,555
H&E,ps,21-04-2025,,,R5,0,21-04-2025 18:45:01.427,April,Test Started,555
H&E,ps,21-04-2025,L2,Loading,R5,0,21-04-2025 18:45:08.552,April,Picked From,555
H&E,ps,21-04-2025,H1,Heating,R5,0,21-04-2025 18:45:15.680,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:45:16.773,April,Heater Door Closed,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:45:17.487,April,Device temperature ,555
H&E,ps,21-04-2025,J5,70%Alcohol,R2,0,21-04-2025 18:45:39.468,April,Picked From,555
H&E,ps,21-04-2025,J6,95% Alcohol,R2,0,21-04-2025 18:45:45.575,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:45:50.331,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:46:05.531,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:46:20.743,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:46:35.976,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:46:52.196,April,Device temperature ,555
H&E,ps,21-04-2025,J2,XYLENE-2,R3,0,21-04-2025 18:47:02.199,April,Picked From,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R3,0,21-04-2025 18:47:08.802,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:47:09.699,April,Water Valve : 2 is On,555
H&E,ps,21-04-2025,J8,Hematoxin,R1,0,21-04-2025 18:47:32.584,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:47:32.820,April,Home Reached,555
H&E,ps,21-04-2025,W2,Running TAP Water,R1,0,21-04-2025 18:47:40.764,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:47:50.243,April,Home Reached,555
H&E,ps,21-04-2025,J6,95% Alcohol,R2,0,21-04-2025 18:48:03.679,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:48:03.912,April,Home Reached,555
H&E,ps,21-04-2025,W1,Running TAP Water,R2,0,21-04-2025 18:48:11.874,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:48:14.975,April,Home Reached,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:48:15.315,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:48:33.536,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:48:50.025,April,Heater Door Opened,555
H&E,ps,21-04-2025,H2,Heating,R4,0,21-04-2025 18:48:56.610,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:48:57.174,April,Heater Door Closed,555
H&E,ps,21-04-2025,J1,XYLENE-1,R4,0,21-04-2025 18:49:04.318,April,Placed In,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:49:08.974,April,Water Valve : 2 is Off,555
H&E,ps,21-04-2025,W2,Running TAP Water,R1,0,21-04-2025 18:49:16.865,April,Picked From,555
H&E,ps,21-04-2025,J9,Mild Acid,R1,0,21-04-2025 18:49:23.505,April,Placed In,555
H&E,ps,21-04-2025,J4,100 % Alcohol,R3,0,21-04-2025 18:49:31.145,April,Picked From,555
H&E,ps,21-04-2025,J5,70%Alcohol,R3,0,21-04-2025 18:49:37.255,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,38,21-04-2025 18:49:41.966,April,Device temperature ,555
H&E,ps,21-04-2025,-,-,-,39,21-04-2025 18:50:00.147,April,Device temperature ,555
H&E,ps,21-04-2025,W2,Tap Water,--,0,21-04-2025 18:50:06.704,April,Water Valve : 2 is On,555
H&E,ps,21-04-2025,W1,Tap Water,--,0,21-04-2025 18:50:12.085,April,Water Valve : 1 is Off,555
H&E,ps,21-04-2025,W1,Running TAP Water,R2,0,21-04-2025 18:50:17.990,April,Picked From,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:50:23.125,April,Home Reached,555
H&E,ps,21-04-2025,J8,Hematoxin,R2,0,21-04-2025 18:50:23.582,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:50:35.507,April,Home Reached,555
H&E,ps,21-04-2025,J9,Mild Acid,R1,0,21-04-2025 18:50:47.098,April,Picked From,555
H&E,ps,21-04-2025,W2,Running TAP Water,R1,0,21-04-2025 18:50:53.691,April,Placed In,555
H&E,ps,21-04-2025,J1,XYLENE-1,R4,0,21-04-2025 18:51:10.922,April,Picked From,555
H&E,ps,21-04-2025,J2,XYLENE-2,R4,0,21-04-2025 18:51:17.035,April,Placed In,555
H&E,ps,21-04-2025,-,-,-,0,21-04-2025 18:51:20.308,April,Heater Door Opened,555
H&E,ps,21-04-2025,,,R6,0,21-04-2025 18:51:20.858,April,Test Started,555
