Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
Command Sent Home Command - #10,5,01111111*2199  * 08-04-2025 14:24:13.312
CRC-Response  - 10,5,I001,01111111*c9ef * 08-04-2025 14:24:13.525
CRC-Response  - 10,5,F000*8728 * 08-04-2025 14:24:13.530
Command Sent Home Command - #11,5,01111111*e264  * 08-04-2025 14:24:16.208
CRC-Response  - 11,5,I001,01111111*59be * 08-04-2025 14:24:16.420
CRC-Response  - 11,5,F000*4be9 * 08-04-2025 14:24:16.423
Command Sent Level Sensing For L1 - #12,4,17564,16380,0,0*6888  * 08-04-2025 14:24:18.79
CRC-Response  - 12,4,I001*5b6a * 08-04-2025 14:24:18.290
CRC-Response  - 12,4,F000,959*541e * 08-04-2025 14:24:26.572
L1 Value - 959 * 08-04-2025 14:24:26.595
Command Sent Level Sensing For L2 - #13,4,13934,16380,0,0*90ad  * 08-04-2025 14:24:26.942
CRC-Response  - 13,4,I001*97ab * 08-04-2025 14:24:27.156
CRC-Response  - 13,4,F000,959*97e3 * 08-04-2025 14:24:29.442
L2 Value - 959 * 08-04-2025 14:24:29.462
Command Sent Level Sensing For L3 - #14,4,10304,16380,0,0*e907  * 08-04-2025 14:24:29.830
CRC-Response  - 14,4,I001*71ea * 08-04-2025 14:24:30.45
CRC-Response  - 14,4,F000,960*aad6 * 08-04-2025 14:24:32.329
L3 Value - 960 * 08-04-2025 14:24:32.348
Command Sent Home Command - #15,5,01111111*2d95  * 08-04-2025 14:24:32.700
CRC-Response  - 15,5,I001,01111111*98fc * 08-04-2025 14:24:32.913
CRC-Response  - 15,5,F000*b8e8 * 08-04-2025 14:24:32.916
Command Sent Home Command - #16,5,01111111*2991  * 08-04-2025 14:24:34.605
CRC-Response  - 16,5,I001,01111111*680c * 08-04-2025 14:24:34.816
CRC-Response  - 16,5,F000*ada8 * 08-04-2025 14:24:34.823
Rack - 1Protocol Started * 08-04-2025 14:24:36.91
Command Sent Rack-1 Picked from L1 - #17,2,2,17564,16380,0,0*c95b  * 08-04-2025 14:24:36.308
CRC-Response  - 17,2,I001,2*7462 * 08-04-2025 14:24:36.524
CRC-Response  - 17,2,F000,2*4b33 * 08-04-2025 14:24:43.705
RA Picked Rack From L1 * 08-04-2025 14:24:43.716
Command Sent Rack-1 Placed in H1 - #18,3,2,2688,1000,0,1*f3aa  * 08-04-2025 14:24:44.236
CRC-Response  - 18,3,I001,2*8893 * 08-04-2025 14:24:44.448
CRC-Response  - 18,3,F000,2*b7c2 * 08-04-2025 14:24:51.324
RA Placed Rack in H1 * 08-04-2025 14:24:51.329
Command Sent HEATER DOOR CLOSE - #19,8,1,0*32c8  * 08-04-2025 14:24:52.161
CRC-Response  - 19,8,I001*242b * 08-04-2025 14:24:52.374
CRC-Response  - 19,8,F000*f0e9 * 08-04-2025 14:24:52.717
Command Sent READ TEMPERATURE - #20,11*4907  * 08-04-2025 14:24:53.48
CRC-Response  - 20,11,F000,545*0f11 * 08-04-2025 14:24:53.259
Command Sent READ TEMPERATURE - #21,11*b506  * 08-04-2025 14:25:08.428
CRC-Response  - 21,11,F000,545*8e13 * 08-04-2025 14:25:08.639
Command Sent READ TEMPERATURE - #22,11*f106  * 08-04-2025 14:25:12.620
CRC-Response  - 22,11,F000,545*4d16 * 08-04-2025 14:25:12.824
Command Sent READ TEMPERATURE - #23,11*0d07  * 08-04-2025 14:25:23.797
CRC-Response  - 23,11,F000,-273*db6b * 08-04-2025 14:25:24.9
Command Sent READ TEMPERATURE - #24,11*7906  * 08-04-2025 14:25:39.175
CRC-Response  - 24,11,F000,447*8acf * 08-04-2025 14:25:39.386
Command Sent READ TEMPERATURE - #25,11*8507  * 08-04-2025 14:25:54.567
CRC-Response  - 25,11,F000,545*0a1d * 08-04-2025 14:25:55.116
Command Sent READ TEMPERATURE - #26,11*c107  * 08-04-2025 14:26:10.281
CRC-Response  - 26,11,F000,545*c918 * 08-04-2025 14:26:10.499
Command Sent READ TEMPERATURE - #27,11*3d06  * 08-04-2025 14:26:25.665
CRC-Response  - 27,11,F000,545*481a * 08-04-2025 14:26:25.906
Command Sent READ TEMPERATURE - #28,11*2905  * 08-04-2025 14:26:41.78
CRC-Response  - 28,11,F000,545*470e * 08-04-2025 14:26:41.386
Command Sent READ TEMPERATURE - #29,11*d504  * 08-04-2025 14:26:56.553
CRC-Response  - 29,11,F000,545*c60c * 08-04-2025 14:26:56.766
Command Sent READ TEMPERATURE - #30,11*893a  * 08-04-2025 14:27:11.940
CRC-Response  - 30,11,F000,545*ce11 * 08-04-2025 14:27:12.151
Command Sent READ TEMPERATURE - #31,11*753b  * 08-04-2025 14:27:27.305
CRC-Response  - 31,11,F000,545*4f13 * 08-04-2025 14:27:27.640
Command Sent READ TEMPERATURE - #32,11*313b  * 08-04-2025 14:27:42.815
CRC-Response  - 32,11,F000,545*8c16 * 08-04-2025 14:27:43.58
Command Sent READ TEMPERATURE - #33,11*cd3a  * 08-04-2025 14:27:58.236
CRC-Response  - 33,11,F000,545*0d14 * 08-04-2025 14:27:58.450
Command Sent READ TEMPERATURE - #34,11*b93b  * 08-04-2025 14:28:13.622
CRC-Response  - 34,11,F000,545*4a1f * 08-04-2025 14:28:13.905
Command Sent READ TEMPERATURE - #35,11*453a  * 08-04-2025 14:28:29.78
CRC-Response  - 35,11,F000,447*cacd * 08-04-2025 14:28:29.356
Command Sent READ TEMPERATURE - #36,11*013a  * 08-04-2025 14:28:44.521
CRC-Response  - 36,11,F000,-273*deaf * 08-04-2025 14:28:44.745
Command Sent READ TEMPERATURE - #37,11*fd3b  * 08-04-2025 14:28:59.922
CRC-Response  - 37,11,F000,545*891a * 08-04-2025 14:29:00.166
Command Sent READ TEMPERATURE - #38,11*e938  * 08-04-2025 14:29:15.331
CRC-Response  - 38,11,F000,545*860e * 08-04-2025 14:29:15.601
Command Sent READ TEMPERATURE - #39,11*1539  * 08-04-2025 14:29:30.773
CRC-Response  - 39,11,F000,545*070c * 08-04-2025 14:29:30.990
Command Sent READ TEMPERATURE - #40,11*498f  * 08-04-2025 14:29:46.150
CRC-Response  - 40,11,F000,447*08c7 * 08-04-2025 14:29:46.394
Command Sent READ TEMPERATURE - #41,11*b58e  * 08-04-2025 14:30:01.582
CRC-Response  - 41,11,F000,545*8815 * 08-04-2025 14:30:01.837
Command Sent READ TEMPERATURE - #42,11*f18e  * 08-04-2025 14:30:17.15
CRC-Response  - 42,11,F000,447*4ac0 * 08-04-2025 14:30:17.233
Command Sent READ TEMPERATURE - #43,11*0d8f  * 08-04-2025 14:30:32.399
CRC-Response  - 43,11,F000,545*ca12 * 08-04-2025 14:30:32.684
Command Sent READ TEMPERATURE - #44,11*798e  * 08-04-2025 14:30:47.843
CRC-Response  - 44,11,F000,545*8d19 * 08-04-2025 14:30:48.101
Command Sent READ TEMPERATURE - #45,11*858f  * 08-04-2025 14:31:03.268
CRC-Response  - 45,11,F000,545*0c1b * 08-04-2025 14:31:03.573
Command Sent READ TEMPERATURE - #46,11*c18f  * 08-04-2025 14:31:18.729
CRC-Response  - 46,11,F000,545*cf1e * 08-04-2025 14:31:18.972
Command Sent READ TEMPERATURE - #47,11*3d8e  * 08-04-2025 14:31:34.146
CRC-Response  - 47,11,F000,447*4fcc * 08-04-2025 14:31:34.390
Command Sent READ TEMPERATURE - #48,11*298d  * 08-04-2025 14:31:49.580
CRC-Response  - 48,11,F000,545*4108 * 08-04-2025 14:31:49.797
Command Sent READ TEMPERATURE - #49,11*d58c  * 08-04-2025 14:32:04.964
CRC-Response  - 49,11,F000,545*c00a * 08-04-2025 14:32:05.208
Command Sent READ TEMPERATURE - #50,11*89b2  * 08-04-2025 14:32:20.370
CRC-Response  - 50,11,F000,447*c9c7 * 08-04-2025 14:32:20.705
Command Sent READ TEMPERATURE - #51,11*75b3  * 08-04-2025 14:32:35.876
CRC-Response  - 51,11,F000,545*4915 * 08-04-2025 14:32:36.214
Command Sent READ TEMPERATURE - #52,11*31b3  * 08-04-2025 14:32:51.381
CRC-Response  - 52,11,F000,545*8a10 * 08-04-2025 14:32:51.656
Command Sent READ TEMPERATURE - #53,11*cdb2  * 08-04-2025 14:33:06.810
CRC-Response  - 53,11,F000,545*0b12 * 08-04-2025 14:33:07.20
Command Sent READ TEMPERATURE - #54,11*b9b3  * 08-04-2025 14:33:22.188
CRC-Response  - 54,11,F000,545*4c19 * 08-04-2025 14:33:22.494
Command Sent READ TEMPERATURE - #55,11*45b2  * 08-04-2025 14:33:37.669
CRC-Response  - 55,11,F000,447*cccb * 08-04-2025 14:33:37.885
Command Sent READ TEMPERATURE - #56,11*01b2  * 08-04-2025 14:33:53.49
CRC-Response  - 56,11,F000,-273*dc29 * 08-04-2025 14:33:53.259
Command Sent READ TEMPERATURE - #57,11*fdb3  * 08-04-2025 14:34:08.427
CRC-Response  - 57,11,F000,545*8f1c * 08-04-2025 14:34:08.642
Command Sent READ TEMPERATURE - #58,11*e9b0  * 08-04-2025 14:34:23.813
CRC-Response  - 58,11,F000,545*8008 * 08-04-2025 14:34:24.32
Command Sent READ TEMPERATURE - #59,11*15b1  * 08-04-2025 14:34:39.179
CRC-Response  - 59,11,F000,545*010a * 08-04-2025 14:34:39.392
Command Sent READ TEMPERATURE - #60,11*89f6  * 08-04-2025 14:34:54.576
CRC-Response  - 60,11,F000,545*cb14 * 08-04-2025 14:34:54.827
Command Sent READ TEMPERATURE - #61,11*75f7  * 08-04-2025 14:35:10.8
CRC-Response  - 61,11,F000,545*4a16 * 08-04-2025 14:35:10.228
Command Sent READ TEMPERATURE - #62,11*31f7  * 08-04-2025 14:35:25.388
CRC-Response  - 62,11,F000,545*8913 * 08-04-2025 14:35:25.632
Command Sent Home Command - #63,5,00111111*a286  * 08-04-2025 14:35:38.793
CRC-Response  - 63,5,I001,00111111*8cbe * 08-04-2025 14:35:39.6
CRC-Response  - 63,5,F000*a24e * 08-04-2025 14:35:39.10
Command Sent HEATER DOOR OPEN - #64,8,1,1*d494  * 08-04-2025 14:35:39.692
CRC-Response  - 64,8,I001*8dcc * 08-04-2025 14:35:39.902
CRC-Response  - 64,8,F000*590e * 08-04-2025 14:35:40.243
Rack - 2Protocol Started * 08-04-2025 14:35:40.408
Command Sent Rack-2 Picked from L2 - #65,2,2,13934,16380,0,0*c956  * 08-04-2025 14:35:40.598
CRC-Response  - 65,2,I001,2*cad9 * 08-04-2025 14:35:40.818
CRC-Response  - 65,2,F000,2*f588 * 08-04-2025 14:35:47.584
RA Picked Rack From L2 * 08-04-2025 14:35:47.590
Command Sent Rack-2 Placed in H2 - #66,3,2,2688,8700,0,1*07c3  * 08-04-2025 14:35:48.19
CRC-Response  - 66,3,I001,2*09e8 * 08-04-2025 14:35:48.233
CRC-Response  - 66,3,F000,2*36b9 * 08-04-2025 14:35:54.693
RA Placed Rack in H2 * 08-04-2025 14:35:54.697
Command Sent HEATER DOOR CLOSE - #67,8,1,0*1466  * 08-04-2025 14:35:55.441
CRC-Response  - 67,8,I001*988c * 08-04-2025 14:35:55.652
CRC-Response  - 67,8,F000*4c4e * 08-04-2025 14:35:55.992
Command Sent READ TEMPERATURE - #68,11*e9f4  * 08-04-2025 14:35:56.314
CRC-Response  - 68,11,F000,-273*1365 * 08-04-2025 14:35:56.528
Command Sent READ TEMPERATURE - #69,11*15f5  * 08-04-2025 14:36:11.702
CRC-Response  - 69,11,F000,545*0209 * 08-04-2025 14:36:12.52
Command Sent READ TEMPERATURE - #70,11*49cb  * 08-04-2025 14:36:15.575
CRC-Response  - 70,11,F000,545*0a14 * 08-04-2025 14:36:15.783
Command Sent READ TEMPERATURE - #71,11*b5ca  * 08-04-2025 14:36:27.218
CRC-Response  - 71,11,F000,447*8ac6 * 08-04-2025 14:36:27.432
Command Sent READ TEMPERATURE - #72,11*f1ca  * 08-04-2025 14:36:42.603
CRC-Response  - 72,11,F000,545*4813 * 08-04-2025 14:36:42.825
Command Sent READ TEMPERATURE - #73,11*0dcb  * 08-04-2025 14:36:57.984
CRC-Response  - 73,11,F000,545*c911 * 08-04-2025 14:36:58.201
Command Sent READ TEMPERATURE - #74,11*79ca  * 08-04-2025 14:37:13.380
CRC-Response  - 74,11,F000,545*8e1a * 08-04-2025 14:37:13.594
Command Sent READ TEMPERATURE - #75,11*85cb  * 08-04-2025 14:37:28.764
CRC-Response  - 75,11,F000,447*0ec8 * 08-04-2025 14:37:29.6
Command Sent READ TEMPERATURE - #76,11*c1cb  * 08-04-2025 14:37:44.172
CRC-Response  - 76,11,F000,545*cc1d * 08-04-2025 14:37:44.382
Command Sent READ TEMPERATURE - #77,11*3dca  * 08-04-2025 14:37:59.558
CRC-Response  - 77,11,F000,545*4d1f * 08-04-2025 14:37:59.768
Command Sent READ TEMPERATURE - #78,11*29c9  * 08-04-2025 14:38:14.942
CRC-Response  - 78,11,F000,545*420b * 08-04-2025 14:38:15.249
Command Sent READ TEMPERATURE - #79,11*d5c8  * 08-04-2025 14:38:30.431
CRC-Response  - 79,11,F000,545*c309 * 08-04-2025 14:38:30.647
Command Sent READ TEMPERATURE - #80,11*489f  * 08-04-2025 14:38:45.812
CRC-Response  - 80,11,F000,545*051b * 08-04-2025 14:38:46.112
Command Sent READ TEMPERATURE - #81,11*b49e  * 08-04-2025 14:39:01.293
CRC-Response  - 81,11,F000,545*8419 * 08-04-2025 14:39:01.509
Command Sent READ TEMPERATURE - #82,11*f09e  * 08-04-2025 14:39:16.680
CRC-Response  - 82,11,F000,545*471c * 08-04-2025 14:39:16.894
Command Sent READ TEMPERATURE - #83,11*0c9f  * 08-04-2025 14:39:32.68
CRC-Response  - 83,11,F000,-273*dce1 * 08-04-2025 14:39:32.282
Command Sent READ TEMPERATURE - #84,11*789e  * 08-04-2025 14:39:47.447
CRC-Response  - 84,11,F000,-273*1be7 * 08-04-2025 14:39:47.662
Command Sent READ TEMPERATURE - #85,11*849f  * 08-04-2025 14:40:02.838
CRC-Response  - 85,11,F000,545*0017 * 08-04-2025 14:40:03.51
Command Sent READ TEMPERATURE - #86,11*c09f  * 08-04-2025 14:40:18.219
CRC-Response  - 86,11,F000,545*c312 * 08-04-2025 14:40:18.435
Command Sent READ TEMPERATURE - #87,11*3c9e  * 08-04-2025 14:40:33.605
CRC-Response  - 87,11,F000,447*43c0 * 08-04-2025 14:40:33.818
Command Sent READ TEMPERATURE - #88,11*289d  * 08-04-2025 14:40:48.988
CRC-Response  - 88,11,F000,545*4d04 * 08-04-2025 14:40:49.201
Command Sent READ TEMPERATURE - #89,11*d49c  * 08-04-2025 14:41:04.371
CRC-Response  - 89,11,F000,545*cc06 * 08-04-2025 14:41:04.615
Command Sent READ TEMPERATURE - #90,11*88a2  * 08-04-2025 14:41:19.798
CRC-Response  - 90,11,F000,447*c5cb * 08-04-2025 14:41:20.175
Command Sent READ TEMPERATURE - #91,11*74a3  * 08-04-2025 14:41:35.347
CRC-Response  - 91,11,F000,545*4519 * 08-04-2025 14:41:35.563
Command Sent READ TEMPERATURE - #92,11*30a3  * 08-04-2025 14:41:50.733
CRC-Response  - 92,11,F000,545*861c * 08-04-2025 14:41:51.19
Command Sent READ TEMPERATURE - #93,11*cca2  * 08-04-2025 14:42:06.193
CRC-Response  - 93,11,F000,545*071e * 08-04-2025 14:42:06.405
Command Sent READ TEMPERATURE - #94,11*b8a3  * 08-04-2025 14:42:21.562
CRC-Response  - 94,11,F000,545*4015 * 08-04-2025 14:42:21.775
Command Sent READ TEMPERATURE - #95,11*44a2  * 08-04-2025 14:42:36.947
CRC-Response  - 95,11,F000,-273*da26 * 08-04-2025 14:42:37.313
Command Sent READ TEMPERATURE - #96,11*00a2  * 08-04-2025 14:42:52.481
CRC-Response  - 96,11,F000,545*0212 * 08-04-2025 14:42:52.721
Command Sent READ TEMPERATURE - #97,11*fca3  * 08-04-2025 14:43:07.905
CRC-Response  - 97,11,F000,545*8310 * 08-04-2025 14:43:08.157
Command Sent READ TEMPERATURE - #98,11*e8a0  * 08-04-2025 14:43:23.329
CRC-Response  - 98,11,F000,447*8dd4 * 08-04-2025 14:43:23.543
Command Sent READ TEMPERATURE - #99,11*14a1  * 08-04-2025 14:43:38.708
CRC-Response  - 99,11,F000,545*0d06 * 08-04-2025 14:43:38.926
Command Sent READ TEMPERATURE - #100,11*b35e  * 08-04-2025 14:43:54.112
CRC-Response  - 100,11,F000,447*66d8 * 08-04-2025 14:43:54.334
Command Sent READ TEMPERATURE - #101,11*4f5f  * 08-04-2025 14:44:09.510
CRC-Response  - 101,11,F000,545*e60a * 08-04-2025 14:44:09.750
Command Sent READ TEMPERATURE - #102,11*0b5f  * 08-04-2025 14:44:24.920
CRC-Response  - 102,11,F000,545*250f * 08-04-2025 14:44:25.133
Command Sent READ TEMPERATURE - #103,11*f75e  * 08-04-2025 14:44:41.303
CRC-Response  - 103,11,F000,545*a40d * 08-04-2025 14:44:41.521
Command Sent HEATER DOOR OPEN - #104,8,1,1*9407  * 08-04-2025 14:44:51.705
CRC-Response  - 104,8,I001*e0cc * 08-04-2025 14:44:51.915
CRC-Response  - 104,8,F000*340e * 08-04-2025 14:44:52.255
Command Sent Rack-1 Picked from H1 - #105,2,2,2688,1000,0,1*3df2  * 08-04-2025 14:44:52.585
CRC-Response  - 105,2,I001,2*2718 * 08-04-2025 14:44:52.798
CRC-Response  - 105,2,F000,2*1849 * 08-04-2025 14:44:58.578
RA Picked Rack From H1 * 08-04-2025 14:44:58.584
Command Sent HEATER DOOR CLOSE - #106,8,1,0*94e5  * 08-04-2025 14:44:58.997
CRC-Response  - 106,8,I001*394d * 08-04-2025 14:44:59.209
CRC-Response  - 106,8,F000*ed8f * 08-04-2025 14:44:59.553
Command Sent Rack-1 Placed in J1 - #107,3,2,10304,800,0,0*8551  * 08-04-2025 14:44:59.886
CRC-Response  - 107,3,I001,2*2178 * 08-04-2025 14:45:00.96
CRC-Response  - 107,3,F000,2*1e29 * 08-04-2025 14:45:06.159
RA Placed Rack in J1 * 08-04-2025 14:45:06.164
Command Sent READ TEMPERATURE - #108,11*d35c  * 08-04-2025 14:45:10.701
CRC-Response  - 108,11,F000,545*2f17 * 08-04-2025 14:45:10.913
Command Sent READ TEMPERATURE - #109,11*2f5d  * 08-04-2025 14:45:26.84
CRC-Response  - 109,11,F000,447*afc5 * 08-04-2025 14:45:26.302
Command Sent READ TEMPERATURE - #110,11*7363  * 08-04-2025 14:45:41.475
CRC-Response  - 110,11,F000,545*a608 * 08-04-2025 14:45:41.746
Command Sent READ TEMPERATURE - #111,11*8f62  * 08-04-2025 14:45:56.915
CRC-Response  - 111,11,F000,545*270a * 08-04-2025 14:45:57.129
Command Sent READ TEMPERATURE - #112,11*cb62  * 08-04-2025 14:46:12.306
CRC-Response  - 112,11,F000,545*e40f * 08-04-2025 14:46:12.517
Command Sent READ TEMPERATURE - #113,11*3763  * 08-04-2025 14:46:27.693
CRC-Response  - 113,11,F000,-273*1103 * 08-04-2025 14:46:27.916
Command Sent READ TEMPERATURE - #114,11*4362  * 08-04-2025 14:46:43.86
CRC-Response  - 114,11,F000,545*2206 * 08-04-2025 14:46:43.298
Command Sent Home Command - #115,5,00111111*f61d  * 08-04-2025 14:46:53.97
CRC-Response  - 115,5,I001,00111111*60cb * 08-04-2025 14:46:53.308
CRC-Response  - 115,5,F000*75c3 * 08-04-2025 14:46:53.315
Command Sent HEATER DOOR OPEN - #116,8,1,1*98e5  * 08-04-2025 14:46:53.969
CRC-Response  - 116,8,I001*a940 * 08-04-2025 14:46:54.180
CRC-Response  - 116,8,F000*7d82 * 08-04-2025 14:46:54.521
Rack - R3Protocol Started * 08-04-2025 14:46:54.684
Command Sent Rack-3 Picked from L3 - #117,2,2,10304,16380,0,0*b9d7  * 08-04-2025 14:46:54.873
CRC-Response  - 117,2,I001,2*11bd * 08-04-2025 14:46:55.92
CRC-Response  - 117,2,F000,2*2eec * 08-04-2025 14:47:01.577
RA Picked Rack From L3 * 08-04-2025 14:47:01.585
Command Sent Rack-3 Placed in H1 - #118,3,2,2688,1000,0,1*d1b0  * 08-04-2025 14:47:01.811
CRC-Response  - 118,3,I001,2*ed4c * 08-04-2025 14:47:02.27
CRC-Response  - 118,3,F000,2*d21d * 08-04-2025 14:47:08.423
RA Placed Rack in H1 * 08-04-2025 14:47:08.429
Command Sent HEATER DOOR CLOSE - #119,8,1,0*58db  * 08-04-2025 14:47:09.264
CRC-Response  - 119,8,I001*e900 * 08-04-2025 14:47:09.480
CRC-Response  - 119,8,F000*3dc2 * 08-04-2025 14:47:09.821
Command Sent READ TEMPERATURE - #120,11*7327  * 08-04-2025 14:47:10.148
CRC-Response  - 120,11,F000,545*a50b * 08-04-2025 14:47:10.361
Command Sent READ TEMPERATURE - #121,11*8f26  * 08-04-2025 14:47:25.542
CRC-Response  - 121,11,F000,545*2409 * 08-04-2025 14:47:25.799
Command Sent READ TEMPERATURE - #122,11*cb26  * 08-04-2025 14:47:29.889
CRC-Response  - 122,11,F000,545*e70c * 08-04-2025 14:47:30.96
Command Sent READ TEMPERATURE - #123,11*3727  * 08-04-2025 14:47:40.987
CRC-Response  - 123,11,F000,545*660e * 08-04-2025 14:47:41.198
Command Sent READ TEMPERATURE - #124,11*4326  * 08-04-2025 14:47:56.353
CRC-Response  - 124,11,F000,545*2105 * 08-04-2025 14:47:56.569
Command Sent READ TEMPERATURE - #125,11*bf27  * 08-04-2025 14:48:11.762
CRC-Response  - 125,11,F000,545*a007 * 08-04-2025 14:48:11.978
Command Sent READ TEMPERATURE - #126,11*fb27  * 08-04-2025 14:48:27.160
CRC-Response  - 126,11,F000,545*6302 * 08-04-2025 14:48:27.376
Command Sent READ TEMPERATURE - #127,11*0726  * 08-04-2025 14:48:42.542
CRC-Response  - 127,11,F000,545*e200 * 08-04-2025 14:48:42.847
Command Sent READ TEMPERATURE - #128,11*1325  * 08-04-2025 14:48:58.30
CRC-Response  - 128,11,F000,545*ed14 * 08-04-2025 14:48:58.243
Command Sent READ TEMPERATURE - #129,11*ef24  * 08-04-2025 14:49:13.405
CRC-Response  - 129,11,F000,447*6dc6 * 08-04-2025 14:49:13.677
Command Sent READ TEMPERATURE - #130,11*b31a  * 08-04-2025 14:49:28.860
CRC-Response  - 130,11,F000,545*640b * 08-04-2025 14:49:29.75
Command Sent READ TEMPERATURE - #131,11*4f1b  * 08-04-2025 14:49:44.237
CRC-Response  - 131,11,F000,545*e509 * 08-04-2025 14:49:44.451
Command Sent READ TEMPERATURE - #132,11*0b1b  * 08-04-2025 14:50:00.625
CRC-Response  - 132,11,F000,545*260c * 08-04-2025 14:50:00.845
Command Sent Rack-1 Picked from J1 - #133,2,2,10304,800,0,0*16b5  * 08-04-2025 14:50:06.813
CRC-Response  - 133,2,I001,2*7cf7 * 08-04-2025 14:50:07.23
CRC-Response  - 133,2,F000,2*43a6 * 08-04-2025 14:50:13.80
RA Picked Rack From J1 * 08-04-2025 14:50:13.87
Command Sent Rack-1 Placed in J2 - #134,3,2,13934,800,0,0*2184  * 08-04-2025 14:50:13.717
CRC-Response  - 134,3,I001,2*6a87 * 08-04-2025 14:50:13.930
CRC-Response  - 134,3,F000,2*55d6 * 08-04-2025 14:50:19.528
RA Placed Rack in J2 * 08-04-2025 14:50:19.538
Command Sent READ TEMPERATURE - #135,11*7f1a  * 08-04-2025 14:50:23.839
CRC-Response  - 135,11,F000,545*6107 * 08-04-2025 14:50:24.46
Command Sent READ TEMPERATURE - #136,11*3b1a  * 08-04-2025 14:50:39.207
CRC-Response  - 136,11,F000,447*a3d2 * 08-04-2025 14:50:39.417
Command Sent READ TEMPERATURE - #137,11*c71b  * 08-04-2025 14:50:54.581
CRC-Response  - 137,11,F000,545*2300 * 08-04-2025 14:50:54.796
Command Sent READ TEMPERATURE - #138,11*d318  * 08-04-2025 14:51:09.974
CRC-Response  - 138,11,F000,447*2dc4 * 08-04-2025 14:51:10.186
Command Sent READ TEMPERATURE - #139,11*2f19  * 08-04-2025 14:51:25.352
CRC-Response  - 139,11,F000,545*ad16 * 08-04-2025 14:51:25.565
Command Sent READ TEMPERATURE - #140,11*73af  * 08-04-2025 14:51:40.750
CRC-Response  - 140,11,F000,545*a30d * 08-04-2025 14:51:40.962
Command Sent READ TEMPERATURE - #141,11*8fae  * 08-04-2025 14:51:56.118
CRC-Response  - 141,11,F000,545*220f * 08-04-2025 14:51:56.336
