Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 14:00:05.209
Command Sent READ TEMPERATURE - #41,11*b58e  * 21-03-2025 14:04:59.53
CRC-Response  - 41,11,F000,545*8815 * 21-03-2025 14:04:59.172
Command Sent READ TEMPERATURE - #42,11*f18e  * 21-03-2025 14:05:09.343
CRC-Response  - 42,11,F000,545*4b10 * 21-03-2025 14:05:09.479
Command Sent READ TEMPERATURE - #43,11*0d8f  * 21-03-2025 14:05:19.634
CRC-Response  - 43,11,F000,545*ca12 * 21-03-2025 14:05:19.754
Command Sent READ TEMPERATURE - #44,11*798e  * 21-03-2025 14:05:29.918
CRC-Response  - 44,11,F000,545*8d19 * 21-03-2025 14:05:30.35
Command Sent READ TEMPERATURE - #45,11*858f  * 21-03-2025 14:05:40.190
CRC-Response  - 45,11,F000,545*0c1b * 21-03-2025 14:05:40.451
Command Sent READ TEMPERATURE - #46,11*c18f  * 21-03-2025 14:05:50.630
CRC-Response  - 46,11,F000,545*cf1e * 21-03-2025 14:05:50.736
Command Sent READ TEMPERATURE - #47,11*3d8e  * 21-03-2025 14:06:00.914
CRC-Response  - 47,11,F000,545*4e1c * 21-03-2025 14:06:01.32
Command Sent READ TEMPERATURE - #48,11*298d  * 21-03-2025 14:06:11.200
CRC-Response  - 48,11,F000,545*4108 * 21-03-2025 14:06:11.305
Command Sent READ TEMPERATURE - #49,11*d58c  * 21-03-2025 14:06:21.460
CRC-Response  - 49,11,F000,545*c00a * 21-03-2025 14:06:21.564
Command Sent READ TEMPERATURE - #50,11*89b2  * 21-03-2025 14:06:31.727
CRC-Response  - 50,11,F000,447*c9c7 * 21-03-2025 14:06:31.834
Command Sent HEATER OFF - #51,12,0*0358  * 21-03-2025 14:06:32.19
CRC-Response  - 51,12,F000*708f * 21-03-2025 14:06:32.126
Command Sent HEATER DOOR OPEN - #52,8,1,1*c1b2  * 21-03-2025 14:06:51.930
CRC-Response  - 52,8,I001*5758 * 21-03-2025 14:06:52.376
CRC-Response  - 52,8,F000*839a * 21-03-2025 14:06:52.381
Command Sent Rack-1 Picked from H1 - #53,2,1,2688,1000,0,1*c3ef  * 21-03-2025 14:06:53.50
CRC-Response  - 53,2,I001,1*9076 * 21-03-2025 14:06:58.253
CRC-Response  - 53,2,F000,1*af27 * 21-03-2025 14:06:58.255
RA Picked Rack From H1 * 21-03-2025 14:06:58.258
Command Sent HEATER DOOR CLOSE - #54,8,1,0*0115  * 21-03-2025 14:06:58.747
CRC-Response  - 54,8,I001*7dd8 * 21-03-2025 14:06:59.196
CRC-Response  - 54,8,F000*a91a * 21-03-2025 14:06:59.200
Command Sent Rack-1 Placed in J1 - #55,3,1,10304,800,0,0*4bbd  * 21-03-2025 14:06:59.864
CRC-Response  - 55,3,I001,1*4357 * 21-03-2025 14:07:06.33
CRC-Response  - 55,3,F000,1*7c06 * 21-03-2025 14:07:06.38
RA Placed Rack in J1 * 21-03-2025 14:07:06.40
Command Sent HEATER ON - #56,12,1*7498  * 21-03-2025 14:07:06.576
CRC-Response  - 56,12,F000*40a9 * 21-03-2025 14:07:06.695
Command Sent HEATER OFF - #57,12,0*6558  * 21-03-2025 14:07:22.667
CRC-Response  - 57,12,F000*d0a4 * 21-03-2025 14:07:22.789
Command Sent HEATER DOOR OPEN - #58,8,1,1*c118  * 21-03-2025 14:07:23.474
CRC-Response  - 58,8,I001*28d8 * 21-03-2025 14:07:23.926
CRC-Response  - 58,8,F000*fc1a * 21-03-2025 14:07:23.929
Rack - 2Protocol Started * 21-03-2025 14:07:24.440
Command Sent Rack-2 Picked from L2 - #59,2,1,13934,16380,0,0*e019  * 21-03-2025 14:07:24.622
CRC-Response  - 59,2,I001,1*b056 * 21-03-2025 14:07:31.145
CRC-Response  - 59,2,F000,1*8f07 * 21-03-2025 14:07:31.148
RA Picked Rack From L2 * 21-03-2025 14:07:31.152
Command Sent Rack-2 Placed in H1 - #60,3,1,2688,1000,0,1*24be  * 21-03-2025 14:07:31.859
CRC-Response  - 60,3,I001,1*1748 * 21-03-2025 14:07:38.433
CRC-Response  - 60,3,F000,1*2819 * 21-03-2025 14:07:38.437
RA Placed Rack in H1 * 21-03-2025 14:07:38.441
Command Sent HEATER ON - #61,12,1*c3aa  * 21-03-2025 14:07:39.53
CRC-Response  - 61,12,F000*7f7f * 21-03-2025 14:07:39.172
Command Sent HEATER DOOR CLOSE - #62,8,1,0*1433  * 21-03-2025 14:07:39.858
CRC-Response  - 62,8,I001*a74c * 21-03-2025 14:07:40.305
CRC-Response  - 62,8,F000*738e * 21-03-2025 14:07:40.318
Command Sent READ TEMPERATURE - #63,11*cdf6  * 21-03-2025 14:07:40.976
CRC-Response  - 63,11,F000,545*0811 * 21-03-2025 14:07:41.90
Command Sent READ TEMPERATURE - #64,11*b9f7  * 21-03-2025 14:07:51.263
CRC-Response  - 64,11,F000,447*4eca * 21-03-2025 14:07:51.369
Command Sent READ TEMPERATURE - #65,11*45f6  * 21-03-2025 14:08:01.522
CRC-Response  - 65,11,F000,545*ce18 * 21-03-2025 14:08:01.655
Command Sent READ TEMPERATURE - #66,11*01f6  * 21-03-2025 14:08:10.433
CRC-Response  - 66,11,F000,545*0d1d * 21-03-2025 14:08:10.596
Command Sent READ TEMPERATURE - #67,11*fdf7  * 21-03-2025 14:08:11.817
CRC-Response  - 67,11,F000,545*8c1f * 21-03-2025 14:08:11.926
Command Sent READ TEMPERATURE - #68,11*e9f4  * 21-03-2025 14:08:22.86
CRC-Response  - 68,11,F000,545*830b * 21-03-2025 14:08:22.191
Command Sent READ TEMPERATURE - #69,11*15f5  * 21-03-2025 14:08:32.346
CRC-Response  - 69,11,F000,545*0209 * 21-03-2025 14:08:32.452
Command Sent READ TEMPERATURE - #70,11*49cb  * 21-03-2025 14:08:42.611
CRC-Response  - 70,11,F000,545*0a14 * 21-03-2025 14:08:42.718
Command Sent HEATER OFF - #71,12,0*c37b  * 21-03-2025 14:08:46.573
CRC-Response  - 71,12,F000*ba2e * 21-03-2025 14:08:46.691
Command Sent Rack-1 Picked from J1 - #72,2,1,10304,800,0,0*4d20  * 21-03-2025 14:09:06.595
CRC-Response  - 72,2,I001,1*ed2c * 21-03-2025 14:09:12.763
CRC-Response  - 72,2,F000,1*d27d * 21-03-2025 14:09:12.768
RA Picked Rack From J1 * 21-03-2025 14:09:12.773
Command Sent Rack-1 Placed in J2 - #73,3,1,13934,800 ,0,0*e9ec  * 21-03-2025 14:09:13.310
CRC-Response  - 73,3,I001,1*e4bc * 21-03-2025 14:09:19.30
CRC-Response  - 73,3,F000,1*dbed * 21-03-2025 14:09:19.34
RA Placed Rack in J2 * 21-03-2025 14:09:19.36
Command Sent HEATER ON - #74,12,1*56ba  * 21-03-2025 14:09:19.495
CRC-Response  - 74,12,F000*ea11 * 21-03-2025 14:09:19.602
Command Sent READ TEMPERATURE - #75,11*85cb  * 21-03-2025 14:09:50.295
CRC-Response  - 75,11,F000,447*0ec8 * 21-03-2025 14:09:50.651
Command Sent READ TEMPERATURE - #76,11*c1cb  * 21-03-2025 14:10:00.823
CRC-Response  - 76,11,F000,545*cc1d * 21-03-2025 14:10:00.942
Command Sent READ TEMPERATURE - #77,11*3dca  * 21-03-2025 14:10:11.117
CRC-Response  - 77,11,F000,545*4d1f * 21-03-2025 14:10:11.252
Command Sent READ TEMPERATURE - #78,11*29c9  * 21-03-2025 14:10:21.427
CRC-Response  - 78,11,F000,545*420b * 21-03-2025 14:10:21.539
Command Sent READ TEMPERATURE - #79,11*d5c8  * 21-03-2025 14:10:31.718
CRC-Response  - 79,11,F000,545*c309 * 21-03-2025 14:10:31.834
Command Sent READ TEMPERATURE - #80,11*489f  * 21-03-2025 14:10:41.993
CRC-Response  - 80,11,F000,545*051b * 21-03-2025 14:10:42.112
Command Sent READ TEMPERATURE - #81,11*b49e  * 21-03-2025 14:10:52.279
CRC-Response  - 81,11,F000,545*8419 * 21-03-2025 14:10:52.396
Command Sent HEATER OFF - #82,12,0*f084  * 21-03-2025 14:10:59.573
CRC-Response  - 82,12,F000*7a0a * 21-03-2025 14:10:59.925
Command Sent Rack-1 Picked from J2 - #83,2,1,13934,800 ,0,0*ea42  * 21-03-2025 14:11:19.602
CRC-Response  - 83,2,I001,1*3c4d * 21-03-2025 14:11:24.796
CRC-Response  - 83,2,F000,1*031c * 21-03-2025 14:11:24.798
RA Picked Rack From J2 * 21-03-2025 14:11:24.802
Command Sent Rack-1 Placed in J4 - #84,3,1,21194,800 ,0,0*e762  * 21-03-2025 14:11:25.299
CRC-Response  - 84,3,I001,1*2a3d * 21-03-2025 14:11:31.425
CRC-Response  - 84,3,F000,1*156c * 21-03-2025 14:11:31.428
RA Placed Rack in J4 * 21-03-2025 14:11:31.432
Command Sent HEATER ON - #85,12,1*8744  * 21-03-2025 14:11:32.1
CRC-Response  - 85,12,F000*4a2c * 21-03-2025 14:11:32.118
Command Sent READ TEMPERATURE - #86,11*c09f  * 21-03-2025 14:12:02.815
CRC-Response  - 86,11,F000,545*c312 * 21-03-2025 14:12:03.48
Command Sent READ TEMPERATURE - #87,11*3c9e  * 21-03-2025 14:12:13.225
CRC-Response  - 87,11,F000,545*4210 * 21-03-2025 14:12:13.505
Command Sent HEATER OFF - #88,12,0*5a84  * 21-03-2025 14:12:19.186
CRC-Response  - 88,12,F000*da74 * 21-03-2025 14:12:19.319
Command Sent HEATER DOOR OPEN - #89,8,1,1*98c9  * 21-03-2025 14:12:39.206
CRC-Response  - 89,8,I001*7441 * 21-03-2025 14:12:39.654
CRC-Response  - 89,8,F000*a083 * 21-03-2025 14:12:39.661
Command Sent Rack-2 Picked from H1 - #90,2,1,2688,1000,0,1*4abb  * 21-03-2025 14:12:40.343
CRC-Response  - 90,2,I001,1*cfb9 * 21-03-2025 14:12:47.745
CRC-Response  - 90,2,F000,1*f0e8 * 21-03-2025 14:12:47.748
RA Picked Rack From H1 * 21-03-2025 14:12:47.752
Command Sent HEATER DOOR CLOSE - #91,8,1,0*5440  * 21-03-2025 14:12:48.51
CRC-Response  - 91,8,I001*424d * 21-03-2025 14:12:48.504
CRC-Response  - 91,8,F000*968f * 21-03-2025 14:12:48.509
Command Sent Rack-2 Placed in J1 - #92,3,1,10304,800,0,0*f218  * 21-03-2025 14:12:49.187
CRC-Response  - 92,3,I001,1*c9d9 * 21-03-2025 14:12:55.358
CRC-Response  - 92,3,F000,1*f688 * 21-03-2025 14:12:55.364
RA Placed Rack in J1 * 21-03-2025 14:12:55.369
Command Sent HEATER ON - #93,12,1*2154  * 21-03-2025 14:12:55.894
CRC-Response  - 93,12,F000*2f56 * 21-03-2025 14:12:56.2
Command Sent HEATER OFF - #94,12,0*5694  * 21-03-2025 14:13:09.880
CRC-Response  - 94,12,F000*1f70 * 21-03-2025 14:13:09.991
Command Sent HEATER DOOR OPEN - #95,8,1,1*54c4  * 21-03-2025 14:13:10.646
CRC-Response  - 95,8,I001*b14c * 21-03-2025 14:13:11.102
CRC-Response  - 95,8,F000*658e * 21-03-2025 14:13:11.112
Rack - R3Protocol Started * 21-03-2025 14:13:11.603
Command Sent Rack-3 Picked from L3 - #96,2,1,10304,16380,0,0*4735  * 21-03-2025 14:13:11.794
CRC-Response  - 96,2,I001,1*d059 * 21-03-2025 14:13:18.315
CRC-Response  - 96,2,F000,1*ef08 * 21-03-2025 14:13:18.320
RA Picked Rack From L3 * 21-03-2025 14:13:18.322
Command Sent Rack-3 Placed in H1 - #97,3,1,2688,1000,0,1*ae5f  * 21-03-2025 14:13:19.4
CRC-Response  - 97,3,I001,1*d9c9 * 21-03-2025 14:13:25.511
CRC-Response  - 97,3,F000,1*e698 * 21-03-2025 14:13:25.516
RA Placed Rack in H1 * 21-03-2025 14:13:25.519
Command Sent HEATER ON - #98,12,1*5a55  * 21-03-2025 14:13:26.210
CRC-Response  - 98,12,F000*1f25 * 21-03-2025 14:13:26.327
Command Sent HEATER OFF - #99,8,1,0*94c9  * 21-03-2025 14:13:27.27
CRC-Response  - 99,8,I001*e44c * 21-03-2025 14:13:27.471
CRC-Response  - 99,8,F000*308e * 21-03-2025 14:13:27.477
Command Sent READ TEMPERATURE - #100,12,0*0195  * 21-03-2025 14:13:27.653
CRC-Response  - 100,12,F000*ef1f * 21-03-2025 14:13:27.768
Command Sent READ TEMPERATURE - #101,11*4f5f  * 21-03-2025 14:13:27.963
CRC-Response  - 101,11,F000,545*e60a * 21-03-2025 14:13:28.76
Command Sent Rack-1 Picked from J4 - #102,2,1,21194,800 ,0,0*fe91  * 21-03-2025 14:13:32.101
CRC-Response  - 102,2,I001,1*fce9 * 21-03-2025 14:13:39.485
CRC-Response  - 102,2,F000,1*c3b8 * 21-03-2025 14:13:39.490
RA Picked Rack From J4 * 21-03-2025 14:13:39.492
Command Sent Rack-1 Placed in J5 - #103,3,1,24824,800 ,0,0*eec8  * 21-03-2025 14:13:39.790
CRC-Response  - 103,3,I001,1*f579 * 21-03-2025 14:13:45.514
CRC-Response  - 103,3,F000,1*ca28 * 21-03-2025 14:13:45.517
RA Placed Rack in J5 * 21-03-2025 14:13:45.520
Command Sent READ TEMPERATURE - #104,11*835f  * 21-03-2025 14:13:50.754
CRC-Response  - 104,11,F000,545*e306 * 21-03-2025 14:13:50.865
Command Sent READ TEMPERATURE - #105,11*7f5e  * 21-03-2025 14:14:01.16
CRC-Response  - 105,11,F000,545*6204 * 21-03-2025 14:14:01.122
Command Sent READ TEMPERATURE - #106,11*3b5e  * 21-03-2025 14:14:11.281
CRC-Response  - 106,11,F000,545*a101 * 21-03-2025 14:14:11.388
Command Sent READ TEMPERATURE - #107,11*c75f  * 21-03-2025 14:14:21.570
CRC-Response  - 107,11,F000,545*2003 * 21-03-2025 14:14:21.695
Command Sent READ TEMPERATURE - #108,11*d35c  * 21-03-2025 14:14:31.853
CRC-Response  - 108,11,F000,545*2f17 * 21-03-2025 14:14:31.967
Command Sent READ TEMPERATURE - #109,11*2f5d  * 21-03-2025 14:14:43.144
CRC-Response  - 109,11,F000,545*ae15 * 21-03-2025 14:14:43.258
Command Sent READ TEMPERATURE - #110,11*7363  * 21-03-2025 14:14:54.424
CRC-Response  - 110,11,F000,545*a608 * 21-03-2025 14:14:54.530
Command Sent Rack-2 Picked from J1 - #111,2,1,10304,800,0,0*4df6  * 21-03-2025 14:14:55.945
CRC-Response  - 111,2,I001,1*0f1d * 21-03-2025 14:15:02.882
CRC-Response  - 111,2,F000,1*304c * 21-03-2025 14:15:02.885
RA Picked Rack From J1 * 21-03-2025 14:15:02.890
Command Sent Rack-2 Placed in J2 - #112,3,1,13934,800 ,0,0*9514  * 21-03-2025 14:15:03.140
CRC-Response  - 112,3,I001,1*cc2c * 21-03-2025 14:15:08.858
CRC-Response  - 112,3,F000,1*f37d * 21-03-2025 14:15:08.864
RA Placed Rack in J2 * 21-03-2025 14:15:08.868
Command Sent READ TEMPERATURE - #113,11*3763  * 21-03-2025 14:15:13.937
CRC-Response  - 113,11,F000,545*650d * 21-03-2025 14:15:14.50
Command Sent READ TEMPERATURE - #114,11*4362  * 21-03-2025 14:15:24.228
CRC-Response  - 114,11,F000,545*2206 * 21-03-2025 14:15:24.337
Command Sent READ TEMPERATURE - #115,11*bf63  * 21-03-2025 14:15:35.512
CRC-Response  - 115,11,F000,545*a304 * 21-03-2025 14:15:35.629
Command Sent READ TEMPERATURE - #116,11*fb63  * 21-03-2025 14:15:45.795
CRC-Response  - 116,11,F000,545*6001 * 21-03-2025 14:15:45.906
Command Sent Rack-1 Picked from J5 - #117,2,1,24824,800 ,0,0*4778  * 21-03-2025 14:15:46.114
CRC-Response  - 117,2,I001,1*10fd * 21-03-2025 14:15:52.650
CRC-Response  - 117,2,F000,1*2fac * 21-03-2025 14:15:52.652
RA Picked Rack From J5 * 21-03-2025 14:15:52.655
Command Sent Rack-1 Placed in J6 - #118,3,1,28454,800 ,0,0*ed66  * 21-03-2025 14:15:53.305
CRC-Response  - 118,3,I001,1*ec0c * 21-03-2025 14:15:59.20
CRC-Response  - 118,3,F000,1*d35d * 21-03-2025 14:15:59.24
RA Placed Rack in J6 * 21-03-2025 14:15:59.28
Command Sent READ TEMPERATURE - #119,11*ef60  * 21-03-2025 14:16:04.114
CRC-Response  - 119,11,F000,545*6f15 * 21-03-2025 14:16:04.230
Command Sent READ TEMPERATURE - #120,11*7327  * 21-03-2025 14:16:14.409
CRC-Response  - 120,11,F000,545*a50b * 21-03-2025 14:16:14.524
Command Sent READ TEMPERATURE - #121,11*8f26  * 21-03-2025 14:16:24.692
CRC-Response  - 121,11,F000,545*2409 * 21-03-2025 14:16:24.807
Command Sent READ TEMPERATURE - #122,11*cb26  * 21-03-2025 14:16:34.985
CRC-Response  - 122,11,F000,545*e70c * 21-03-2025 14:16:35.91
Command Sent READ TEMPERATURE - #123,11*3727  * 21-03-2025 14:16:45.274
CRC-Response  - 123,11,F000,545*660e * 21-03-2025 14:16:45.393
Command Sent READ TEMPERATURE - #124,11*4326  * 21-03-2025 14:16:56.571
CRC-Response  - 124,11,F000,545*2105 * 21-03-2025 14:16:56.676
Command Sent READ TEMPERATURE - #125,11*bf27  * 21-03-2025 14:17:07.858
CRC-Response  - 125,11,F000,545*a007 * 21-03-2025 14:17:07.990
Command Sent Rack-2 Picked from J2 - #126,2,1,13934,800 ,0,0*de87  * 21-03-2025 14:17:09.345
CRC-Response  - 126,2,I001,1*91a3 * 21-03-2025 14:17:16.294
CRC-Response  - 126,2,F000,1*aef2 * 21-03-2025 14:17:16.298
RA Picked Rack From J2 * 21-03-2025 14:17:16.306
Command Sent Rack-2 Placed in J4 - #127,3,1,21194,800 ,0,0*b52f  * 21-03-2025 14:17:16.558
CRC-Response  - 127,3,I001,1*9833 * 21-03-2025 14:17:22.688
CRC-Response  - 127,3,F000,1*a762 * 21-03-2025 14:17:22.691
RA Placed Rack in J4 * 21-03-2025 14:17:22.695
Command Sent READ TEMPERATURE - #128,11*1325  * 21-03-2025 14:17:27.360
CRC-Response  - 128,11,F000,545*ed14 * 21-03-2025 14:17:27.464
Command Sent READ TEMPERATURE - #129,11*ef24  * 21-03-2025 14:17:37.643
CRC-Response  - 129,11,F000,545*6c16 * 21-03-2025 14:17:37.759
Command Sent WATER VALVE - 1 CONTROL ON - #130,13,1,1*740b  * 21-03-2025 14:17:41.531
CRC-Response  - 130,13,F000*31ee * 21-03-2025 14:17:41.638
Command Sent Rack-1 Picked from J6 - #131,2,1,28454,800 ,0,0*6bc8  * 21-03-2025 14:17:59.548
CRC-Response  - 131,2,I001,1*b716 * 21-03-2025 14:18:05.674
CRC-Response  - 131,2,F000,1*8847 * 21-03-2025 14:18:05.677
RA Picked Rack From J6 * 21-03-2025 14:18:05.682
Command Sent Rack-1 Placed in W1 - #132,3,1,42974,800 ,0,0*c325  * 21-03-2025 14:18:06.254
CRC-Response  - 132,3,I001,1*7427 * 21-03-2025 14:18:13.203
CRC-Response  - 132,3,F000,1*4b76 * 21-03-2025 14:18:13.206
RA Placed Rack in W1 * 21-03-2025 14:18:13.211
Command Sent HEATER ON - #133,12,1*f267  * 21-03-2025 14:18:13.444
CRC-Response  - 133,12,F000*10fb * 21-03-2025 14:18:13.559
Command Sent HEATER OFF - #134,12,0*85a7  * 21-03-2025 14:18:14.316
CRC-Response  - 134,12,F000*20dd * 21-03-2025 14:18:14.431
Command Sent HEATER DOOR OPEN - #135,8,1,1*4157  * 21-03-2025 14:18:26.331
CRC-Response  - 135,8,I001*dc19 * 21-03-2025 14:18:26.782
CRC-Response  - 135,8,F000*08db * 21-03-2025 14:18:26.789
Command Sent Rack-3 Picked from H1 - #136,2,1,2688,1000,0,1*4bb1  * 21-03-2025 14:18:27.479
CRC-Response  - 136,2,I001,1*6da7 * 21-03-2025 14:18:37.337
CRC-Response  - 136,2,F000,1*52f6 * 21-03-2025 14:18:37.341
