Command Sent SET TEMPERATURE - #0,10,32*870a  * 19-03-2025 16:30:47.280
CRC-Response  - 12,5,F000*5ea9 * 19-03-2025 16:31:35.85
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 19-03-2025 16:31:36.425
CRC-Response  - 13,4,I001*97ab * 19-03-2025 16:31:36.632
CRC-Response  - 13,4,F000,747*0002 * 19-03-2025 16:31:40.703
L1 Value - 200 * 19-03-2025 16:31:40.723
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 19-03-2025 16:31:41.221
CRC-Response  - 14,4,I001*71ea * 19-03-2025 16:31:41.430
CRC-Response  - 14,4,F000,709*cf74 * 19-03-2025 16:31:43.720
L2 Value - 200 * 19-03-2025 16:31:43.735
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 19-03-2025 16:31:43.975
CRC-Response  - 15,4,I001*bd2b * 19-03-2025 16:31:44.184
CRC-Response  - 15,4,F000,710*9a48 * 19-03-2025 16:31:46.476
L3 Value - 200 * 19-03-2025 16:31:46.489
Command Sent Home Command - #16,5,01111111*2991  * 19-03-2025 16:31:46.743
CRC-Response  - 16,5,I001,01111111*680c * 19-03-2025 16:31:46.955
CRC-Response  - 16,5,F000*ada8 * 19-03-2025 16:32:00.205
Command Sent Home Command - #17,5,01111111*ea6c  * 19-03-2025 16:32:01.573
CRC-Response  - 17,5,I001,01111111*f85d * 19-03-2025 16:32:01.780
CRC-Response  - 17,5,F000*6169 * 19-03-2025 16:32:15.24
Rack - 1Protocol Started * 19-03-2025 16:32:16.152
Command Sent Rack-1 Picked from L1 - #18,2,1,17564,16380,0,0*c654  * 19-03-2025 16:32:16.261
CRC-Response  - 18,2,I001,1*4512 * 19-03-2025 16:32:16.478
CRC-Response  - 18,2,F000,1*7a43 * 19-03-2025 16:32:22.487
RA Picked Rack From L1 * 19-03-2025 16:32:22.489
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 19-03-2025 16:32:22.596
CRC-Response  - 19,3,I001,1*4c82 * 19-03-2025 16:32:22.810
CRC-Response  - 19,3,F000,1*73d3 * 19-03-2025 16:32:29.674
RA Placed Rack in H1 * 19-03-2025 16:32:29.676
Command Sent HEATER ON - #20,12,1*d2ee  * 19-03-2025 16:32:29.936
CRC-Response  - 20,12,F000*3a33 * 19-03-2025 16:32:30.155
Command Sent HEATER DOOR CLOSE - #21,8,1,0*e701  * 19-03-2025 16:32:30.721
CRC-Response  - 21,8,I001*723e * 19-03-2025 16:32:30.926
CRC-Response  - 21,8,F000*a6fc * 19-03-2025 16:32:31.267
Command Sent READ TEMPERATURE - #22,11*f106  * 19-03-2025 16:33:01.443
CRC-Response  - 22,11,F000,447*4cc6 * 19-03-2025 16:33:01.667
Command Sent READ TEMPERATURE - #23,11*0d07  * 19-03-2025 16:33:11.728
CRC-Response  - 23,11,F000,447*cdc4 * 19-03-2025 16:33:11.937
Command Sent READ TEMPERATURE - #24,11*7906  * 19-03-2025 16:33:21.991
CRC-Response  - 24,11,F000,545*8b1f * 19-03-2025 16:33:22.201
Command Sent READ TEMPERATURE - #25,11*8507  * 19-03-2025 16:33:32.274
CRC-Response  - 25,11,F000,545*0a1d * 19-03-2025 16:33:32.484
Command Sent READ TEMPERATURE - #26,11*c107  * 19-03-2025 16:33:42.542
CRC-Response  - 26,11,F000,545*c918 * 19-03-2025 16:33:42.751
Command Sent READ TEMPERATURE - #27,11*3d06  * 19-03-2025 16:33:52.817
CRC-Response  - 27,11,F000,545*481a * 19-03-2025 16:33:53.25
Command Sent READ TEMPERATURE - #28,11*2905  * 19-03-2025 16:34:03.89
CRC-Response  - 28,11,F000,545*470e * 19-03-2025 16:34:03.308
Command Sent READ TEMPERATURE - #29,11*d504  * 19-03-2025 16:34:13.368
CRC-Response  - 29,11,F000,545*c60c * 19-03-2025 16:34:13.575
Command Sent READ TEMPERATURE - #30,11*893a  * 19-03-2025 16:34:23.646
CRC-Response  - 30,11,F000,545*ce11 * 19-03-2025 16:34:23.856
Command Sent READ TEMPERATURE - #31,11*753b  * 19-03-2025 16:34:33.922
CRC-Response  - 31,11,F000,545*4f13 * 19-03-2025 16:34:34.142
Command Sent READ TEMPERATURE - #32,11*313b  * 19-03-2025 16:34:44.206
CRC-Response  - 32,11,F000,545*8c16 * 19-03-2025 16:34:44.426
Command Sent READ TEMPERATURE - #33,11*cd3a  * 19-03-2025 16:34:54.479
CRC-Response  - 33,11,F000,545*0d14 * 19-03-2025 16:34:54.687
Command Sent READ TEMPERATURE - #34,11*b93b  * 19-03-2025 16:35:04.751
CRC-Response  - 34,11,F000,545*4a1f * 19-03-2025 16:35:04.961
Command Sent READ TEMPERATURE - #35,11*453a  * 19-03-2025 16:35:15.18
CRC-Response  - 35,11,F000,545*cb1d * 19-03-2025 16:35:15.227
Command Sent READ TEMPERATURE - #36,11*013a  * 19-03-2025 16:35:25.277
CRC-Response  - 36,11,F000,545*0818 * 19-03-2025 16:35:25.560
Command Sent READ TEMPERATURE - #37,11*fd3b  * 19-03-2025 16:35:35.613
CRC-Response  - 37,11,F000,545*891a * 19-03-2025 16:35:35.825
Command Sent READ TEMPERATURE - #38,11*e938  * 19-03-2025 16:35:45.909
CRC-Response  - 38,11,F000,545*860e * 19-03-2025 16:35:46.118
Command Sent READ TEMPERATURE - #39,11*1539  * 19-03-2025 16:35:56.158
CRC-Response  - 39,11,F000,545*070c * 19-03-2025 16:35:56.628
Command Sent READ TEMPERATURE - #40,11*498f  * 19-03-2025 16:36:06.696
CRC-Response  - 40,11,F000,545*0917 * 19-03-2025 16:36:06.905
Command Sent READ TEMPERATURE - #41,11*b58e  * 19-03-2025 16:36:16.968
CRC-Response  - 41,11,F000,545*8815 * 19-03-2025 16:36:17.175
Command Sent READ TEMPERATURE - #42,11*f18e  * 19-03-2025 16:36:27.228
CRC-Response  - 42,11,F000,545*4b10 * 19-03-2025 16:36:27.475
Command Sent READ TEMPERATURE - #43,11*0d8f  * 19-03-2025 16:36:37.532
CRC-Response  - 43,11,F000,545*ca12 * 19-03-2025 16:36:37.741
Command Sent READ TEMPERATURE - #44,11*798e  * 19-03-2025 16:36:47.788
CRC-Response  - 44,11,F000,545*8d19 * 19-03-2025 16:36:47.997
Command Sent READ TEMPERATURE - #45,11*858f  * 19-03-2025 16:36:58.54
CRC-Response  - 45,11,F000,545*0c1b * 19-03-2025 16:36:58.261
Command Sent READ TEMPERATURE - #46,11*c18f  * 19-03-2025 16:37:08.320
CRC-Response  - 46,11,F000,545*cf1e * 19-03-2025 16:37:08.532
Command Sent HEATER OFF - #47,12,0*a548  * 19-03-2025 16:37:10.569
CRC-Response  - 47,12,F000*15f5 * 19-03-2025 16:37:10.787
Command Sent READ TEMPERATURE - #48,11*298d  * 19-03-2025 16:37:11.339
CRC-Response  - 48,11,F000,545*4108 * 19-03-2025 16:37:11.548
Command Sent READ TEMPERATURE - #49,11*d58c  * 19-03-2025 16:37:22.621
CRC-Response  - 49,11,F000,545*c00a * 19-03-2025 16:37:22.830
Command Sent HEATER DOOR OPEN - #50,8,1,1*0191  * 19-03-2025 16:37:30.584
CRC-Response  - 50,8,I001*8ed9 * 19-03-2025 16:37:30.793
CRC-Response  - 50,8,F000*5a1b * 19-03-2025 16:37:31.137
Command Sent Rack-1 Picked from H1 - #51,2,1,2688,1000,0,1*7b96  * 19-03-2025 16:37:31.361
CRC-Response  - 51,2,I001,1*5ad7 * 19-03-2025 16:37:31.569
CRC-Response  - 51,2,F000,1*6586 * 19-03-2025 16:37:36.656
RA Picked Rack From H1 * 19-03-2025 16:37:36.662
Command Sent HEATER DOOR CLOSE - #52,8,1,0*0173  * 19-03-2025 16:37:37.153
CRC-Response  - 52,8,I001*5758 * 19-03-2025 16:37:37.367
CRC-Response  - 52,8,F000*839a * 19-03-2025 16:37:37.711
Command Sent Rack-1 Placed in J1 - #53,3,1,10304,800,0,0*c335  * 19-03-2025 16:37:37.921
CRC-Response  - 53,3,I001,1*5cb7 * 19-03-2025 16:37:38.129
CRC-Response  - 53,3,F000,1*63e6 * 19-03-2025 16:37:44.191
RA Placed Rack in J1 * 19-03-2025 16:37:44.197
Command Sent HEATER ON - #54,12,1*9699  * 19-03-2025 16:37:44.721
CRC-Response  - 54,12,F000*20b0 * 19-03-2025 16:37:44.934
Command Sent HEATER OFF - #55,12,0*8759  * 19-03-2025 16:37:59.840
CRC-Response  - 55,12,F000*b0bd * 19-03-2025 16:38:00.46
Command Sent HEATER DOOR OPEN - #56,8,1,1*01f7  * 19-03-2025 16:38:00.608
CRC-Response  - 56,8,I001*a459 * 19-03-2025 16:38:00.818
CRC-Response  - 56,8,F000*709b * 19-03-2025 16:38:01.157
Rack - 2Protocol Started * 19-03-2025 16:38:01.330
Command Sent Rack-2 Picked from L2 - #57,2,1,13934,16380,0,0*cef6  * 19-03-2025 16:38:01.410
CRC-Response  - 57,2,I001,1*4537 * 19-03-2025 16:38:01.623
CRC-Response  - 57,2,F000,1*7a66 * 19-03-2025 16:38:08.36
RA Picked Rack From L2 * 19-03-2025 16:38:08.42
Command Sent Rack-2 Placed in H1 - #58,3,1,2688,1000,0,1*7618  * 19-03-2025 16:38:08.274
CRC-Response  - 58,3,I001,1*b9c6 * 19-03-2025 16:38:08.483
CRC-Response  - 58,3,F000,1*8697 * 19-03-2025 16:38:14.936
RA Placed Rack in H1 * 19-03-2025 16:38:14.940
Command Sent HEATER ON - #59,12,1*8b98  * 19-03-2025 16:38:15.139
CRC-Response  - 59,12,F000*b0e8 * 19-03-2025 16:38:15.352
Command Sent HEATER DOOR CLOSE - #60,8,1,0*d410  * 19-03-2025 16:38:15.931
CRC-Response  - 60,8,I001*7ecd * 19-03-2025 16:38:16.138
CRC-Response  - 60,8,F000*aa0f * 19-03-2025 16:38:16.481
Command Sent READ TEMPERATURE - #61,11*75f7  * 19-03-2025 16:38:16.709
CRC-Response  - 61,11,F000,-273*1a6c * 19-03-2025 16:38:16.914
Command Sent READ TEMPERATURE - #62,11*31f7  * 19-03-2025 16:38:26.966
CRC-Response  - 62,11,F000,545*8913 * 19-03-2025 16:38:27.170
Command Sent READ TEMPERATURE - #63,11*cdf6  * 19-03-2025 16:38:37.231
CRC-Response  - 63,11,F000,545*0811 * 19-03-2025 16:38:37.439
Command Sent READ TEMPERATURE - #64,11*b9f7  * 19-03-2025 16:38:46.743
CRC-Response  - 64,11,F000,545*4f1a * 19-03-2025 16:38:47.24
Command Sent READ TEMPERATURE - #65,11*45f6  * 19-03-2025 16:38:47.496
CRC-Response  - 65,11,F000,545*ce18 * 19-03-2025 16:38:47.707
Command Sent READ TEMPERATURE - #66,11*01f6  * 19-03-2025 16:38:57.757
CRC-Response  - 66,11,F000,545*0d1d * 19-03-2025 16:38:57.970
Command Sent READ TEMPERATURE - #67,11*fdf7  * 19-03-2025 16:39:08.21
CRC-Response  - 67,11,F000,545*8c1f * 19-03-2025 16:39:08.227
Command Sent READ TEMPERATURE - #68,11*e9f4  * 19-03-2025 16:39:18.289
CRC-Response  - 68,11,F000,545*830b * 19-03-2025 16:39:18.497
Command Sent HEATER OFF - #69,12,0*4b6a  * 19-03-2025 16:39:24.960
CRC-Response  - 69,12,F000*bf18 * 19-03-2025 16:39:25.174
Command Sent Rack-1 Picked from J1 - #70,2,1,10304,800,0,0*f559  * 19-03-2025 16:39:45.42
CRC-Response  - 70,2,I001,1*278d * 19-03-2025 16:39:45.266
CRC-Response  - 70,2,F000,1*18dc * 19-03-2025 16:39:51.307
RA Picked Rack From J1 * 19-03-2025 16:39:51.311
Command Sent Rack-1 Placed in J2 - #71,3,1,13934,800 ,0,0*0b95  * 19-03-2025 16:39:51.886
CRC-Response  - 71,3,I001,1*2e1d * 19-03-2025 16:39:52.97
CRC-Response  - 71,3,F000,1*114c * 19-03-2025 16:39:57.706
RA Placed Rack in J2 * 19-03-2025 16:39:57.711
Command Sent HEATER ON - #72,12,1*30ba  * 19-03-2025 16:39:58.224
CRC-Response  - 72,12,F000*4a3a * 19-03-2025 16:39:58.436
Command Sent READ TEMPERATURE - #73,11*0dcb  * 19-03-2025 16:40:29.84
CRC-Response  - 73,11,F000,545*c911 * 19-03-2025 16:40:29.336
Command Sent READ TEMPERATURE - #74,11*79ca  * 19-03-2025 16:40:39.380
CRC-Response  - 74,11,F000,545*8e1a * 19-03-2025 16:40:39.597
Command Sent READ TEMPERATURE - #75,11*85cb  * 19-03-2025 16:40:49.651
CRC-Response  - 75,11,F000,545*0f18 * 19-03-2025 16:40:49.857
Command Sent READ TEMPERATURE - #76,11*c1cb  * 19-03-2025 16:40:59.912
CRC-Response  - 76,11,F000,545*cc1d * 19-03-2025 16:41:00.119
Command Sent READ TEMPERATURE - #77,11*3dca  * 19-03-2025 16:41:10.185
CRC-Response  - 77,11,F000,545*4d1f * 19-03-2025 16:41:10.405
Command Sent READ TEMPERATURE - #78,11*29c9  * 19-03-2025 16:41:20.463
CRC-Response  - 78,11,F000,545*420b * 19-03-2025 16:41:20.673
Command Sent READ TEMPERATURE - #79,11*d5c8  * 19-03-2025 16:41:30.738
CRC-Response  - 79,11,F000,545*c309 * 19-03-2025 16:41:30.951
Command Sent HEATER OFF - #80,12,0*1285  * 19-03-2025 16:41:38.570
CRC-Response  - 80,12,F000*1a13 * 19-03-2025 16:41:38.790
Command Sent Rack-1 Picked from J2 - #81,2,1,13934,800 ,0,0*083b  * 19-03-2025 16:41:58.589
CRC-Response  - 81,2,I001,1*f6ec * 19-03-2025 16:41:58.940
CRC-Response  - 81,2,F000,1*c9bd * 19-03-2025 16:42:03.886
RA Picked Rack From J2 * 19-03-2025 16:42:03.887
Command Sent Rack-1 Placed in J4 - #82,3,1,21194,800 ,0,0*81ea  * 19-03-2025 16:42:04.28
CRC-Response  - 82,3,I001,1*35dd * 19-03-2025 16:42:04.242
CRC-Response  - 82,3,F000,1*0a8c * 19-03-2025 16:42:10.258
RA Placed Rack in J4 * 19-03-2025 16:42:10.262
Command Sent HEATER ON - #83,12,1*e144  * 19-03-2025 16:42:10.370
CRC-Response  - 83,12,F000*ea07 * 19-03-2025 16:42:10.584
Command Sent READ TEMPERATURE - #84,11*789e  * 19-03-2025 16:42:41.244
CRC-Response  - 84,11,F000,545*8115 * 19-03-2025 16:42:41.470
Command Sent READ TEMPERATURE - #85,11*849f  * 19-03-2025 16:42:51.540
CRC-Response  - 85,11,F000,545*0017 * 19-03-2025 16:42:51.748
Command Sent HEATER OFF - #86,12,0*7485  * 19-03-2025 16:42:55.785
CRC-Response  - 86,12,F000*ba38 * 19-03-2025 16:42:55.992
Command Sent HEATER DOOR OPEN - #87,8,1,1*5826  * 19-03-2025 16:43:15.851
CRC-Response  - 87,8,I001*f8c0 * 19-03-2025 16:43:16.297
CRC-Response  - 87,8,F000*2c02 * 19-03-2025 16:43:20.859
Command Sent Rack-2 Picked from H1 - #88,2,1,2688,1000,0,1*fa64  * 19-03-2025 16:43:21.421
CRC-Response  - 88,2,I001,1*d93c * 19-03-2025 16:43:21.629
CRC-Response  - 88,2,F000,1*e66d * 19-03-2025 16:43:28.917
RA Picked Rack From H1 * 19-03-2025 16:43:28.921
Command Sent HEATER DOOR CLOSE - #89,8,1,0*5808  * 19-03-2025 16:43:29.314
CRC-Response  - 89,8,I001*7441 * 19-03-2025 16:43:29.521
CRC-Response  - 89,8,F000*a083 * 19-03-2025 16:43:29.861
Command Sent Rack-2 Placed in J1 - #90,3,1,10304,800,0,0*4a61  * 19-03-2025 16:43:30.82
CRC-Response  - 90,3,I001,1*0378 * 19-03-2025 16:43:30.294
CRC-Response  - 90,3,F000,1*3c29 * 19-03-2025 16:43:36.353
RA Placed Rack in J1 * 19-03-2025 16:43:36.359
Command Sent HEATER ON - #91,12,1*c355  * 19-03-2025 16:43:36.931
CRC-Response  - 91,12,F000*4f4f * 19-03-2025 16:43:37.142
Command Sent HEATER OFF - #92,12,0*3094  * 19-03-2025 16:43:45.127
CRC-Response  - 92,12,F000*bf5b * 19-03-2025 16:43:45.364
Command Sent HEATER DOOR OPEN - #93,8,1,1*54a2  * 19-03-2025 16:43:45.923
CRC-Response  - 93,8,I001*9bcc * 19-03-2025 16:43:46.136
CRC-Response  - 93,8,F000*4f0e * 19-03-2025 16:43:46.479
Rack - R3Protocol Started * 19-03-2025 16:43:46.668
Command Sent Rack-3 Picked from L3 - #94,2,1,10304,16380,0,0*a516  * 19-03-2025 16:43:46.742
CRC-Response  - 94,2,I001,1*1af8 * 19-03-2025 16:43:46.961
CRC-Response  - 94,2,F000,1*25a9 * 19-03-2025 16:43:53.361
RA Picked Rack From L3 * 19-03-2025 16:43:53.365
Command Sent Rack-3 Placed in H1 - #95,3,1,2688,1000,0,1*1626  * 19-03-2025 16:43:53.582
CRC-Response  - 95,3,I001,1*1368 * 19-03-2025 16:43:53.791
CRC-Response  - 95,3,F000,1*2c39 * 19-03-2025 16:44:00.201
RA Placed Rack in H1 * 19-03-2025 16:44:00.205
Command Sent HEATER ON - #96,12,1*7454  * 19-03-2025 16:44:00.390
CRC-Response  - 96,12,F000*7f69 * 19-03-2025 16:44:00.605
Command Sent HEATER DOOR CLOSE - #97,8,1,0*5426  * 19-03-2025 16:44:01.190
CRC-Response  - 97,8,I001*68cd * 19-03-2025 16:44:01.396
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 19-03-2025 16:45:37.34
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 19-03-2025 16:45:48.62
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 19-03-2025 16:45:59.127
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 19-03-2025 16:46:10.165
