Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
Command Sent READ TEMPERATURE - #29,11*d504  * 07-04-2025 16:29:33.463
CRC-Response  - 29,11,F000,447*c7dc * 07-04-2025 16:29:33.680
Command Sent READ TEMPERATURE - #30,11*893a  * 07-04-2025 16:29:48.854
CRC-Response  - 30,11,F000,545*ce11 * 07-04-2025 16:29:49.247
Command Sent READ TEMPERATURE - #31,11*753b  * 07-04-2025 16:30:04.421
CRC-Response  - 31,11,F000,545*4f13 * 07-04-2025 16:30:05.136
Command Sent READ TEMPERATURE - #32,11*313b  * 07-04-2025 16:30:20.319
CRC-Response  - 32,11,F000,545*8c16 * 07-04-2025 16:30:20.542
Command Sent READ TEMPERATURE - #33,11*cd3a  * 07-04-2025 16:30:35.709
CRC-Response  - 33,11,F000,545*0d14 * 07-04-2025 16:30:35.953
Command Sent READ TEMPERATURE - #34,11*b93b  * 07-04-2025 16:30:51.122
CRC-Response  - 34,11,F000,545*4a1f * 07-04-2025 16:30:51.364
Command Sent READ TEMPERATURE - #35,11*453a  * 07-04-2025 16:31:06.522
CRC-Response  - 35,11,F000,545*cb1d * 07-04-2025 16:31:06.765
Command Sent READ TEMPERATURE - #36,11*013a  * 07-04-2025 16:31:21.935
CRC-Response  - 36,11,F000,545*0818 * 07-04-2025 16:31:22.185
Command Sent READ TEMPERATURE - #37,11*fd3b  * 07-04-2025 16:31:37.366
CRC-Response  - 37,11,F000,545*891a * 07-04-2025 16:31:37.575
Command Sent READ TEMPERATURE - #38,11*e938  * 07-04-2025 16:31:52.752
CRC-Response  - 38,11,F000,545*860e * 07-04-2025 16:31:52.973
Command Sent READ TEMPERATURE - #39,11*1539  * 07-04-2025 16:32:08.158
CRC-Response  - 39,11,F000,545*070c * 07-04-2025 16:32:08.501
Command Sent READ TEMPERATURE - #40,11*498f  * 07-04-2025 16:32:23.668
CRC-Response  - 40,11,F000,447*08c7 * 07-04-2025 16:32:23.886
Command Sent READ TEMPERATURE - #41,11*b58e  * 07-04-2025 16:32:39.67
CRC-Response  - 41,11,F000,545*8815 * 07-04-2025 16:32:39.309
Command Sent READ TEMPERATURE - #42,11*f18e  * 07-04-2025 16:32:55.491
CRC-Response  - 42,11,F000,545*4b10 * 07-04-2025 16:32:55.890
Command Sent HEATER DOOR OPEN - #43,8,1,1*cd63  * 07-04-2025 16:33:10.121
CRC-Response  - 43,8,I001*0b94 * 07-04-2025 16:33:10.333
CRC-Response  - 43,8,F000*df56 * 07-04-2025 16:33:10.671
Command Sent Rack-1 Picked from H1 - #44,2,2,2688,1000,0,1*6724  * 07-04-2025 16:33:10.996
CRC-Response  - 44,2,I001,2*b783 * 07-04-2025 16:33:11.212
CRC-Response  - 44,2,F000,2*88d2 * 07-04-2025 16:33:16.290
RA Picked Rack From H1 * 07-04-2025 16:33:16.295
Command Sent HEATER DOOR CLOSE - #45,8,1,0*0dc4  * 07-04-2025 16:33:16.965
CRC-Response  - 45,8,I001*2114 * 07-04-2025 16:33:17.182
CRC-Response  - 45,8,F000*f5d6 * 07-04-2025 16:33:17.523
Command Sent Rack-1 Placed in J1 - #46,3,2,10304,800,0,0*df87  * 07-04-2025 16:33:31.338
CRC-Response  - 46,3,I001,2*b1e3 * 07-04-2025 16:33:31.561
CRC-Response  - 46,3,F000,2*8eb2 * 07-04-2025 16:33:37.594
RA Placed Rack in J1 * 07-04-2025 16:33:37.601
Command Sent Home Command - #47,5,00111111*2f70  * 07-04-2025 16:33:40.394
CRC-Response  - 47,5,I001,00111111*f55d * 07-04-2025 16:33:40.611
CRC-Response  - 47,5,F000*3156 * 07-04-2025 16:33:40.617
Command Sent HEATER DOOR OPEN - #48,8,1,1*0dd9  * 07-04-2025 16:33:41.298
CRC-Response  - 48,8,I001*b8d5 * 07-04-2025 16:33:41.512
CRC-Response  - 48,8,F000*6c17 * 07-04-2025 16:33:41.853
Rack - 2Protocol Started * 07-04-2025 16:33:42.26
Command Sent Rack-2 Picked from L2 - #49,2,2,13934,16380,0,0*dc39  * 07-04-2025 16:33:42.226
CRC-Response  - 49,2,I001,2*4d12 * 07-04-2025 16:33:42.436
CRC-Response  - 49,2,F000,2*7243 * 07-04-2025 16:33:49.206
RA Picked Rack From L2 * 07-04-2025 16:33:49.211
Command Sent Rack-2 Placed in H1 - #50,3,2,2688,1000,0,1*16b9  * 07-04-2025 16:33:49.674
CRC-Response  - 50,3,I001,2*5207 * 07-04-2025 16:33:49.889
CRC-Response  - 50,3,F000,2*6d56 * 07-04-2025 16:33:56.350
RA Placed Rack in H1 * 07-04-2025 16:33:56.353
Command Sent HEATER DOOR CLOSE - #51,8,1,0*0140  * 07-04-2025 16:33:57.175
CRC-Response  - 51,8,I001*4218 * 07-04-2025 16:33:57.385
CRC-Response  - 51,8,F000*96da * 07-04-2025 16:33:57.727
Command Sent READ TEMPERATURE - #52,11*31b3  * 07-04-2025 16:33:58.76
CRC-Response  - 52,11,F000,447*8bc0 * 07-04-2025 16:33:58.281
Command Sent READ TEMPERATURE - #53,11*cdb2  * 07-04-2025 16:34:13.446
CRC-Response  - 53,11,F000,545*0b12 * 07-04-2025 16:34:13.782
Command Sent READ TEMPERATURE - #54,11*b9b3  * 07-04-2025 16:34:17.220
CRC-Response  - 54,11,F000,545*4c19 * 07-04-2025 16:34:17.426
Command Sent READ TEMPERATURE - #55,11*45b2  * 07-04-2025 16:34:28.945
CRC-Response  - 55,11,F000,545*cd1b * 07-04-2025 16:34:29.160
Command Sent READ TEMPERATURE - #56,11*01b2  * 07-04-2025 16:34:44.319
CRC-Response  - 56,11,F000,545*0e1e * 07-04-2025 16:34:44.636
Command Sent READ TEMPERATURE - #57,11*fdb3  * 07-04-2025 16:34:59.826
CRC-Response  - 57,11,F000,545*8f1c * 07-04-2025 16:35:00.38
Command Sent READ TEMPERATURE - #58,11*e9b0  * 07-04-2025 16:35:15.210
CRC-Response  - 58,11,F000,447*81d8 * 07-04-2025 16:35:15.443
Command Sent READ TEMPERATURE - #59,11*15b1  * 07-04-2025 16:35:31.597
CRC-Response  - 59,11,F000,545*010a * 07-04-2025 16:35:31.809
Command Sent Rack-1 Picked from J1 - #60,2,2,10304,800,0,0*2527  * 07-04-2025 16:35:38.522
CRC-Response  - 60,2,I001,2*dac9 * 07-04-2025 16:35:38.733
CRC-Response  - 60,2,F000,2*e598 * 07-04-2025 16:35:44.772
RA Picked Rack From J1 * 07-04-2025 16:35:44.778
Command Sent Rack-1 Placed in J2 - #61,3,2,13934,800,0,0*9a9e  * 07-04-2025 16:35:45.425
CRC-Response  - 61,3,I001,2*d359 * 07-04-2025 16:35:45.637
CRC-Response  - 61,3,F000,2*ec08 * 07-04-2025 16:35:51.224
RA Placed Rack in J2 * 07-04-2025 16:35:51.230
Command Sent READ TEMPERATURE - #62,11*31f7  * 07-04-2025 16:35:55.575
CRC-Response  - 62,11,F000,545*8913 * 07-04-2025 16:35:55.789
Command Sent READ TEMPERATURE - #63,11*cdf6  * 07-04-2025 16:36:10.985
CRC-Response  - 63,11,F000,545*0811 * 07-04-2025 16:36:11.208
Command Sent READ TEMPERATURE - #64,11*b9f7  * 07-04-2025 16:36:26.367
CRC-Response  - 64,11,F000,545*4f1a * 07-04-2025 16:36:26.579
Command Sent READ TEMPERATURE - #65,11*45f6  * 07-04-2025 16:36:41.750
CRC-Response  - 65,11,F000,545*ce18 * 07-04-2025 16:36:42.119
Command Sent READ TEMPERATURE - #66,11*01f6  * 07-04-2025 16:36:57.278
CRC-Response  - 66,11,F000,-273*dd6a * 07-04-2025 16:36:57.495
Command Sent READ TEMPERATURE - #67,11*fdf7  * 07-04-2025 16:37:12.663
CRC-Response  - 67,11,F000,-273*1c6a * 07-04-2025 16:37:12.894
Command Sent READ TEMPERATURE - #68,11*e9f4  * 07-04-2025 16:37:28.80
CRC-Response  - 68,11,F000,-273*1365 * 07-04-2025 16:37:28.392
Command Sent READ TEMPERATURE - #69,11*15f5  * 07-04-2025 16:37:44.558
CRC-Response  - 69,11,F000,545*0209 * 07-04-2025 16:37:44.777
Command Sent Rack-1 Picked from J2 - #70,2,2,13934,800,0,0*27cf  * 07-04-2025 16:37:52.261
CRC-Response  - 70,2,I001,2*26cd * 07-04-2025 16:37:52.485
CRC-Response  - 70,2,F000,2*199c * 07-04-2025 16:37:57.551
RA Picked Rack From J2 * 07-04-2025 16:37:57.558
Command Sent Rack-1 Placed in J4 - #71,3,2,21194,800,0,0*0f55  * 07-04-2025 16:37:58.193
CRC-Response  - 71,3,I001,2*2f5d * 07-04-2025 16:37:58.406
CRC-Response  - 71,3,F000,2*100c * 07-04-2025 16:38:04.406
RA Placed Rack in J4 * 07-04-2025 16:38:04.413
Command Sent READ TEMPERATURE - #72,11*f1ca  * 07-04-2025 16:38:08.335
CRC-Response  - 72,11,F000,545*4813 * 07-04-2025 16:38:08.549
Command Sent READ TEMPERATURE - #73,11*0dcb  * 07-04-2025 16:38:23.721
CRC-Response  - 73,11,F000,545*c911 * 07-04-2025 16:38:23.935
Command Sent READ TEMPERATURE - #74,11*79ca  * 07-04-2025 16:38:40.96
CRC-Response  - 74,11,F000,545*8e1a * 07-04-2025 16:38:40.310
Command Sent READ TEMPERATURE - #75,11*85cb  * 07-04-2025 16:38:55.467
CRC-Response  - 75,11,F000,545*0f18 * 07-04-2025 16:38:55.709
Command Sent HEATER DOOR OPEN - #76,8,1,1*d876  * 07-04-2025 16:38:57.509
CRC-Response  - 76,8,I001*c440 * 07-04-2025 16:38:57.722
CRC-Response  - 76,8,F000*1082 * 07-04-2025 16:38:58.62
Command Sent Rack-2 Picked from H1 - #77,2,2,2688,1000,0,1*1024  * 07-04-2025 16:38:58.371
CRC-Response  - 77,2,I001,2*fc7c * 07-04-2025 16:38:58.588
CRC-Response  - 77,2,F000,2*c32d * 07-04-2025 16:39:05.890
RA Picked Rack From H1 * 07-04-2025 16:39:05.894
Command Sent HEATER DOOR CLOSE - #78,8,1,0*d858  * 07-04-2025 16:39:06.325
CRC-Response  - 78,8,I001*48c1 * 07-04-2025 16:39:06.542
CRC-Response  - 78,8,F000*9c03 * 07-04-2025 16:39:06.882
Command Sent Rack-2 Placed in J1 - #79,3,2,10304,800,0,0*f994  * 07-04-2025 16:39:07.208
CRC-Response  - 79,3,I001,2*c5dc * 07-04-2025 16:39:07.423
CRC-Response  - 79,3,F000,2*fa8d * 07-04-2025 16:39:13.465
RA Placed Rack in J1 * 07-04-2025 16:39:13.469
Command Sent READ TEMPERATURE - #80,11*489f  * 07-04-2025 16:39:17.530
CRC-Response  - 80,11,F000,545*051b * 07-04-2025 16:39:17.745
Command Sent Home Command - #81,5,00111111*eb69  * 07-04-2025 16:39:27.453
CRC-Response  - 81,5,I001,00111111*077d * 07-04-2025 16:39:27.663
CRC-Response  - 81,5,F000*1b83 * 07-04-2025 16:39:27.671
Command Sent HEATER DOOR OPEN - #82,8,1,1*5873  * 07-04-2025 16:39:28.329
CRC-Response  - 82,8,I001*c700 * 07-04-2025 16:39:28.545
CRC-Response  - 82,8,F000*13c2 * 07-04-2025 16:39:28.886
Rack - R3Protocol Started * 07-04-2025 16:39:29.49
Command Sent Rack-3 Picked from L3 - #83,2,2,10304,16380,0,0*2e40  * 07-04-2025 16:39:29.230
CRC-Response  - 83,2,I001,2*3d0d * 07-04-2025 16:39:29.445
CRC-Response  - 83,2,F000,2*025c * 07-04-2025 16:39:35.925
RA Picked Rack From L3 * 07-04-2025 16:39:35.930
Command Sent Rack-3 Placed in H1 - #84,3,2,2688,1000,0,1*3a65  * 07-04-2025 16:39:36.196
CRC-Response  - 84,3,I001,2*2b7d * 07-04-2025 16:39:36.404
CRC-Response  - 84,3,F000,2*142c * 07-04-2025 16:39:42.806
RA Placed Rack in H1 * 07-04-2025 16:39:42.809
Command Sent HEATER DOOR CLOSE - #85,8,1,0*58c4  * 07-04-2025 16:39:43.662
CRC-Response  - 85,8,I001*2141 * 07-04-2025 16:39:43.870
CRC-Response  - 85,8,F000*f583 * 07-04-2025 16:39:44.211
Command Sent READ TEMPERATURE - #86,11*c09f  * 07-04-2025 16:39:44.541
CRC-Response  - 86,11,F000,545*c312 * 07-04-2025 16:39:44.757
Command Sent Rack-1 Picked from J4 - #87,2,2,21194,800,0,0*e9d8  * 07-04-2025 16:40:04.876
CRC-Response  - 87,2,I001,2*e84c * 07-04-2025 16:40:05.97
CRC-Response  - 87,2,F000,2*d71d * 07-04-2025 16:40:12.349
RA Picked Rack From J4 * 07-04-2025 16:40:12.355
Command Sent Rack-1 Placed in J5 - #88,3,2,24824,800,0,0*198d  * 07-04-2025 16:40:12.847
CRC-Response  - 88,3,I001,2*14bd * 07-04-2025 16:40:13.61
CRC-Response  - 88,3,F000,2*2bec * 07-04-2025 16:40:18.659
RA Placed Rack in J5 * 07-04-2025 16:40:18.663
Command Sent READ TEMPERATURE - #89,11*d49c  * 07-04-2025 16:40:23.380
CRC-Response  - 89,11,F000,545*cc06 * 07-04-2025 16:40:23.593
Command Sent READ TEMPERATURE - #90,11*88a2  * 07-04-2025 16:40:38.752
CRC-Response  - 90,11,F000,447*c5cb * 07-04-2025 16:40:38.967
Command Sent READ TEMPERATURE - #91,11*74a3  * 07-04-2025 16:40:54.137
CRC-Response  - 91,11,F000,545*4519 * 07-04-2025 16:40:54.373
Command Sent READ TEMPERATURE - #92,11*30a3  * 07-04-2025 16:41:10.552
CRC-Response  - 92,11,F000,545*861c * 07-04-2025 16:41:10.892
Command Sent Rack-2 Picked from J1 - #93,2,2,10304,800,0,0*9f37  * 07-04-2025 16:41:14.410
CRC-Response  - 93,2,I001,2*c109 * 07-04-2025 16:41:14.623
CRC-Response  - 93,2,F000,2*fe58 * 07-04-2025 16:41:21.436
RA Picked Rack From J1 * 07-04-2025 16:41:21.443
Command Sent Rack-2 Placed in J2 - #94,3,2,13934,800,0,0*a806  * 07-04-2025 16:41:21.862
CRC-Response  - 94,3,I001,2*d779 * 07-04-2025 16:41:22.72
CRC-Response  - 94,3,F000,2*e828 * 07-04-2025 16:41:27.666
RA Placed Rack in J2 * 07-04-2025 16:41:27.670
Command Sent READ TEMPERATURE - #95,11*44a2  * 07-04-2025 16:41:32.443
CRC-Response  - 95,11,F000,447*c0c7 * 07-04-2025 16:41:32.656
Command Sent READ TEMPERATURE - #96,11*00a2  * 07-04-2025 16:41:47.808
CRC-Response  - 96,11,F000,447*03c2 * 07-04-2025 16:41:48.21
Command Sent READ TEMPERATURE - #97,11*fca3  * 07-04-2025 16:42:04.181
CRC-Response  - 97,11,F000,545*8310 * 07-04-2025 16:42:04.392
Command Sent Rack-1 Picked from J5 - #98,2,2,24824,800,0,0*58e1  * 07-04-2025 16:42:19.406
CRC-Response  - 98,2,I001,2*2478 * 07-04-2025 16:42:19.666
CRC-Response  - 98,2,F000,2*1b29 * 07-04-2025 16:42:26.32
RA Picked Rack From J5 * 07-04-2025 16:42:26.39
Command Sent Rack-1 Placed in J6 - #99,3,2,28454,800,0,0*ae13  * 07-04-2025 16:42:26.456
CRC-Response  - 99,3,I001,2*2de8 * 07-04-2025 16:42:26.668
CRC-Response  - 99,3,F000,2*12b9 * 07-04-2025 16:42:32.275
RA Placed Rack in J6 * 07-04-2025 16:42:32.281
Command Sent READ TEMPERATURE - #100,11*b35e  * 07-04-2025 16:42:37.419
CRC-Response  - 100,11,F000,545*6708 * 07-04-2025 16:42:37.630
Command Sent READ TEMPERATURE - #101,11*4f5f  * 07-04-2025 16:42:52.776
CRC-Response  - 101,11,F000,545*e60a * 07-04-2025 16:42:52.992
Command Sent READ TEMPERATURE - #102,11*0b5f  * 07-04-2025 16:43:08.146
CRC-Response  - 102,11,F000,545*250f * 07-04-2025 16:43:08.368
Command Sent READ TEMPERATURE - #103,11*f75e  * 07-04-2025 16:43:24.557
CRC-Response  - 103,11,F000,-273*11c2 * 07-04-2025 16:43:24.835
Command Sent Rack-2 Picked from J2 - #104,2,2,13934,800,0,0*8291  * 07-04-2025 16:43:28.614
CRC-Response  - 104,2,I001,2*e249 * 07-04-2025 16:43:28.827
CRC-Response  - 104,2,F000,2*dd18 * 07-04-2025 16:43:35.644
RA Picked Rack From J2 * 07-04-2025 16:43:35.651
Command Sent Rack-2 Placed in J4 - #105,3,2,21194,800,0,0*aa0b  * 07-04-2025 16:43:36.96
CRC-Response  - 105,3,I001,2*ebd9 * 07-04-2025 16:43:36.307
CRC-Response  - 105,3,F000,2*d488 * 07-04-2025 16:43:42.323
RA Placed Rack in J4 * 07-04-2025 16:43:42.329
Command Sent READ TEMPERATURE - #106,11*3b5e  * 07-04-2025 16:43:46.629
CRC-Response  - 106,11,F000,545*a101 * 07-04-2025 16:43:46.845
Command Sent READ TEMPERATURE - #107,11*c75f  * 07-04-2025 16:44:02.16
CRC-Response  - 107,11,F000,545*2003 * 07-04-2025 16:44:02.233
Command Sent WATER VALVE - 1 CONTROL ON - #108,13,1,1*221e  * 07-04-2025 16:44:16.174
CRC-Response  - 108,13,F000*fe79 * 07-04-2025 16:44:16.387
Command Sent Rack-1 Picked from J6 - #109,2,2,28454,800,0,0*8484  * 07-04-2025 16:44:33.239
CRC-Response  - 109,2,I001,2*18d8 * 07-04-2025 16:44:33.580
CRC-Response  - 109,2,F000,2*2789 * 07-04-2025 16:44:39.466
RA Picked Rack From J6 * 07-04-2025 16:44:39.472
Command Sent RA-1 Movement - #110,1,1,64754,800 ,0*4f9b  * 07-04-2025 16:44:39.818
CRC-Response  - 110,1,I001,1*df0c * 07-04-2025 16:44:40.37
CRC-Response  - 110,1,F000,1*e05d * 07-04-2025 16:44:41.25
RA Moved to assigned Location * 07-04-2025 16:44:41.30
Command Sent Rack-1 Placed in W1 - #111,3,2,42974,800,0,0*1c81  * 07-04-2025 16:44:41.232
CRC-Response  - 111,3,I001,2*c29c * 07-04-2025 16:44:41.443
5 Secconds Timer increments in Jar H1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:44:43.625
CRC-Response  - 111,3,F000,2*fdcd * 07-04-2025 16:44:48.259
RA Placed Rack in W1 * 07-04-2025 16:44:48.269
11 Secconds Timer increments in Jar H1 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 16:44:48.679
Command Sent RA-2 Movement - #112,1,2,2688,800 ,0*3334  * 07-04-2025 16:44:48.680
CRC-Response  - 112,1,I001,2*14ed * 07-04-2025 16:44:48.894
CRC-Response  - 112,1,F000,2*2bbc * 07-04-2025 16:44:54.245
RA Moved to assigned Location * 07-04-2025 16:44:54.252
Command Sent HEATER DOOR OPEN - #113,8,1,1*98b0  * 07-04-2025 16:44:59.882
CRC-Response  - 113,8,I001*9680 * 07-04-2025 16:45:00.95
CRC-Response  - 113,8,F000*4242 * 07-04-2025 16:45:00.436
Command Sent Rack-3 Picked from H1 - #114,2,2,2688,1000,0,1*10f2  * 07-04-2025 16:45:00.778
CRC-Response  - 114,2,I001,2*1e4d * 07-04-2025 16:45:00.995
CRC-Response  - 114,2,F000,2*211c * 07-04-2025 16:45:06.153
RA Picked Rack From H1 * 07-04-2025 16:45:06.159
Command Sent HEATER DOOR CLOSE - #115,8,1,0*5817  * 07-04-2025 16:45:06.747
CRC-Response  - 115,8,I001*bc00 * 07-04-2025 16:45:06.952
CRC-Response  - 115,8,F000*68c2 * 07-04-2025 16:45:07.306
Command Sent Rack-3 Placed in J1 - #116,3,2,10304,800,0,0*a851  * 07-04-2025 16:45:07.615
CRC-Response  - 116,3,I001,2*182d * 07-04-2025 16:45:07.836
CRC-Response  - 116,3,F000,2*277c * 07-04-2025 16:45:13.876
RA Placed Rack in J1 * 07-04-2025 16:45:13.886
Command Sent READ TEMPERATURE - #117,11*0762  * 07-04-2025 16:45:18.312
CRC-Response  - 117,11,F000,545*e103 * 07-04-2025 16:45:18.526
Command Sent Home Command - #118,5,00111111*25f0  * 07-04-2025 16:45:25.61
CRC-Response  - 118,5,I001,00111111*f35f * 07-04-2025 16:45:25.275
CRC-Response  - 118,5,F000*ec02 * 07-04-2025 16:45:25.284
Command Sent Rack-2 Picked from J4 - #119,11*ef60  * 07-04-2025 16:45:42.899
CRC-Response  - 119,11,F000,545*6f15 * 07-04-2025 16:45:43.144
Command Sent Rack-2 Picked from J4 - #120,2,2,21194,800,0,0*14ef  * 07-04-2025 16:45:43.319
CRC-Response  - 120,2,I001,2*8f03 * 07-04-2025 16:45:43.530
CRC-Response  - 120,2,F000,2*b052 * 07-04-2025 16:45:51.100
RA Picked Rack From J4 * 07-04-2025 16:45:51.107
Command Sent Rack-2 Placed in J5 - #121,3,2,24824,800,0,0*0dd0  * 07-04-2025 16:45:51.455
CRC-Response  - 121,3,I001,2*8693 * 07-04-2025 16:45:51.671
CRC-Response  - 121,3,F000,2*b9c2 * 07-04-2025 16:45:57.283
RA Placed Rack in J5 * 07-04-2025 16:45:57.289
Command Sent Home Command - #122,5,00111111*feed  * 07-04-2025 16:45:58.426
CRC-Response  - 122,5,I001,00111111*1589 * 07-04-2025 16:45:58.642
CRC-Response  - 122,5,F000*6396 * 07-04-2025 16:45:58.662
Command Sent HEATER DOOR OPEN - #123,8,1,1*8df0  * 07-04-2025 16:46:02.996
CRC-Response  - 123,8,I001*6694 * 07-04-2025 16:46:03.210
CRC-Response  - 123,8,F000*b256 * 07-04-2025 16:46:03.551
Command Sent Level Sensing For L1 - #124,4,17564,16380,0,0*f15e  * 07-04-2025 16:46:03.921
CRC-Response  - 124,4,I001*4cd5 * 07-04-2025 16:46:04.137
CRC-Response  - 124,4,F000,956*80cb * 07-04-2025 16:46:12.413
L1 Value - 956 * 07-04-2025 16:46:12.434
Command Sent Level Sensing For L2 - #125,4,13934,16380,0,0*097b  * 07-04-2025 16:46:12.835
