Device Intialization started * 05-04-2025 12:42:54.265
Command Sent SET TEMPERATURE - #0,10,37*84ca  * 05-04-2025 12:42:54.558
Command Sent Level Sensing For L1 - #12,4,17564,16380,0,0*6888  * 05-04-2025 12:44:58.307
CRC-Response  - 12,4,I001*5b6a * 05-04-2025 12:44:58.521
CRC-Response  - 12,4,F000,971*f21e * 05-04-2025 12:45:06.799
L1 Value - 971 * 05-04-2025 12:45:06.821
Command Sent Level Sensing For L2 - #13,4,13934,16380,0,0*90ad  * 05-04-2025 12:45:07.266
CRC-Response  - 13,4,I001*97ab * 05-04-2025 12:45:07.479
CRC-Response  - 13,4,F000,970*f122 * 05-04-2025 12:45:09.773
L2 Value - 970 * 05-04-2025 12:45:09.794
Command Sent Level Sensing For L3 - #14,4,10304,16380,0,0*e907  * 05-04-2025 12:45:10.161
CRC-Response  - 14,4,I001*71ea * 05-04-2025 12:45:10.379
CRC-Response  - 14,4,F000,965*a916 * 05-04-2025 12:45:12.664
L3 Value - 965 * 05-04-2025 12:45:12.687
Command Sent Home Command - #15,5,01111111*2d95  * 05-04-2025 12:45:13.55
CRC-Response  - 15,5,I001,01111111*98fc * 05-04-2025 12:45:13.268
CRC-Response  - 15,5,F000*b8e8 * 05-04-2025 12:45:13.273
Command Sent Home Command - #16,5,01111111*2991  * 05-04-2025 12:45:14.954
CRC-Response  - 16,5,I001,01111111*680c * 05-04-2025 12:45:15.171
CRC-Response  - 16,5,F000*ada8 * 05-04-2025 12:45:15.174
Rack - 1Protocol Started * 05-04-2025 12:45:16.446
Command Sent Rack-1 Picked from L1 - #17,2,1,17564,16380,0,0*39ab  * 05-04-2025 12:45:16.645
CRC-Response  - 17,2,I001,1*7522 * 05-04-2025 12:45:16.860
CRC-Response  - 17,2,F000,1*4a73 * 05-04-2025 12:45:27.492
RA Picked Rack From L1 * 05-04-2025 12:45:27.501
Command Sent Rack-1 Placed in H1 - #18,3,1,2688,1000,0,1*f2e9  * 05-04-2025 12:45:28.129
CRC-Response  - 18,3,I001,1*89d3 * 05-04-2025 12:45:28.337
CRC-Response  - 18,3,F000,1*b682 * 05-04-2025 12:45:35.226
RA Placed Rack in H1 * 05-04-2025 12:45:35.231
Command Sent RA-1 Movement - #19,1,1,64754,800 ,0*cb30  * 05-04-2025 12:45:35.566
CRC-Response  - 19,1,I001,1*9503 * 05-04-2025 12:45:35.784
Command Sent HEATER DOOR CLOSE - #20,8,1,0*2711  * 05-04-2025 12:45:36.493
CRC-Response  - 20,8,I001*beff * 05-04-2025 12:45:36.712
CRC-Response  - 20,8,F000*6a3d * 05-04-2025 12:45:37.49
Command Sent READ TEMPERATURE - #21,11*b506  * 05-04-2025 12:45:37.470
CRC-Response  - 21,11,F000,-273*1968 * 05-04-2025 12:45:37.683
CRC-Response  - 19,1,F000,1*aa52 * 05-04-2025 12:45:43.571
RA Moved to assigned Location * 05-04-2025 12:45:43.578
Command Sent READ TEMPERATURE - #22,11*f106  * 05-04-2025 12:45:47.857
CRC-Response  - 22,11,F000,545*4d16 * 05-04-2025 12:45:48.73
Command Sent READ TEMPERATURE - #23,11*0d07  * 05-04-2025 12:45:57.132
CRC-Response  - 23,11,F000,545*cc14 * 05-04-2025 12:45:57.351
Command Sent READ TEMPERATURE - #24,11*7906  * 05-04-2025 12:45:58.249
CRC-Response  - 24,11,F000,545*8b1f * 05-04-2025 12:45:58.462
Command Sent READ TEMPERATURE - #25,11*8507  * 05-04-2025 12:46:08.634
CRC-Response  - 25,11,F000,545*0a1d * 05-04-2025 12:46:08.850
Command Sent READ TEMPERATURE - #26,11*c107  * 05-04-2025 12:46:19.3
CRC-Response  - 26,11,F000,447*c8c8 * 05-04-2025 12:46:19.220
Command Sent READ TEMPERATURE - #27,11*3d06  * 05-04-2025 12:46:29.387
CRC-Response  - 27,11,F000,-273*1f6e * 05-04-2025 12:46:29.601
Command Sent READ TEMPERATURE - #28,11*2905  * 05-04-2025 12:46:39.759
CRC-Response  - 28,11,F000,545*470e * 05-04-2025 12:46:39.975
Command Sent READ TEMPERATURE - #29,11*d504  * 05-04-2025 12:46:50.128
CRC-Response  - 29,11,F000,545*c60c * 05-04-2025 12:46:50.347
Command Sent READ TEMPERATURE - #30,11*893a  * 05-04-2025 12:47:00.497
CRC-Response  - 30,11,F000,545*ce11 * 05-04-2025 12:47:00.709
Command Sent READ TEMPERATURE - #31,11*753b  * 05-04-2025 12:47:10.858
CRC-Response  - 31,11,F000,545*4f13 * 05-04-2025 12:47:11.75
Command Sent READ TEMPERATURE - #32,11*313b  * 05-04-2025 12:47:21.239
CRC-Response  - 32,11,F000,545*8c16 * 05-04-2025 12:47:21.454
Command Sent READ TEMPERATURE - #33,11*cd3a  * 05-04-2025 12:47:31.614
CRC-Response  - 33,11,F000,545*0d14 * 05-04-2025 12:47:31.858
Command Sent READ TEMPERATURE - #34,11*b93b  * 05-04-2025 12:47:42.39
CRC-Response  - 34,11,F000,545*4a1f * 05-04-2025 12:47:42.255
Command Sent READ TEMPERATURE - #35,11*453a  * 05-04-2025 12:47:52.423
CRC-Response  - 35,11,F000,545*cb1d * 05-04-2025 12:47:52.637
Command Sent READ TEMPERATURE - #36,11*013a  * 05-04-2025 12:48:02.807
CRC-Response  - 36,11,F000,545*0818 * 05-04-2025 12:48:03.23
Command Sent READ TEMPERATURE - #37,11*fd3b  * 05-04-2025 12:48:13.187
CRC-Response  - 37,11,F000,545*891a * 05-04-2025 12:48:13.432
Command Sent READ TEMPERATURE - #38,11*e938  * 05-04-2025 12:48:23.626
CRC-Response  - 38,11,F000,545*860e * 05-04-2025 12:48:23.837
Command Sent READ TEMPERATURE - #39,11*1539  * 05-04-2025 12:48:34.9
CRC-Response  - 39,11,F000,545*070c * 05-04-2025 12:48:34.213
Command Sent READ TEMPERATURE - #40,11*498f  * 05-04-2025 12:48:44.375
CRC-Response  - 40,11,F000,545*0917 * 05-04-2025 12:48:44.585
Command Sent READ TEMPERATURE - #41,11*b58e  * 05-04-2025 12:48:54.744
CRC-Response  - 41,11,F000,545*8815 * 05-04-2025 12:48:54.957
Command Sent READ TEMPERATURE - #42,11*f18e  * 05-04-2025 12:49:05.129
CRC-Response  - 42,11,F000,545*4b10 * 05-04-2025 12:49:05.345
Command Sent READ TEMPERATURE - #43,11*0d8f  * 05-04-2025 12:49:15.495
CRC-Response  - 43,11,F000,545*ca12 * 05-04-2025 12:49:15.713
Command Sent READ TEMPERATURE - #44,11*798e  * 05-04-2025 12:49:25.911
CRC-Response  - 44,11,F000,-273*1eeb * 05-04-2025 12:49:26.128
Command Sent READ TEMPERATURE - #45,11*858f  * 05-04-2025 12:49:36.281
CRC-Response  - 45,11,F000,447*0dcb * 05-04-2025 12:49:36.497
Command Sent READ TEMPERATURE - #46,11*c18f  * 05-04-2025 12:49:46.666
CRC-Response  - 46,11,F000,545*cf1e * 05-04-2025 12:49:46.879
Command Sent READ TEMPERATURE - #47,11*3d8e  * 05-04-2025 12:49:57.44
CRC-Response  - 47,11,F000,545*4e1c * 05-04-2025 12:49:57.259
Command Sent READ TEMPERATURE - #48,11*298d  * 05-04-2025 12:50:07.436
CRC-Response  - 48,11,F000,545*4108 * 05-04-2025 12:50:07.653
Command Sent READ TEMPERATURE - #49,11*d58c  * 05-04-2025 12:50:18.814
CRC-Response  - 49,11,F000,545*c00a * 05-04-2025 12:50:19.36
Command Sent READ TEMPERATURE - #50,11*89b2  * 05-04-2025 12:50:30.217
CRC-Response  - 50,11,F000,545*c817 * 05-04-2025 12:50:30.434
11 Seconds Timer increments in Jar H1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 12:50:36.246
11 Seconds Timer increments in Jar H1 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 05-04-2025 12:50:47.321
Command Sent HEATER DOOR OPEN - #51,11*75b3  * 05-04-2025 12:52:22.36
CRC-Response  - 51,11,F000,545*4915 * 05-04-2025 12:52:22.255
Command Sent HEATER DOOR OPEN - #52,8,1,1*c1b2  * 05-04-2025 12:52:22.431
CRC-Response  - 52,8,I001*5758 * 05-04-2025 12:52:22.645
CRC-Response  - 52,8,F000*839a * 05-04-2025 12:52:22.984
Command Sent READ TEMPERATURE - #53,11*cdb2  * 05-04-2025 12:52:37.471
CRC-Response  - 53,11,F000,545*0b12 * 05-04-2025 12:52:37.680
Command Sent READ TEMPERATURE - #54,11*b9b3  * 05-04-2025 12:52:52.837
CRC-Response  - 54,11,F000,447*4dc9 * 05-04-2025 12:52:53.69
Command Sent READ TEMPERATURE - #55,11*45b2  * 05-04-2025 12:53:08.263
CRC-Response  - 55,11,F000,545*cd1b * 05-04-2025 12:53:08.476
Command Sent SET TEMPERATURE - #0,10,32*870a  * 05-04-2025 13:09:08.773
CRC-Response  - 0,10,F000*1ae9 * 05-04-2025 13:09:09.97
Command Sent HEATER ON - #1,12,1*dbe7  * 05-04-2025 13:09:10.283
CRC-Response  - 1,12,F000*68e5 * 05-04-2025 13:09:10.495
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 05-04-2025 13:09:11.179
CRC-Response  - 2,8,I001*fd79 * 05-04-2025 13:09:11.428
CRC-Response  - 2,8,F000*29bb * 05-04-2025 13:09:11.738
Command Sent READ TEMPERATURE - #3,11*ed1a  * 05-04-2025 13:09:12.98
CRC-Response  - 3,11,F000,545*d48f * 05-04-2025 13:09:12.310
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 05-04-2025 13:09:22.482
CRC-Response  - 4,13,F000*e9db * 05-04-2025 13:09:22.698
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 05-04-2025 13:09:23.370
CRC-Response  - 5,13,F000*79d6 * 05-04-2025 13:09:23.583
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 05-04-2025 13:09:24.239
CRC-Response  - 6,13,F000*89c2 * 05-04-2025 13:09:24.453
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 05-04-2025 13:09:25.111
CRC-Response  - 7,13,F000*19cf * 05-04-2025 13:09:25.319
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 05-04-2025 13:09:25.971
CRC-Response  - 8,13,F000*e98e * 05-04-2025 13:09:26.190
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 05-04-2025 13:09:26.846
CRC-Response  - 9,13,F000*7983 * 05-04-2025 13:09:27.65
Command Sent Home Command - #10,5,01111111*2199  * 05-04-2025 13:09:27.717
CRC-Response  - 10,5,I001,01111111*c9ef * 05-04-2025 13:09:27.934
CRC-Response  - 10,5,F000*8728 * 05-04-2025 13:09:27.939
Command Sent Home Command - #11,5,01111111*e264  * 05-04-2025 13:09:30.619
CRC-Response  - 11,5,I001,01111111*59be * 05-04-2025 13:09:30.832
CRC-Response  - 11,5,F000*4be9 * 05-04-2025 13:09:30.835
Command Sent Level Sensing For L1 - #12,4,17564,16380,0,0*6888  * 05-04-2025 13:09:32.511
CRC-Response  - 12,4,I001*5b6a * 05-04-2025 13:09:32.727
CRC-Response  - 12,4,F000,963*a39e * 05-04-2025 13:09:41.9
L1 Value - 963 * 05-04-2025 13:09:41.34
Command Sent Level Sensing For L2 - #13,4,13934,16380,0,0*90ad  * 05-04-2025 13:09:41.414
CRC-Response  - 13,4,I001*97ab * 05-04-2025 13:09:41.626
CRC-Response  - 13,4,F000,966*63a3 * 05-04-2025 13:09:43.908
L2 Value - 966 * 05-04-2025 13:09:43.924
Command Sent Level Sensing For L3 - #14,4,10304,16380,0,0*e907  * 05-04-2025 13:09:44.294
CRC-Response  - 14,4,I001*71ea * 05-04-2025 13:09:44.508
CRC-Response  - 14,4,F000,965*a916 * 05-04-2025 13:09:46.787
L3 Value - 965 * 05-04-2025 13:09:46.811
Command Sent Home Command - #15,5,01111111*2d95  * 05-04-2025 13:09:47.194
CRC-Response  - 15,5,I001,01111111*98fc * 05-04-2025 13:09:47.404
CRC-Response  - 15,5,F000*b8e8 * 05-04-2025 13:09:47.408
Command Sent Home Command - #16,5,01111111*2991  * 05-04-2025 13:09:49.88
CRC-Response  - 16,5,I001,01111111*680c * 05-04-2025 13:09:49.303
CRC-Response  - 16,5,F000*ada8 * 05-04-2025 13:09:49.307
Rack - 1Protocol Started * 05-04-2025 13:09:50.576
Command Sent Rack-1 Picked from L1 - #17,2,1,17564,16380,0,0*39ab  * 05-04-2025 13:09:50.807
CRC-Response  - 17,2,I001,1*7522 * 05-04-2025 13:09:51.24
CRC-Response  - 17,2,F000,1*4a73 * 05-04-2025 13:10:01.649
RA Picked Rack From L1 * 05-04-2025 13:10:01.656
Command Sent Rack-1 Placed in H1 - #18,3,1,2688,1000,0,1*f2e9  * 05-04-2025 13:10:02.299
CRC-Response  - 18,3,I001,1*89d3 * 05-04-2025 13:10:02.513
CRC-Response  - 18,3,F000,1*b682 * 05-04-2025 13:10:09.397
RA Placed Rack in H1 * 05-04-2025 13:10:09.401
Command Sent RA-1 Movement - #19,1,1,64754,800 ,0*cb30  * 05-04-2025 13:10:09.754
CRC-Response  - 19,1,I001,1*9503 * 05-04-2025 13:10:09.968
Command Sent HEATER DOOR CLOSE - #20,8,1,0*2711  * 05-04-2025 13:10:10.679
CRC-Response  - 20,8,I001*beff * 05-04-2025 13:10:10.885
CRC-Response  - 20,8,F000*6a3d * 05-04-2025 13:10:11.241
Command Sent READ TEMPERATURE - #21,11*b506  * 05-04-2025 13:10:11.635
CRC-Response  - 21,11,F000,545*8e13 * 05-04-2025 13:10:11.846
CRC-Response  - 19,1,F000,1*aa52 * 05-04-2025 13:10:17.766
RA Moved to assigned Location * 05-04-2025 13:10:17.767
Command Sent READ TEMPERATURE - #22,11*f106  * 05-04-2025 13:10:22.27
CRC-Response  - 22,11,F000,545*4d16 * 05-04-2025 13:10:22.236
Command Sent READ TEMPERATURE - #23,11*0d07  * 05-04-2025 13:10:31.484
CRC-Response  - 23,11,F000,545*cc14 * 05-04-2025 13:10:31.697
Command Sent READ TEMPERATURE - #24,11*7906  * 05-04-2025 13:10:32.398
CRC-Response  - 24,11,F000,447*8acf * 05-04-2025 13:10:32.610
Command Sent READ TEMPERATURE - #25,11*8507  * 05-04-2025 13:10:42.780
CRC-Response  - 25,11,F000,545*0a1d * 05-04-2025 13:10:42.992
Command Sent READ TEMPERATURE - #26,11*c107  * 05-04-2025 13:10:53.137
CRC-Response  - 26,11,F000,545*c918 * 05-04-2025 13:10:53.351
Command Sent READ TEMPERATURE - #27,11*3d06  * 05-04-2025 13:11:03.498
CRC-Response  - 27,11,F000,545*481a * 05-04-2025 13:11:03.715
Command Sent READ TEMPERATURE - #28,11*2905  * 05-04-2025 13:11:13.919
CRC-Response  - 28,11,F000,545*470e * 05-04-2025 13:11:14.129
Command Sent READ TEMPERATURE - #29,11*d504  * 05-04-2025 13:11:24.300
CRC-Response  - 29,11,F000,545*c60c * 05-04-2025 13:11:24.515
Command Sent READ TEMPERATURE - #30,11*893a  * 05-04-2025 13:11:34.705
CRC-Response  - 30,11,F000,545*ce11 * 05-04-2025 13:11:34.917
Command Sent READ TEMPERATURE - #31,11*753b  * 05-04-2025 13:11:45.95
CRC-Response  - 31,11,F000,545*4f13 * 05-04-2025 13:11:45.304
Command Sent READ TEMPERATURE - #32,11*313b  * 05-04-2025 13:11:55.468
CRC-Response  - 32,11,F000,-273*1aaa * 05-04-2025 13:11:55.680
Command Sent READ TEMPERATURE - #33,11*cd3a  * 05-04-2025 13:12:05.854
CRC-Response  - 33,11,F000,545*0d14 * 05-04-2025 13:12:06.74
Command Sent READ TEMPERATURE - #34,11*b93b  * 05-04-2025 13:12:16.246
CRC-Response  - 34,11,F000,545*4a1f * 05-04-2025 13:12:16.455
Command Sent READ TEMPERATURE - #35,11*453a  * 05-04-2025 13:12:26.612
CRC-Response  - 35,11,F000,545*cb1d * 05-04-2025 13:12:26.826
Command Sent READ TEMPERATURE - #36,11*013a  * 05-04-2025 13:12:36.994
CRC-Response  - 36,11,F000,545*0818 * 05-04-2025 13:12:37.211
Command Sent READ TEMPERATURE - #37,11*fd3b  * 05-04-2025 13:12:47.366
CRC-Response  - 37,11,F000,545*891a * 05-04-2025 13:12:47.583
Command Sent READ TEMPERATURE - #38,11*e938  * 05-04-2025 13:12:57.740
CRC-Response  - 38,11,F000,545*860e * 05-04-2025 13:12:57.952
Command Sent READ TEMPERATURE - #39,11*1539  * 05-04-2025 13:13:08.116
CRC-Response  - 39,11,F000,-273*d1a0 * 05-04-2025 13:13:08.326
Command Sent READ TEMPERATURE - #40,11*498f  * 05-04-2025 13:13:18.483
CRC-Response  - 40,11,F000,545*0917 * 05-04-2025 13:13:18.700
Command Sent READ TEMPERATURE - #41,11*b58e  * 05-04-2025 13:13:28.857
CRC-Response  - 41,11,F000,545*8815 * 05-04-2025 13:13:29.75
Command Sent READ TEMPERATURE - #42,11*f18e  * 05-04-2025 13:13:39.255
CRC-Response  - 42,11,F000,545*4b10 * 05-04-2025 13:13:39.501
Command Sent READ TEMPERATURE - #43,11*0d8f  * 05-04-2025 13:13:49.690
CRC-Response  - 43,11,F000,545*ca12 * 05-04-2025 13:13:49.903
Command Sent READ TEMPERATURE - #44,11*798e  * 05-04-2025 13:14:00.71
CRC-Response  - 44,11,F000,545*8d19 * 05-04-2025 13:14:00.288
Command Sent READ TEMPERATURE - #45,11*858f  * 05-04-2025 13:14:10.462
CRC-Response  - 45,11,F000,545*0c1b * 05-04-2025 13:14:10.676
Command Sent READ TEMPERATURE - #46,11*c18f  * 05-04-2025 13:14:20.831
CRC-Response  - 46,11,F000,447*cece * 05-04-2025 13:14:21.41
Command Sent READ TEMPERATURE - #47,11*3d8e  * 05-04-2025 13:14:31.219
CRC-Response  - 47,11,F000,545*4e1c * 05-04-2025 13:14:31.435
Command Sent READ TEMPERATURE - #48,11*298d  * 05-04-2025 13:14:41.602
CRC-Response  - 48,11,F000,545*4108 * 05-04-2025 13:14:41.817
Command Sent READ TEMPERATURE - #49,11*d58c  * 05-04-2025 13:14:52.988
CRC-Response  - 49,11,F000,447*c1da * 05-04-2025 13:14:53.203
Command Sent READ TEMPERATURE - #50,11*89b2  * 05-04-2025 13:15:04.375
CRC-Response  - 50,11,F000,545*c817 * 05-04-2025 13:15:04.579
Command Sent HEATER DOOR OPEN - #51,8,1,1*c181  * 05-04-2025 13:15:13.525
CRC-Response  - 51,8,I001*4218 * 05-04-2025 13:15:13.740
CRC-Response  - 51,8,F000*96da * 05-04-2025 13:15:14.82
Command Sent Rack-1 Picked from H1 - #52,2,1,2688,1000,0,1*3fd2  * 05-04-2025 13:15:14.443
CRC-Response  - 52,2,I001,1*5527 * 05-04-2025 13:15:14.651
CRC-Response  - 52,2,F000,1*6a76 * 05-04-2025 13:15:26.802
RA Picked Rack From H1 * 05-04-2025 13:15:26.806
Command Sent HEATER DOOR CLOSE - #53,8,1,0*c163  * 05-04-2025 13:15:27.440
CRC-Response  - 53,8,I001*9b99 * 05-04-2025 13:15:27.651
CRC-Response  - 53,8,F000*4f5b * 05-04-2025 13:15:27.994
Command Sent Rack-1 Placed in J1 - #54,3,1,10304,800,0,0*b780  * 05-04-2025 13:15:28.321
CRC-Response  - 54,3,I001,1*8606 * 05-04-2025 13:15:28.536
CRC-Response  - 54,3,F000,1*b957 * 05-04-2025 13:15:34.594
RA Placed Rack in J1 * 05-04-2025 13:15:34.599
Command Sent RA-1 Movement - #55,1,1,64754,800 ,0*a802  * 05-04-2025 13:15:35.279
CRC-Response  - 55,1,I001,1*9ad6 * 05-04-2025 13:15:35.495
CRC-Response  - 55,1,F000,1*a587 * 05-04-2025 13:15:42.426
RA Moved to assigned Location * 05-04-2025 13:15:42.431
Command Sent READ TEMPERATURE - #56,11*01b2  * 05-04-2025 13:15:43.611
CRC-Response  - 56,11,F000,-273*dc29 * 05-04-2025 13:15:43.819
Command Sent Home Command - #57,5,00111111*ae72  * 05-04-2025 13:15:52.253
CRC-Response  - 57,5,I001,00111111*090c * 05-04-2025 13:15:52.472
CRC-Response  - 57,5,F000*a15b * 05-04-2025 13:15:52.475
Command Sent HEATER DOOR OPEN - #58,8,1,1*c118  * 05-04-2025 13:15:53.146
CRC-Response  - 58,8,I001*28d8 * 05-04-2025 13:15:53.360
CRC-Response  - 58,8,F000*fc1a * 05-04-2025 13:15:53.704
Rack - 2Protocol Started * 05-04-2025 13:15:53.861
Command Sent Rack-2 Picked from L2 - #59,2,1,13934,16380,0,0*e019  * 05-04-2025 13:15:54.63
CRC-Response  - 59,2,I001,1*b056 * 05-04-2025 13:15:54.279
CRC-Response  - 59,2,F000,1*8f07 * 05-04-2025 13:16:05.313
RA Picked Rack From L2 * 05-04-2025 13:16:05.316
Command Sent Rack-2 Placed in H1 - #60,3,1,2688,1000,0,1*24be  * 05-04-2025 13:16:05.533
CRC-Response  - 60,3,I001,1*1748 * 05-04-2025 13:16:05.744
CRC-Response  - 60,3,F000,1*2819 * 05-04-2025 13:16:12.225
RA Placed Rack in H1 * 05-04-2025 13:16:12.231
Command Sent RA-1 Movement - #61,1,1,64754,800 ,0*dd07  * 05-04-2025 13:16:12.490
CRC-Response  - 61,1,I001,1*0b98 * 05-04-2025 13:16:12.703
Command Sent HEATER DOOR CLOSE - #62,8,1,0*1433  * 05-04-2025 13:16:13.417
CRC-Response  - 62,8,I001*a74c * 05-04-2025 13:16:13.636
CRC-Response  - 62,8,F000*738e * 05-04-2025 13:16:13.980
Command Sent READ TEMPERATURE - #63,11*cdf6  * 05-04-2025 13:16:14.389
CRC-Response  - 63,11,F000,-273*d86f * 05-04-2025 13:16:14.596
CRC-Response  - 61,1,F000,1*34c9 * 05-04-2025 13:16:20.492
RA Moved to assigned Location * 05-04-2025 13:16:20.495
Command Sent READ TEMPERATURE - #64,11*b9f7  * 05-04-2025 13:16:24.757
