Command Sent SET TEMPERATURE - #0,10,32*870a  * 21-03-2025 00:02:45.364
CRC-Response  - 31,11,F000,545*4f13 * 21-03-2025 00:05:53.248
Command Sent READ TEMPERATURE - #32,11*313b  * 21-03-2025 00:06:03.417
CRC-Response  - 32,11,F000,545*8c16 * 21-03-2025 00:06:03.525
Command Sent READ TEMPERATURE - #33,11*cd3a  * 21-03-2025 00:06:13.698
CRC-Response  - 33,11,F000,545*0d14 * 21-03-2025 00:06:13.803
Command Sent READ TEMPERATURE - #34,11*b93b  * 21-03-2025 00:06:23.956
CRC-Response  - 34,11,F000,545*4a1f * 21-03-2025 00:06:24.93
Command Sent READ TEMPERATURE - #35,11*453a  * 21-03-2025 00:06:34.274
CRC-Response  - 35,11,F000,545*cb1d * 21-03-2025 00:06:34.396
Command Sent READ TEMPERATURE - #36,11*013a  * 21-03-2025 00:06:44.574
CRC-Response  - 36,11,F000,545*0818 * 21-03-2025 00:06:44.683
Command Sent READ TEMPERATURE - #37,11*fd3b  * 21-03-2025 00:06:54.850
CRC-Response  - 37,11,F000,545*891a * 21-03-2025 00:06:54.957
Command Sent READ TEMPERATURE - #38,11*e938  * 21-03-2025 00:07:05.122
CRC-Response  - 38,11,F000,545*860e * 21-03-2025 00:07:05.240
Command Sent READ TEMPERATURE - #39,11*1539  * 21-03-2025 00:07:15.400
CRC-Response  - 39,11,F000,545*070c * 21-03-2025 00:07:15.656
Command Sent READ TEMPERATURE - #40,11*498f  * 21-03-2025 00:07:25.811
CRC-Response  - 40,11,F000,545*0917 * 21-03-2025 00:07:25.916
Command Sent READ TEMPERATURE - #41,11*b58e  * 21-03-2025 00:07:36.82
CRC-Response  - 41,11,F000,545*8815 * 21-03-2025 00:07:36.222
Command Sent READ TEMPERATURE - #42,11*f18e  * 21-03-2025 00:07:46.401
CRC-Response  - 42,11,F000,545*4b10 * 21-03-2025 00:07:46.508
Command Sent READ TEMPERATURE - #43,11*0d8f  * 21-03-2025 00:07:56.681
CRC-Response  - 43,11,F000,545*ca12 * 21-03-2025 00:07:56.787
Command Sent READ TEMPERATURE - #44,11*798e  * 21-03-2025 00:08:06.941
CRC-Response  - 44,11,F000,447*8cc9 * 21-03-2025 00:08:07.45
Command Sent READ TEMPERATURE - #45,11*858f  * 21-03-2025 00:08:17.215
CRC-Response  - 45,11,F000,545*0c1b * 21-03-2025 00:08:17.385
Command Sent READ TEMPERATURE - #46,11*c18f  * 21-03-2025 00:08:27.559
CRC-Response  - 46,11,F000,545*cf1e * 21-03-2025 00:08:27.668
Command Sent READ TEMPERATURE - #47,11*3d8e  * 21-03-2025 00:08:37.835
CRC-Response  - 47,11,F000,545*4e1c * 21-03-2025 00:08:37.941
Command Sent READ TEMPERATURE - #48,11*298d  * 21-03-2025 00:08:48.109
CRC-Response  - 48,11,F000,545*4108 * 21-03-2025 00:08:48.229
Command Sent READ TEMPERATURE - #49,11*d58c  * 21-03-2025 00:08:58.398
CRC-Response  - 49,11,F000,545*c00a * 21-03-2025 00:08:58.504
Command Sent READ TEMPERATURE - #50,11*89b2  * 21-03-2025 00:09:08.657
CRC-Response  - 50,11,F000,545*c817 * 21-03-2025 00:09:08.766
Command Sent HEATER OFF - #51,12,0*0358  * 21-03-2025 00:09:09.666
CRC-Response  - 51,12,F000*708f * 21-03-2025 00:09:09.773
Command Sent HEATER DOOR OPEN - #52,8,1,1*c1b2  * 21-03-2025 00:09:29.739
CRC-Response  - 52,8,I001*5758 * 21-03-2025 00:09:30.190
CRC-Response  - 52,8,F000*839a * 21-03-2025 00:09:30.194
Command Sent Rack-1 Picked from H1 - #53,2,1,2688,1000,0,1*c3ef  * 21-03-2025 00:09:30.858
CRC-Response  - 53,2,I001,1*9076 * 21-03-2025 00:09:36.45
CRC-Response  - 53,2,F000,1*af27 * 21-03-2025 00:09:36.48
RA Picked Rack From H1 * 21-03-2025 00:09:36.51
Command Sent HEATER DOOR CLOSE - #54,8,1,0*0115  * 21-03-2025 00:09:36.557
CRC-Response  - 54,8,I001*7dd8 * 21-03-2025 00:09:37.6
CRC-Response  - 54,8,F000*a91a * 21-03-2025 00:09:37.9
Command Sent Rack-1 Placed in J1 - #55,3,1,10304,800,0,0*4bbd  * 21-03-2025 00:09:37.671
CRC-Response  - 55,3,I001,1*4357 * 21-03-2025 00:09:43.839
CRC-Response  - 55,3,F000,1*7c06 * 21-03-2025 00:09:43.842
RA Placed Rack in J1 * 21-03-2025 00:09:43.845
Command Sent HEATER ON - #56,12,1*7498  * 21-03-2025 00:09:44.386
CRC-Response  - 56,12,F000*40a9 * 21-03-2025 00:09:44.493
Command Sent HEATER OFF - #57,12,0*6558  * 21-03-2025 00:09:59.707
CRC-Response  - 57,12,F000*d0a4 * 21-03-2025 00:09:59.845
Command Sent HEATER DOOR OPEN - #58,8,1,1*c118  * 21-03-2025 00:10:00.504
CRC-Response  - 58,8,I001*28d8 * 21-03-2025 00:10:00.959
CRC-Response  - 58,8,F000*fc1a * 21-03-2025 00:10:00.963
Rack - 2Protocol Started * 21-03-2025 00:10:01.466
Command Sent Rack-2 Picked from L2 - #59,2,1,13934,16380,0,0*e019  * 21-03-2025 00:10:01.660
CRC-Response  - 59,2,I001,1*b056 * 21-03-2025 00:10:08.175
CRC-Response  - 59,2,F000,1*8f07 * 21-03-2025 00:10:08.177
RA Picked Rack From L2 * 21-03-2025 00:10:08.179
Command Sent Rack-2 Placed in H1 - #60,3,1,2688,1000,0,1*24be  * 21-03-2025 00:10:08.871
CRC-Response  - 60,3,I001,1*1748 * 21-03-2025 00:10:15.435
CRC-Response  - 60,3,F000,1*2819 * 21-03-2025 00:10:15.439
RA Placed Rack in H1 * 21-03-2025 00:10:15.444
Command Sent HEATER ON - #61,12,1*c3aa  * 21-03-2025 00:10:16.92
CRC-Response  - 61,12,F000*7f7f * 21-03-2025 00:10:16.208
Command Sent HEATER DOOR CLOSE - #62,8,1,0*1433  * 21-03-2025 00:10:16.892
CRC-Response  - 62,8,I001*a74c * 21-03-2025 00:10:17.338
CRC-Response  - 62,8,F000*738e * 21-03-2025 00:10:22.655
Command Sent READ TEMPERATURE - #63,11*cdf6  * 21-03-2025 00:10:23.0
CRC-Response  - 63,11,F000,545*0811 * 21-03-2025 00:10:23.117
Command Sent READ TEMPERATURE - #64,11*b9f7  * 21-03-2025 00:10:33.285
CRC-Response  - 64,11,F000,545*4f1a * 21-03-2025 00:10:33.419
Command Sent READ TEMPERATURE - #65,11*45f6  * 21-03-2025 00:10:43.584
CRC-Response  - 65,11,F000,447*cfc8 * 21-03-2025 00:10:43.690
Command Sent READ TEMPERATURE - #66,11*01f6  * 21-03-2025 00:10:47.271
CRC-Response  - 66,11,F000,545*0d1d * 21-03-2025 00:10:47.379
Command Sent READ TEMPERATURE - #67,11*fdf7  * 21-03-2025 00:10:53.860
CRC-Response  - 67,11,F000,545*8c1f * 21-03-2025 00:10:53.968
Command Sent READ TEMPERATURE - #68,11*e9f4  * 21-03-2025 00:11:04.141
CRC-Response  - 68,11,F000,545*830b * 21-03-2025 00:11:04.258
Command Sent READ TEMPERATURE - #69,11*15f5  * 21-03-2025 00:11:14.419
CRC-Response  - 69,11,F000,545*0209 * 21-03-2025 00:11:14.534
Command Sent HEATER OFF - #70,12,0*127a  * 21-03-2025 00:11:24.568
CRC-Response  - 70,12,F000*2a23 * 21-03-2025 00:11:24.675
Command Sent Rack-1 Picked from J1 - #71,2,1,10304,800,0,0*0964  * 21-03-2025 00:11:44.703
CRC-Response  - 71,2,I001,1*e2dc * 21-03-2025 00:11:50.866
CRC-Response  - 71,2,F000,1*dd8d * 21-03-2025 00:11:50.869
RA Picked Rack From J1 * 21-03-2025 00:11:50.873
Command Sent Rack-1 Placed in J2 - #72,3,1,13934,800 ,0,0*38d1  * 21-03-2025 00:11:51.414
CRC-Response  - 72,3,I001,1*21ed * 21-03-2025 00:11:57.136
CRC-Response  - 72,3,F000,1*1ebc * 21-03-2025 00:11:57.139
RA Placed Rack in J2 * 21-03-2025 00:11:57.142
Command Sent HEATER ON - #73,12,1*e1bb  * 21-03-2025 00:11:57.603
CRC-Response  - 73,12,F000*da37 * 21-03-2025 00:11:57.708
Command Sent READ TEMPERATURE - #74,11*79ca  * 21-03-2025 00:12:28.576
CRC-Response  - 74,11,F000,545*8e1a * 21-03-2025 00:12:28.698
Command Sent READ TEMPERATURE - #75,11*85cb  * 21-03-2025 00:12:38.859
CRC-Response  - 75,11,F000,447*0ec8 * 21-03-2025 00:12:38.977
Command Sent READ TEMPERATURE - #76,11*c1cb  * 21-03-2025 00:12:49.146
CRC-Response  - 76,11,F000,545*cc1d * 21-03-2025 00:12:49.281
Command Sent READ TEMPERATURE - #77,11*3dca  * 21-03-2025 00:12:59.438
CRC-Response  - 77,11,F000,545*4d1f * 21-03-2025 00:12:59.545
Command Sent READ TEMPERATURE - #78,11*29c9  * 21-03-2025 00:13:09.704
CRC-Response  - 78,11,F000,545*420b * 21-03-2025 00:13:09.809
Command Sent READ TEMPERATURE - #79,11*d5c8  * 21-03-2025 00:13:19.971
CRC-Response  - 79,11,F000,545*c309 * 21-03-2025 00:13:20.90
Command Sent READ TEMPERATURE - #80,11*489f  * 21-03-2025 00:13:30.286
CRC-Response  - 80,11,F000,545*051b * 21-03-2025 00:13:30.393
Command Sent HEATER OFF - #81,12,0*c384  * 21-03-2025 00:13:37.898
CRC-Response  - 81,12,F000*8a1e * 21-03-2025 00:13:38.5
Command Sent Rack-1 Picked from J2 - #82,2,1,13934,800 ,0,0*3b7f  * 21-03-2025 00:13:57.945
CRC-Response  - 82,2,I001,1*f91c * 21-03-2025 00:14:03.140
CRC-Response  - 82,2,F000,1*c64d * 21-03-2025 00:14:03.142
RA Picked Rack From J2 * 21-03-2025 00:14:03.144
Command Sent Rack-1 Placed in J4 - #83,3,1,21194,800 ,0,0*50d7  * 21-03-2025 00:14:03.630
CRC-Response  - 83,3,I001,1*f08c * 21-03-2025 00:14:09.759
CRC-Response  - 83,3,F000,1*cfdd * 21-03-2025 00:14:09.761
RA Placed Rack in J4 * 21-03-2025 00:14:09.765
Command Sent HEATER ON - #84,12,1*5645  * 21-03-2025 00:14:10.337
CRC-Response  - 84,12,F000*da21 * 21-03-2025 00:14:10.444
Command Sent READ TEMPERATURE - #85,11*849f  * 21-03-2025 00:14:41.190
CRC-Response  - 85,11,F000,447*01c7 * 21-03-2025 00:14:41.340
Command Sent READ TEMPERATURE - #86,11*c09f  * 21-03-2025 00:14:51.513
CRC-Response  - 86,11,F000,545*c312 * 21-03-2025 00:14:51.631
Command Sent HEATER OFF - #87,12,0*a584  * 21-03-2025 00:14:57.27
CRC-Response  - 87,12,F000*2a35 * 21-03-2025 00:14:57.131
Command Sent HEATER DOOR OPEN - #88,8,1,1*58d9  * 21-03-2025 00:15:19.174
CRC-Response  - 88,8,I001*b880 * 21-03-2025 00:15:19.683
CRC-Response  - 88,8,F000*6c42 * 21-03-2025 00:15:19.690
Command Sent Rack-2 Picked from H1 - #89,2,1,2688,1000,0,1*0659  * 21-03-2025 00:15:20.358
CRC-Response  - 89,2,I001,1*1c6d * 21-03-2025 00:15:27.748
CRC-Response  - 89,2,F000,1*233c * 21-03-2025 00:15:27.749
RA Picked Rack From H1 * 21-03-2025 00:15:27.750
Command Sent HEATER DOOR CLOSE - #90,8,1,0*9450  * 21-03-2025 00:15:28.75
CRC-Response  - 90,8,I001*8e8c * 21-03-2025 00:15:28.572
CRC-Response  - 90,8,F000*5a4e * 21-03-2025 00:15:28.579
Command Sent Rack-2 Placed in J1 - #91,3,1,10304,800,0,0*b65c  * 21-03-2025 00:15:29.243
CRC-Response  - 91,3,I001,1*c629 * 21-03-2025 00:15:35.400
CRC-Response  - 91,3,F000,1*f978 * 21-03-2025 00:15:35.402
RA Placed Rack in J1 * 21-03-2025 00:15:35.404
Command Sent HEATER ON - #92,12,1*f055  * 21-03-2025 00:15:35.924
CRC-Response  - 92,12,F000*bf5b * 21-03-2025 00:15:36.33
Command Sent HEATER OFF - #93,12,0*e195  * 21-03-2025 00:15:47.557
CRC-Response  - 93,12,F000*2f56 * 21-03-2025 00:15:47.675
Command Sent HEATER DOOR OPEN - #94,8,1,1*94d4  * 21-03-2025 00:15:48.333
CRC-Response  - 94,8,I001*7d8d * 21-03-2025 00:15:48.778
CRC-Response  - 94,8,F000*a94f * 21-03-2025 00:15:48.785
Rack - R3Protocol Started * 21-03-2025 00:15:49.292
Command Sent Rack-3 Picked from L3 - #95,2,1,10304,16380,0,0*7406  * 21-03-2025 00:15:49.483
CRC-Response  - 95,2,I001,1*dfa9 * 21-03-2025 00:15:55.998
CRC-Response  - 95,2,F000,1*e0f8 * 21-03-2025 00:15:56.2
RA Picked Rack From L3 * 21-03-2025 00:15:56.4
Command Sent Rack-3 Placed in H1 - #96,3,1,2688,1000,0,1*5262  * 21-03-2025 00:15:56.697
CRC-Response  - 96,3,I001,1*1c98 * 21-03-2025 00:16:03.196
CRC-Response  - 96,3,F000,1*23c9 * 21-03-2025 00:16:03.199
RA Placed Rack in H1 * 21-03-2025 00:16:03.201
Command Sent HEATER ON - #97,12,1*a555  * 21-03-2025 00:16:03.416
CRC-Response  - 97,12,F000*ef64 * 21-03-2025 00:16:03.535
Command Sent HEATER DOOR CLOSE - #98,8,1,0*54d9  * 21-03-2025 00:16:04.217
CRC-Response  - 98,8,I001*288d * 21-03-2025 00:16:04.665
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:17:35.937
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:17:46.985
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:17:58.31
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:18:09.81
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:18:20.117
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:18:31.149
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:18:42.140
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:18:53.180
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:19:04.207
11 Secconds Timer incrementes in Jar J1 for R2 as other racks picking by RA in tmr_r2_incub() * 21-03-2025 00:19:15.247
Command * Home Command - #0,5,11111111*757c
 * 21-03-2025 10:18:08.102
Response  - 0,5,I001,11111111*6271 * 21-03-2025 10:18:08.501
Response  - 0,5,F000*ed3b * 21-03-2025 10:18:21.621
Command * Home Command - #1,5,11111111*b681
 * 21-03-2025 10:21:24.198
Response  - 1,5,I001,11111111*f220 * 21-03-2025 10:21:24.682
Response  - 1,5,F000*21fa * 21-03-2025 10:21:37.620
Command * RA 1 Movement to J33 - #2,1,1,64754,16380,0*ff07
 * 21-03-2025 10:22:39.110
Response  - 2,1,I001,1*6fff * 21-03-2025 10:22:39.286
Response  - 2,1,F000,1*50ae * 21-03-2025 10:22:41.399
Command * Rack Placed in J33Using RA 1 - #3,3,1,64754,16380,0,0*cd37
 * 21-03-2025 10:22:48.73
Response  - 3,3,I001,1*732f * 21-03-2025 10:22:48.242
Response  - 3,3,F000,1*4c7e * 21-03-2025 10:22:53.328
Command * Home Command - #0,5,11111111*757c
 * 21-03-2025 11:14:21.602
Response  - 0,5,I001,11111111*6271 * 21-03-2025 11:14:22.5
Response  - 0,5,F000*ed3b * 21-03-2025 11:14:35.22
Command * RA 1 Movement to J33 - #1,1,1,64754,16380,0*bb43
 * 21-03-2025 11:14:49.935
Response  - 1,1,I001,1*600f * 21-03-2025 11:14:50.103
Response  - 1,1,F000,1*5f5e * 21-03-2025 11:14:50.843
Command * Rack Placed in J33Using RA 1 - #2,3,1,64754,16380,0,0*1c27
 * 21-03-2025 11:14:58.471
Response  - 2,3,I001,1*b67e * 21-03-2025 11:14:58.630
Response  - 2,3,F000,1*892f * 21-03-2025 11:15:03.719
Command * Rack Picked from J33Using RA 1 - #3,2,1,64754,16380,0,0*310a
 * 21-03-2025 11:15:15.446
Response  - 3,2,I001,1*bfee * 21-03-2025 11:15:15.609
Response  - 3,2,F000,1*80bf * 21-03-2025 11:15:20.692
Command * Rack Placed in L3Using RA 1 - #4,3,1,10304,16380,0,0*3401
 * 21-03-2025 11:15:37.675
Response  - 4,3,I001,1*a99e * 21-03-2025 11:15:38.158
Response  - 4,3,F000,1*96cf * 21-03-2025 11:15:49.175
Command * Rack Picked from L3Using RA 1 - #5,2,1,10304,16380,0,0*192c
 * 21-03-2025 11:15:54.354
Response  - 5,2,I001,1*a00e * 21-03-2025 11:15:54.536
Response  - 5,2,F000,1*9f5f * 21-03-2025 11:15:59.597
Command * Home Command - #0,5,11111111*757c
 * 21-03-2025 11:22:04.560
Response  - 0,5,I001,11111111*6271 * 21-03-2025 11:22:04.830
Response  - 0,5,F000*ed3b * 21-03-2025 11:22:17.975
Command *  - #1,5*d8fc
 * 21-03-2025 11:22:27.27
Response  - 1,5,F004*e2fb * 21-03-2025 11:22:27.185
Command *  - #2,5*d80c
 * 21-03-2025 11:22:34.987
Response  - 2,5,F004*f7bb * 21-03-2025 11:22:35.150
Command * Home Command - #3,5,11111111*7178
 * 21-03-2025 11:22:37.348
Response  - 3,5,I001,11111111*9281 * 21-03-2025 11:22:37.511
Response  - 3,5,F000*f87b * 21-03-2025 11:22:50.757
Command * Rack Placed in W1Using RA 1 - #4,3,1,42974,800,0,0*e96c
 * 21-03-2025 11:25:01.973
Response  - 4,3,I001,1*a99e * 21-03-2025 11:25:02.140
Response  - 4,3,F000,1*96cf * 21-03-2025 11:25:11.6
Command * Rack Picked from W1Using RA 1 - #5,2,1,42974,800,0,0*8500
 * 21-03-2025 11:25:15.731
Response  - 5,2,I001,1*a00e * 21-03-2025 11:25:15.899
Response  - 5,2,F000,1*9f5f * 21-03-2025 11:25:20.978
Command * Rack Placed in L2Using RA 1 - #6,3,1,13934,16380,0,0*db3d
 * 21-03-2025 11:25:31.771
Response  - 6,3,I001,1*633f * 21-03-2025 11:25:31.945
Response  - 6,3,F000,1*5c6e * 21-03-2025 11:25:40.386
Command * Rack Picked from L2Using RA 1 - #7,2,1,13934,16380,0,0*f610
 * 21-03-2025 11:25:55.130
Response  - 7,2,I001,1*6aaf * 21-03-2025 11:25:55.336
Response  - 7,2,F000,1*55fe * 21-03-2025 11:26:00.376
Command * Rack Placed in J33Using RA 1 - #8,3,1,64754,16380,0,0*b68d
 * 21-03-2025 11:26:37.451
Response  - 8,3,I001,1*965e * 21-03-2025 11:26:37.622
Response  - 8,3,F000,1*a90f * 21-03-2025 11:26:48.543
Command * Rack Picked from J33Using RA 1 - #9,2,1,64754,16380,0,0*9ba0
 * 21-03-2025 11:26:53.234
Response  - 9,2,I001,1*9fce * 21-03-2025 11:26:53.401
Response  - 9,2,F000,1*a09f * 21-03-2025 11:26:58.482
Command * Rack Placed in U6Using RA 1 - #10,3,1,42974,16380,0,0*7bcc
 * 21-03-2025 11:27:05.240
Response  - 10,3,I001,1*6352 * 21-03-2025 11:27:05.413
Response  - 10,3,F000,1*5c03 * 21-03-2025 11:27:13.59
Command * Rack Picked from U6Using RA 1 - #11,2,1,42974,16380,0,0*56e1
 * 21-03-2025 11:27:17.44
Response  - 11,2,I001,1*6ac2 * 21-03-2025 11:27:17.216
Response  - 11,2,F000,1*5593 * 21-03-2025 11:27:22.283
Command * Rack Placed in J26Using RA 1 - #12,3,1,10304,8590,0,0*9b31
 * 21-03-2025 11:27:33.668
Response  - 12,3,I001,1*a9f3 * 21-03-2025 11:27:33.864
Response  - 12,3,F000,1*96a2 * 21-03-2025 11:27:42.708
