Command Sent SET TEMPERATURE - #0,10,32*870a  * 24-03-2025 13:52:31.636
CRC-Response  - 18,2,I001,1*4512 * 24-03-2025 13:53:17.235
CRC-Response  - 18,2,F000,1*7a43 * 24-03-2025 13:53:27.843
RA Picked Rack From L1 * 24-03-2025 13:53:27.848
Command Sent Rack-1 Placed in H1 - #19,3,1,2688,1000,0,1*0ed4  * 24-03-2025 13:53:28.492
CRC-Response  - 19,3,I001,1*4c82 * 24-03-2025 13:53:28.708
CRC-Response  - 19,3,F000,1*73d3 * 24-03-2025 13:53:35.578
RA Placed Rack in H1 * 24-03-2025 13:53:35.583
Command Sent HEATER DOOR CLOSE - #20,8,1,0*2711  * 24-03-2025 13:53:35.999
CRC-Response  - 20,8,I001*beff * 24-03-2025 13:53:36.212
CRC-Response  - 20,8,F000*6a3d * 24-03-2025 13:53:36.553
Command Sent READ TEMPERATURE - #21,11*b506  * 24-03-2025 13:53:36.903
CRC-Response  - 21,11,F000,545*8e13 * 24-03-2025 13:53:37.121
Command Sent READ TEMPERATURE - #22,11*f106  * 24-03-2025 13:53:47.304
CRC-Response  - 22,11,F000,545*4d16 * 24-03-2025 13:53:47.513
Command Sent READ TEMPERATURE - #23,11*0d07  * 24-03-2025 13:53:52.213
CRC-Response  - 23,11,F000,545*cc14 * 24-03-2025 13:53:52.431
Command Sent READ TEMPERATURE - #24,11*7906  * 24-03-2025 13:53:57.683
CRC-Response  - 24,11,F000,545*8b1f * 24-03-2025 13:53:57.896
Command Sent READ TEMPERATURE - #25,11*8507  * 24-03-2025 13:54:08.82
CRC-Response  - 25,11,F000,545*0a1d * 24-03-2025 13:54:08.302
Command Sent READ TEMPERATURE - #26,11*c107  * 24-03-2025 13:54:18.467
CRC-Response  - 26,11,F000,545*c918 * 24-03-2025 13:54:18.676
Command Sent READ TEMPERATURE - #27,11*3d06  * 24-03-2025 13:54:28.863
CRC-Response  - 27,11,F000,545*481a * 24-03-2025 13:54:29.78
Command Sent READ TEMPERATURE - #28,11*2905  * 24-03-2025 13:54:39.240
CRC-Response  - 28,11,F000,545*470e * 24-03-2025 13:54:39.454
Command Sent READ TEMPERATURE - #29,11*d504  * 24-03-2025 13:54:49.631
CRC-Response  - 29,11,F000,545*c60c * 24-03-2025 13:54:49.847
Command Sent READ TEMPERATURE - #30,11*893a  * 24-03-2025 13:55:00.12
CRC-Response  - 30,11,F000,545*ce11 * 24-03-2025 13:55:00.224
Command Sent READ TEMPERATURE - #31,11*753b  * 24-03-2025 13:55:10.419
CRC-Response  - 31,11,F000,545*4f13 * 24-03-2025 13:55:10.634
Command Sent READ TEMPERATURE - #32,11*313b  * 24-03-2025 13:55:20.797
CRC-Response  - 32,11,F000,545*8c16 * 24-03-2025 13:55:21.12
Command Sent READ TEMPERATURE - #33,11*cd3a  * 24-03-2025 13:55:31.169
CRC-Response  - 33,11,F000,545*0d14 * 24-03-2025 13:55:31.385
Command Sent READ TEMPERATURE - #34,11*b93b  * 24-03-2025 13:55:41.547
CRC-Response  - 34,11,F000,545*4a1f * 24-03-2025 13:55:41.771
Command Sent READ TEMPERATURE - #35,11*453a  * 24-03-2025 13:55:51.959
CRC-Response  - 35,11,F000,545*cb1d * 24-03-2025 13:55:52.175
Command Sent READ TEMPERATURE - #36,11*013a  * 24-03-2025 13:56:02.355
CRC-Response  - 36,11,F000,545*0818 * 24-03-2025 13:56:02.563
Command Sent READ TEMPERATURE - #37,11*fd3b  * 24-03-2025 13:56:12.740
CRC-Response  - 37,11,F000,545*891a * 24-03-2025 13:56:12.952
Command Sent READ TEMPERATURE - #38,11*e938  * 24-03-2025 13:56:23.111
CRC-Response  - 38,11,F000,545*860e * 24-03-2025 13:56:23.320
Command Sent READ TEMPERATURE - #39,11*1539  * 24-03-2025 13:56:33.490
CRC-Response  - 39,11,F000,545*070c * 24-03-2025 13:56:33.697
Command Sent READ TEMPERATURE - #40,11*498f  * 24-03-2025 13:56:43.871
CRC-Response  - 40,11,F000,545*0917 * 24-03-2025 13:56:44.83
Command Sent READ TEMPERATURE - #41,11*b58e  * 24-03-2025 13:56:54.247
CRC-Response  - 41,11,F000,545*8815 * 24-03-2025 13:56:54.461
Command Sent READ TEMPERATURE - #42,11*f18e  * 24-03-2025 13:57:04.642
CRC-Response  - 42,11,F000,545*4b10 * 24-03-2025 13:57:04.856
Command Sent READ TEMPERATURE - #43,11*0d8f  * 24-03-2025 13:57:15.37
CRC-Response  - 43,11,F000,545*ca12 * 24-03-2025 13:57:15.252
Command Sent READ TEMPERATURE - #44,11*798e  * 24-03-2025 13:57:25.419
CRC-Response  - 44,11,F000,545*8d19 * 24-03-2025 13:57:25.634
Command Sent READ TEMPERATURE - #45,11*858f  * 24-03-2025 13:57:35.800
CRC-Response  - 45,11,F000,545*0c1b * 24-03-2025 13:57:36.49
Command Sent READ TEMPERATURE - #46,11*c18f  * 24-03-2025 13:57:46.210
CRC-Response  - 46,11,F000,545*cf1e * 24-03-2025 13:57:46.423
Command Sent READ TEMPERATURE - #47,11*3d8e  * 24-03-2025 13:57:56.587
CRC-Response  - 47,11,F000,545*4e1c * 24-03-2025 13:57:56.810
Command Sent READ TEMPERATURE - #48,11*298d  * 24-03-2025 13:58:06.965
CRC-Response  - 48,11,F000,545*4108 * 24-03-2025 13:58:07.178
Command Sent READ TEMPERATURE - #49,11*d58c  * 24-03-2025 13:58:17.350
CRC-Response  - 49,11,F000,545*c00a * 24-03-2025 13:58:17.564
Command Sent READ TEMPERATURE - #50,11*89b2  * 24-03-2025 13:58:28.722
CRC-Response  - 50,11,F000,545*c817 * 24-03-2025 13:58:28.940
Command Sent HEATER DOOR OPEN - #51,8,1,1*c181  * 24-03-2025 13:58:36.937
CRC-Response  - 51,8,I001*4218 * 24-03-2025 13:58:37.153
CRC-Response  - 51,8,F000*96da * 24-03-2025 13:58:37.491
Command Sent Rack-1 Picked from H1 - #52,2,1,2688,1000,0,1*3fd2  * 24-03-2025 13:58:37.833
CRC-Response  - 52,2,I001,1*5527 * 24-03-2025 13:58:38.47
CRC-Response  - 52,2,F000,1*6a76 * 24-03-2025 13:58:43.130
RA Picked Rack From H1 * 24-03-2025 13:58:43.133
Command Sent HEATER DOOR CLOSE - #53,8,1,0*c163  * 24-03-2025 13:58:43.783
CRC-Response  - 53,8,I001*9b99 * 24-03-2025 13:58:43.994
CRC-Response  - 53,8,F000*4f5b * 24-03-2025 13:58:44.334
Command Sent Rack-1 Placed in J1 - #54,3,1,10304,800,0,0*b780  * 24-03-2025 13:58:44.663
CRC-Response  - 54,3,I001,1*8606 * 24-03-2025 13:58:44.874
CRC-Response  - 54,3,F000,1*b957 * 24-03-2025 13:58:50.933
RA Placed Rack in J1 * 24-03-2025 13:58:50.937
Command Sent READ TEMPERATURE - #55,11*45b2  * 24-03-2025 13:58:55.2
CRC-Response  - 55,11,F000,545*cd1b * 24-03-2025 13:58:55.206
Command Sent READ TEMPERATURE - #56,11*01b2  * 24-03-2025 13:59:05.380
CRC-Response  - 56,11,F000,545*0e1e * 24-03-2025 13:59:05.590
Command Sent HEATER OFF - #57,12,0*6558  * 24-03-2025 13:59:06.545
CRC-Response  - 57,12,F000*d0a4 * 24-03-2025 13:59:06.759
Command Sent HEATER DOOR OPEN - #58,8,1,1*c118  * 24-03-2025 13:59:07.441
CRC-Response  - 58,8,I001*28d8 * 24-03-2025 13:59:07.652
CRC-Response  - 58,8,F000*fc1a * 24-03-2025 13:59:07.994
Rack - 2Protocol Started * 24-03-2025 13:59:08.167
Command Sent Rack-2 Picked from L2 - #59,2,1,13934,16380,0,0*e019  * 24-03-2025 13:59:08.366
CRC-Response  - 59,2,I001,1*b056 * 24-03-2025 13:59:08.580
CRC-Response  - 59,2,F000,1*8f07 * 24-03-2025 13:59:14.987
RA Picked Rack From L2 * 24-03-2025 13:59:14.991
Command Sent Rack-2 Placed in H1 - #60,3,1,2688,1000,0,1*24be  * 24-03-2025 13:59:15.302
CRC-Response  - 60,3,I001,1*1748 * 24-03-2025 13:59:15.510
CRC-Response  - 60,3,F000,1*2819 * 24-03-2025 13:59:21.983
RA Placed Rack in H1 * 24-03-2025 13:59:21.987
Command Sent HEATER DOOR CLOSE - #61,8,1,0*1400  * 24-03-2025 13:59:22.295
CRC-Response  - 61,8,I001*b20c * 24-03-2025 13:59:22.509
CRC-Response  - 61,8,F000*66ce * 24-03-2025 13:59:22.848
Command Sent READ TEMPERATURE - #62,11*31f7  * 24-03-2025 13:59:23.199
CRC-Response  - 62,11,F000,545*8913 * 24-03-2025 13:59:23.417
Command Sent READ TEMPERATURE - #63,11*cdf6  * 24-03-2025 13:59:24.393
CRC-Response  - 63,11,F000,545*0811 * 24-03-2025 13:59:24.607
Command Sent READ TEMPERATURE - #64,11*b9f7  * 24-03-2025 13:59:33.575
CRC-Response  - 64,11,F000,545*4f1a * 24-03-2025 13:59:33.789
Command Sent READ TEMPERATURE - #65,11*45f6  * 24-03-2025 13:59:43.957
CRC-Response  - 65,11,F000,545*ce18 * 24-03-2025 13:59:44.172
Command Sent READ TEMPERATURE - #66,11*01f6  * 24-03-2025 13:59:54.335
CRC-Response  - 66,11,F000,545*0d1d * 24-03-2025 13:59:54.552
Command Sent READ TEMPERATURE - #67,11*fdf7  * 24-03-2025 14:00:04.723
CRC-Response  - 67,11,F000,545*8c1f * 24-03-2025 14:00:04.933
Command Sent READ TEMPERATURE - #68,11*e9f4  * 24-03-2025 14:00:15.88
CRC-Response  - 68,11,F000,545*830b * 24-03-2025 14:00:15.299
Command Sent READ TEMPERATURE - #69,11*15f5  * 24-03-2025 14:00:25.461
CRC-Response  - 69,11,F000,545*0209 * 24-03-2025 14:00:25.680
Command Sent READ TEMPERATURE - #70,11*49cb  * 24-03-2025 14:00:36.874
CRC-Response  - 70,11,F000,545*0a14 * 24-03-2025 14:00:37.150
Command Sent READ TEMPERATURE - #71,11*b5ca  * 24-03-2025 14:00:48.319
CRC-Response  - 71,11,F000,545*8b16 * 24-03-2025 14:00:48.533
Command Sent Rack-1 Picked from J1 - #72,2,1,10304,800,0,0*4d20  * 24-03-2025 14:00:51.515
CRC-Response  - 72,2,I001,1*ed2c * 24-03-2025 14:00:51.722
CRC-Response  - 72,2,F000,1*d27d * 24-03-2025 14:00:57.783
RA Picked Rack From J1 * 24-03-2025 14:00:57.788
Command Sent Rack-1 Placed in J2 - #73,3,1,13934,800 ,0,0*e9ec  * 24-03-2025 14:00:58.1
CRC-Response  - 73,3,I001,1*e4bc * 24-03-2025 14:00:58.220
CRC-Response  - 73,3,F000,1*dbed * 24-03-2025 14:01:03.828
RA Placed Rack in J2 * 24-03-2025 14:01:03.831
Command Sent READ TEMPERATURE - #74,11*79ca  * 24-03-2025 14:01:08.530
CRC-Response  - 74,11,F000,545*8e1a * 24-03-2025 14:01:08.735
Command Sent READ TEMPERATURE - #75,11*85cb  * 24-03-2025 14:01:18.883
CRC-Response  - 75,11,F000,545*0f18 * 24-03-2025 14:01:19.157
Command Sent READ TEMPERATURE - #76,11*c1cb  * 24-03-2025 14:01:29.315
CRC-Response  - 76,11,F000,545*cc1d * 24-03-2025 14:01:29.529
Command Sent READ TEMPERATURE - #77,11*3dca  * 24-03-2025 14:01:39.704
CRC-Response  - 77,11,F000,545*4d1f * 24-03-2025 14:01:39.918
Command Sent READ TEMPERATURE - #78,11*29c9  * 24-03-2025 14:01:50.84
CRC-Response  - 78,11,F000,545*420b * 24-03-2025 14:01:50.295
Command Sent READ TEMPERATURE - #79,11*d5c8  * 24-03-2025 14:02:00.451
CRC-Response  - 79,11,F000,545*c309 * 24-03-2025 14:02:00.658
Command Sent READ TEMPERATURE - #80,11*489f  * 24-03-2025 14:02:10.818
CRC-Response  - 80,11,F000,545*051b * 24-03-2025 14:02:11.39
Command Sent READ TEMPERATURE - #81,11*b49e  * 24-03-2025 14:02:21.208
CRC-Response  - 81,11,F000,545*8419 * 24-03-2025 14:02:21.420
Command Sent READ TEMPERATURE - #82,11*f09e  * 24-03-2025 14:02:31.586
CRC-Response  - 82,11,F000,545*471c * 24-03-2025 14:02:31.799
Command Sent READ TEMPERATURE - #83,11*0c9f  * 24-03-2025 14:02:41.988
CRC-Response  - 83,11,F000,545*c61e * 24-03-2025 14:02:42.203
Command Sent READ TEMPERATURE - #84,11*789e  * 24-03-2025 14:02:53.377
CRC-Response  - 84,11,F000,545*8115 * 24-03-2025 14:02:53.593
Command Sent READ TEMPERATURE - #85,11*849f  * 24-03-2025 14:03:03.757
CRC-Response  - 85,11,F000,545*0017 * 24-03-2025 14:03:03.973
Command Sent Rack-1 Picked from J2 - #86,2,1,13934,800 ,0,0*bf8e  * 24-03-2025 14:03:04.748
CRC-Response  - 86,2,I001,1*2c5d * 24-03-2025 14:03:04.961
CRC-Response  - 86,2,F000,1*130c * 24-03-2025 14:03:10.57
RA Picked Rack From J2 * 24-03-2025 14:03:10.61
Command Sent Rack-1 Placed in J4 - #87,3,1,21194,800 ,0,0*d426  * 24-03-2025 14:03:10.669
CRC-Response  - 87,3,I001,1*25cd * 24-03-2025 14:03:10.889
CRC-Response  - 87,3,F000,1*1a9c * 24-03-2025 14:03:16.898
RA Placed Rack in J4 * 24-03-2025 14:03:16.902
Command Sent READ TEMPERATURE - #88,11*289d  * 24-03-2025 14:03:20.757
CRC-Response  - 88,11,F000,545*4d04 * 24-03-2025 14:03:20.969
Command Sent READ TEMPERATURE - #89,11*d49c  * 24-03-2025 14:03:31.149
CRC-Response  - 89,11,F000,545*cc06 * 24-03-2025 14:03:31.363
Command Sent READ TEMPERATURE - #90,11*88a2  * 24-03-2025 14:03:41.534
CRC-Response  - 90,11,F000,545*c41b * 24-03-2025 14:03:41.749
Command Sent READ TEMPERATURE - #91,11*74a3  * 24-03-2025 14:03:51.902
CRC-Response  - 91,11,F000,545*4519 * 24-03-2025 14:03:52.118
Command Sent READ TEMPERATURE - #92,11*30a3  * 24-03-2025 14:04:02.283
CRC-Response  - 92,11,F000,545*861c * 24-03-2025 14:04:02.495
Command Sent READ TEMPERATURE - #93,11*cca2  * 24-03-2025 14:04:13.694
CRC-Response  - 93,11,F000,545*071e * 24-03-2025 14:04:13.909
Command Sent HEATER DOOR OPEN - #94,8,1,1*94d4  * 24-03-2025 14:04:22.902
CRC-Response  - 94,8,I001*7d8d * 24-03-2025 14:04:23.115
CRC-Response  - 94,8,F000*a94f * 24-03-2025 14:04:23.454
Command Sent Rack-2 Picked from H1 - #95,2,1,2688,1000,0,1*8677  * 24-03-2025 14:04:23.781
CRC-Response  - 95,2,I001,1*dfa9 * 24-03-2025 14:04:23.995
CRC-Response  - 95,2,F000,1*e0f8 * 24-03-2025 14:04:31.268
RA Picked Rack From H1 * 24-03-2025 14:04:31.271
Command Sent HEATER DOOR CLOSE - #96,8,1,0*9436  * 24-03-2025 14:04:31.755
CRC-Response  - 96,8,I001*a40c * 24-03-2025 14:04:31.967
CRC-Response  - 96,8,F000*70ce * 24-03-2025 14:04:32.306
Command Sent Rack-2 Placed in J1 - #97,3,1,10304,800,0,0*3ed4  * 24-03-2025 14:04:32.631
CRC-Response  - 97,3,I001,1*d9c9 * 24-03-2025 14:04:32.843
CRC-Response  - 97,3,F000,1*e698 * 24-03-2025 14:04:38.904
RA Placed Rack in J1 * 24-03-2025 14:04:38.910
Command Sent READ TEMPERATURE - #98,11*e8a0  * 24-03-2025 14:04:42.920
CRC-Response  - 98,11,F000,545*8c04 * 24-03-2025 14:04:43.135
Command Sent HEATER OFF - #99,12,0*4b95  * 24-03-2025 14:04:51.925
CRC-Response  - 99,12,F000*8f28 * 24-03-2025 14:04:52.139
Command Sent HEATER DOOR OPEN - #100,8,1,1*5442  * 24-03-2025 14:04:52.804
CRC-Response  - 100,8,I001*13cd * 24-03-2025 14:04:53.17
CRC-Response  - 100,8,F000*c70f * 24-03-2025 14:04:53.356
Rack - R3Protocol Started * 24-03-2025 14:04:53.515
Command Sent Rack-3 Picked from L3 - #101,2,1,10304,16380,0,0*e391  * 24-03-2025 14:04:53.702
CRC-Response  - 101,2,I001,1*f319 * 24-03-2025 14:04:53.909
CRC-Response  - 101,2,F000,1*cc48 * 24-03-2025 14:05:00.314
RA Picked Rack From L3 * 24-03-2025 14:05:00.318
Command Sent Rack-3 Placed in H1 - #102,3,1,2688,1000,0,1*d855  * 24-03-2025 14:05:00.641
CRC-Response  - 102,3,I001,1*3028 * 24-03-2025 14:05:00.856
CRC-Response  - 102,3,F000,1*0f79 * 24-03-2025 14:05:07.255
RA Placed Rack in H1 * 24-03-2025 14:05:07.261
Command Sent HEATER DOOR CLOSE - #103,8,1,0*94b0  * 24-03-2025 14:05:07.601
CRC-Response  - 103,8,I001*068d * 24-03-2025 14:05:07.810
CRC-Response  - 103,8,F000*d24f * 24-03-2025 14:05:08.151
Command Sent READ TEMPERATURE - #104,11*835f  * 24-03-2025 14:05:08.492
CRC-Response  - 104,11,F000,545*e306 * 24-03-2025 14:05:08.707
Command Sent READ TEMPERATURE - #105,11*7f5e  * 24-03-2025 14:05:09.806
CRC-Response  - 105,11,F000,545*6204 * 24-03-2025 14:05:10.17
Command Sent Rack-1 Picked from J4 - #106,2,1,21194,800 ,0,0*7a60  * 24-03-2025 14:05:17.502
CRC-Response  - 106,2,I001,1*29a8 * 24-03-2025 14:05:17.720
CRC-Response  - 106,2,F000,1*16f9 * 24-03-2025 14:05:24.982
RA Picked Rack From J4 * 24-03-2025 14:05:24.986
Command Sent Rack-1 Placed in J5 - #107,3,1,24824,800 ,0,0*6a39  * 24-03-2025 14:05:25.462
CRC-Response  - 107,3,I001,1*2038 * 24-03-2025 14:05:25.674
CRC-Response  - 107,3,F000,1*1f69 * 24-03-2025 14:05:31.280
RA Placed Rack in J5 * 24-03-2025 14:05:31.285
Command Sent READ TEMPERATURE - #108,11*d35c  * 24-03-2025 14:05:35.572
CRC-Response  - 108,11,F000,545*2f17 * 24-03-2025 14:05:35.776
Command Sent READ TEMPERATURE - #109,11*2f5d  * 24-03-2025 14:05:45.966
CRC-Response  - 109,11,F000,545*ae15 * 24-03-2025 14:05:46.173
Command Sent READ TEMPERATURE - #110,11*7363  * 24-03-2025 14:05:56.329
CRC-Response  - 110,11,F000,545*a608 * 24-03-2025 14:05:56.539
Command Sent READ TEMPERATURE - #111,11*8f62  * 24-03-2025 14:06:06.729
CRC-Response  - 111,11,F000,545*270a * 24-03-2025 14:06:06.945
Command Sent READ TEMPERATURE - #112,11*cb62  * 24-03-2025 14:06:17.108
CRC-Response  - 112,11,F000,545*e40f * 24-03-2025 14:06:17.323
Command Sent READ TEMPERATURE - #113,11*3763  * 24-03-2025 14:06:28.517
CRC-Response  - 113,11,F000,545*650d * 24-03-2025 14:06:28.738
Command Sent READ TEMPERATURE - #114,11*4362  * 24-03-2025 14:06:38.919
CRC-Response  - 114,11,F000,545*2206 * 24-03-2025 14:06:39.132
Command Sent Rack-2 Picked from J1 - #115,2,1,10304,800,0,0*7d07  * 24-03-2025 14:06:39.908
CRC-Response  - 115,2,I001,1*da5c * 24-03-2025 14:06:40.123
CRC-Response  - 115,2,F000,1*e50d * 24-03-2025 14:06:46.938
RA Picked Rack From J1 * 24-03-2025 14:06:46.943
Command Sent Rack-2 Placed in J2 - #116,3,1,13934,800 ,0,0*11e5  * 24-03-2025 14:06:47.391
CRC-Response  - 116,3,I001,1*196d * 24-03-2025 14:06:47.600
CRC-Response  - 116,3,F000,1*263c * 24-03-2025 14:06:53.199
RA Placed Rack in J2 * 24-03-2025 14:06:53.204
Command Sent READ TEMPERATURE - #117,11*0762  * 24-03-2025 14:06:57.929
CRC-Response  - 117,11,F000,545*e103 * 24-03-2025 14:06:58.143
Command Sent READ TEMPERATURE - #118,11*1361  * 24-03-2025 14:07:08.303
CRC-Response  - 118,11,F000,545*ee17 * 24-03-2025 14:07:08.514
Command Sent READ TEMPERATURE - #119,11*ef60  * 24-03-2025 14:07:19.712
CRC-Response  - 119,11,F000,545*6f15 * 24-03-2025 14:07:19.918
Command Sent READ TEMPERATURE - #120,11*7327  * 24-03-2025 14:07:30.96
CRC-Response  - 120,11,F000,545*a50b * 24-03-2025 14:07:30.301
Command Sent Rack-1 Picked from J5 - #121,2,1,24824,800 ,0,0*12c3  * 24-03-2025 14:07:32.344
CRC-Response  - 121,2,I001,1*4b12 * 24-03-2025 14:07:32.558
CRC-Response  - 121,2,F000,1*7443 * 24-03-2025 14:07:38.975
RA Picked Rack From J5 * 24-03-2025 14:07:38.979
Command Sent Rack-1 Placed in J6 - #122,3,1,28454,800 ,0,0*75cd  * 24-03-2025 14:07:39.271
CRC-Response  - 122,3,I001,1*8823 * 24-03-2025 14:07:39.484
CRC-Response  - 122,3,F000,1*b772 * 24-03-2025 14:07:45.92
RA Placed Rack in J6 * 24-03-2025 14:07:45.98
Command Sent READ TEMPERATURE - #123,11*3727  * 24-03-2025 14:07:49.380
CRC-Response  - 123,11,F000,545*660e * 24-03-2025 14:07:49.594
Command Sent READ TEMPERATURE - #124,11*4326  * 24-03-2025 14:07:59.757
CRC-Response  - 124,11,F000,545*2105 * 24-03-2025 14:07:59.969
Command Sent READ TEMPERATURE - #125,11*bf27  * 24-03-2025 14:08:10.140
CRC-Response  - 125,11,F000,545*a007 * 24-03-2025 14:08:10.353
Command Sent READ TEMPERATURE - #126,11*fb27  * 24-03-2025 14:08:20.531
CRC-Response  - 126,11,F000,545*6302 * 24-03-2025 14:08:20.746
Command Sent READ TEMPERATURE - #127,11*0726  * 24-03-2025 14:08:30.916
CRC-Response  - 127,11,F000,545*e200 * 24-03-2025 14:08:31.122
Command Sent READ TEMPERATURE - #128,11*1325  * 24-03-2025 14:08:42.314
CRC-Response  - 128,11,F000,545*ed14 * 24-03-2025 14:08:42.546
Command Sent READ TEMPERATURE - #129,11*ef24  * 24-03-2025 14:08:52.680
CRC-Response  - 129,11,F000,545*6c16 * 24-03-2025 14:08:52.895
Command Sent Rack-2 Picked from J2 - #130,2,1,13934,800 ,0,0*691f  * 24-03-2025 14:08:54.303
CRC-Response  - 130,2,I001,1*7247 * 24-03-2025 14:08:54.516
CRC-Response  - 130,2,F000,1*4d16 * 24-03-2025 14:09:01.344
RA Picked Rack From J2 * 24-03-2025 14:09:01.346
Command Sent Rack-2 Placed in J4 - #131,3,1,21194,800 ,0,0*02b7  * 24-03-2025 14:09:01.701
CRC-Response  - 131,3,I001,1*7bd7 * 24-03-2025 14:09:01.915
CRC-Response  - 131,3,F000,1*4486 * 24-03-2025 14:09:07.929
RA Placed Rack in J4 * 24-03-2025 14:09:07.932
Command Sent READ TEMPERATURE - #132,11*0b1b  * 24-03-2025 14:09:12.346
CRC-Response  - 132,11,F000,545*260c * 24-03-2025 14:09:12.555
Command Sent READ TEMPERATURE - #133,11*f71a  * 24-03-2025 14:09:22.714
CRC-Response  - 133,11,F000,545*a70e * 24-03-2025 14:09:22.923
Command Sent WATER VALVE - 1 CONTROL ON - #134,13,1,1*870a  * 24-03-2025 14:09:28.57
CRC-Response  - 134,13,F000*f1dc * 24-03-2025 14:09:28.283
Command Sent Rack-1 Picked from J6 - #135,2,1,28454,800 ,0,0*ef39  * 24-03-2025 14:09:46.62
CRC-Response  - 135,2,I001,1*6257 * 24-03-2025 14:09:46.283
CRC-Response  - 135,2,F000,1*5d06 * 24-03-2025 14:09:52.283
RA Picked Rack From J6 * 24-03-2025 14:09:52.287
Command Sent Rack-1 Placed in W1 - #136,3,1,42974,800 ,0,0*47d4  * 24-03-2025 14:09:52.534
CRC-Response  - 136,3,I001,1*a166 * 24-03-2025 14:09:52.745
CRC-Response  - 136,3,F000,1*9e37 * 24-03-2025 14:09:59.564
RA Placed Rack in W1 * 24-03-2025 14:09:59.570
Command Sent READ TEMPERATURE - #137,11*c71b  * 24-03-2025 14:10:03.210
