Command Sent WATER VALVE - 1 CONTROL OFF - #0,13,1,0*73eb  * 31-03-2025 13:12:19.368
Command Sent Level Sensing For L3 - #10,4,10304,16380,0,0*d9f6  * 31-03-2025 13:12:41.508
CRC-Response  - 10,4,I001*82eb * 31-03-2025 13:12:41.726
CRC-Response  - 10,4,F000,956*97a7 * 31-03-2025 13:12:43.997
L3 Value - 956 * 31-03-2025 13:12:44.21
Command Sent Home Command - #11,5,01111111*e264  * 31-03-2025 13:12:44.401
CRC-Response  - 11,5,I001,01111111*59be * 31-03-2025 13:12:44.611
CRC-Response  - 11,5,F000*4be9 * 31-03-2025 13:12:44.622
Command Sent Home Command - #12,5,01111111*e660  * 31-03-2025 13:12:49.823
CRC-Response  - 12,5,I001,01111111*a94e * 31-03-2025 13:12:50.36
CRC-Response  - 12,5,F000*5ea9 * 31-03-2025 13:12:50.44
Rack - 1Protocol Started * 31-03-2025 13:12:51.311
Command Sent Rack-1 Picked from L1 - #13,2,2,17564,16380,0,0*4d1e  * 31-03-2025 13:12:51.528
CRC-Response  - 13,2,I001,2*a123 * 31-03-2025 13:12:51.738
CRC-Response  - 13,2,F000,2*9e72 * 31-03-2025 13:12:58.906
RA Picked Rack From L1 * 31-03-2025 13:12:58.910
Command Sent Rack-1 Placed in J13 - #14,3,2,64754,800,0,0*9acd  * 31-03-2025 13:12:59.482
CRC-Response  - 14,3,I001,2*b753 * 31-03-2025 13:12:59.698
CRC-Response  - 14,3,F000,2*8802 * 31-03-2025 13:13:10.166
RA Placed Rack in J13 * 31-03-2025 13:13:10.177
Command Sent READ TEMPERATURE - #15,1,2,2688,800 ,0*3aa1  * 31-03-2025 13:13:15.910
CRC-Response  - 15,1,I001,2*ab83 * 31-03-2025 13:13:16.126
Command Sent READ TEMPERATURE - #16,11*c143  * 31-03-2025 13:13:16.296
CRC-Response  - 16,11,F000,-273*df2d * 31-03-2025 13:13:21.525
CRC-Response  - 15,1,F000,2*94d2 * 31-03-2025 13:13:23.895
Command Sent READ TEMPERATURE - #17,11*3d42  * 31-03-2025 13:13:25.921
CRC-Response  - 17,11,F000,-273*1e2d * 31-03-2025 13:13:26.137
Command Sent READ TEMPERATURE - #18,11*2941  * 31-03-2025 13:13:36.318
CRC-Response  - 18,11,F000,-273*1122 * 31-03-2025 13:13:36.533
Command Sent READ TEMPERATURE - #19,11*d540  * 31-03-2025 13:13:46.703
CRC-Response  - 19,11,F000,-273*d022 * 31-03-2025 13:13:46.920
Command Sent READ TEMPERATURE - #20,11*4907  * 31-03-2025 13:13:57.89
CRC-Response  - 20,11,F000,-273*d868 * 31-03-2025 13:13:57.303
Command Sent READ TEMPERATURE - #21,11*b506  * 31-03-2025 13:14:07.467
CRC-Response  - 21,11,F000,-273*1968 * 31-03-2025 13:14:07.681
Command Sent READ TEMPERATURE - #22,11*f106  * 31-03-2025 13:14:17.847
CRC-Response  - 22,11,F000,-273*1a6b * 31-03-2025 13:14:18.66
Command Sent READ TEMPERATURE - #23,11*0d07  * 31-03-2025 13:14:28.236
CRC-Response  - 23,11,F000,-273*db6b * 31-03-2025 13:14:28.573
Command Sent READ TEMPERATURE - #24,11*7906  * 31-03-2025 13:14:38.734
CRC-Response  - 24,11,F000,-273*1c6d * 31-03-2025 13:14:38.949
Command Sent READ TEMPERATURE - #25,11*8507  * 31-03-2025 13:14:49.125
CRC-Response  - 25,11,F000,-273*dd6d * 31-03-2025 13:14:49.337
Command Sent READ TEMPERATURE - #26,11*c107  * 31-03-2025 13:15:00.541
CRC-Response  - 26,11,F000,-273*de6e * 31-03-2025 13:15:00.754
Command Sent Rack-1 Picked from J13 - #27,2,1,64754,800,0,0*7cdf  * 31-03-2025 13:15:10.771
CRC-Response  - 27,2,I001,1*312d * 31-03-2025 13:15:10.988
CRC-Response  - 27,2,F000,1*0e7c * 31-03-2025 13:15:16.334
RA Picked Rack From J13 * 31-03-2025 13:15:16.338
Command Sent Rack-1 Placed in J12 - #28,3,1,61124,800,0,0*a77a  * 31-03-2025 13:15:16.692
CRC-Response  - 28,3,I001,1*cddc * 31-03-2025 13:15:16.904
CRC-Response  - 28,3,F000,1*f28d * 31-03-2025 13:15:22.512
RA Placed Rack in J12 * 31-03-2025 13:15:22.516
Command Sent READ TEMPERATURE - #29,11*d504  * 31-03-2025 13:15:26.834
CRC-Response  - 29,11,F000,-273*d161 * 31-03-2025 13:15:27.50
Command Sent READ TEMPERATURE - #30,11*893a  * 31-03-2025 13:15:37.213
CRC-Response  - 30,11,F000,-273*d8a9 * 31-03-2025 13:15:37.427
Command Sent READ TEMPERATURE - #31,11*753b  * 31-03-2025 13:15:47.604
CRC-Response  - 31,11,F000,-273*19a9 * 31-03-2025 13:15:47.815
Command Sent READ TEMPERATURE - #32,11*313b  * 31-03-2025 13:15:57.990
CRC-Response  - 32,11,F000,-273*1aaa * 31-03-2025 13:15:58.203
Command Sent READ TEMPERATURE - #33,11*cd3a  * 31-03-2025 13:16:08.352
CRC-Response  - 33,11,F000,-273*dbaa * 31-03-2025 13:16:08.561
Command Sent READ TEMPERATURE - #34,11*b93b  * 31-03-2025 13:16:18.727
CRC-Response  - 34,11,F000,-273*1cac * 31-03-2025 13:16:19.156
Command Sent READ TEMPERATURE - #35,11*453a  * 31-03-2025 13:16:29.336
CRC-Response  - 35,11,F000,-273*ddac * 31-03-2025 13:16:29.543
Command Sent READ TEMPERATURE - #36,11*013a  * 31-03-2025 13:16:39.709
CRC-Response  - 36,11,F000,-273*deaf * 31-03-2025 13:16:39.924
Command Sent READ TEMPERATURE - #37,11*fd3b  * 31-03-2025 13:16:50.80
CRC-Response  - 37,11,F000,-273*1faf * 31-03-2025 13:16:50.292
Command Sent READ TEMPERATURE - #38,11*e938  * 31-03-2025 13:17:00.453
CRC-Response  - 38,11,F000,-273*10a0 * 31-03-2025 13:17:00.662
Command Sent READ TEMPERATURE - #39,11*1539  * 31-03-2025 13:17:11.819
CRC-Response  - 39,11,F000,-273*d1a0 * 31-03-2025 13:17:12.31
Command Sent READ TEMPERATURE - #40,11*498f  * 31-03-2025 13:17:22.192
CRC-Response  - 40,11,F000,-273*daee * 31-03-2025 13:17:22.409
Command Sent Rack-1 Picked from J12 - #41,2,1,61124,800,0,0*cc7c  * 31-03-2025 13:17:23.511
CRC-Response  - 41,2,I001,1*a6d3 * 31-03-2025 13:17:23.728
CRC-Response  - 41,2,F000,1*9982 * 31-03-2025 13:17:28.812
RA Picked Rack From J12 * 31-03-2025 13:17:28.816
Command Sent Rack-1 Placed in J11 - #42,3,1,57494,800,0,0*fa04  * 31-03-2025 13:17:29.469
CRC-Response  - 42,3,I001,1*65e2 * 31-03-2025 13:17:29.683
CRC-Response  - 42,3,F000,1*5ab3 * 31-03-2025 13:17:35.298
RA Placed Rack in J11 * 31-03-2025 13:17:35.300
Command Sent Home Command - #43,5,00111111*e081  * 31-03-2025 13:17:36.447
CRC-Response  - 43,5,I001,00111111*341f * 31-03-2025 13:17:36.663
CRC-Response  - 43,5,F000*c257 * 31-03-2025 13:17:36.666
Rack - 2Protocol Started * 31-03-2025 13:17:37.176
Command Sent Rack-2 Picked from L2 - #44,2,2,13934,16380,0,0*c1e5  * 31-03-2025 13:17:37.364
CRC-Response  - 44,2,I001,2*b783 * 31-03-2025 13:17:37.573
CRC-Response  - 44,2,F000,2*88d2 * 31-03-2025 13:17:44.346
RA Picked Rack From L2 * 31-03-2025 13:17:44.350
Command Sent Rack-2 Placed in J13 - #45,3,2,64754,800,0,0*333c  * 31-03-2025 13:17:44.778
CRC-Response  - 45,3,I001,2*be13 * 31-03-2025 13:17:44.985
CRC-Response  - 45,3,F000,2*8142 * 31-03-2025 13:17:55.860
RA Placed Rack in J13 * 31-03-2025 13:17:55.864
Command Sent Rack-2 Placed in J13 - #46,1,2,2688,800 ,0*0741  * 31-03-2025 13:17:56.710
CRC-Response  - 46,1,I001,2*6862 * 31-03-2025 13:17:56.924
CRC-Response  - 46,1,F000,2*5733 * 31-03-2025 13:18:04.699
Command Sent READ TEMPERATURE - #47,11*3d8e  * 31-03-2025 13:18:05.599
CRC-Response  - 47,11,F000,-273*1de8 * 31-03-2025 13:18:05.813
Command Sent READ TEMPERATURE - #48,11*298d  * 31-03-2025 13:18:15.981
CRC-Response  - 48,11,F000,-273*12e7 * 31-03-2025 13:18:16.189
Command Sent READ TEMPERATURE - #49,11*d58c  * 31-03-2025 13:18:26.359
CRC-Response  - 49,11,F000,-273*d3e7 * 31-03-2025 13:18:26.573
Command Sent READ TEMPERATURE - #50,11*89b2  * 31-03-2025 13:18:36.750
CRC-Response  - 50,11,F000,-273*da2f * 31-03-2025 13:18:36.967
Command Sent READ TEMPERATURE - #51,11*75b3  * 31-03-2025 13:18:47.137
CRC-Response  - 51,11,F000,-273*1b2f * 31-03-2025 13:18:47.349
Command Sent READ TEMPERATURE - #52,11*31b3  * 31-03-2025 13:18:57.528
CRC-Response  - 52,11,F000,-273*182c * 31-03-2025 13:18:57.738
Command Sent READ TEMPERATURE - #53,11*cdb2  * 31-03-2025 13:19:07.908
CRC-Response  - 53,11,F000,-273*d92c * 31-03-2025 13:19:08.121
Command Sent READ TEMPERATURE - #54,11*b9b3  * 31-03-2025 13:19:19.301
CRC-Response  - 54,11,F000,-273*1e2a * 31-03-2025 13:19:19.517
Command Sent READ TEMPERATURE - #55,11*45b2  * 31-03-2025 13:19:30.676
CRC-Response  - 55,11,F000,-273*df2a * 31-03-2025 13:19:30.892
Command Sent Rack-1 Picked from J11 - #56,2,1,57494,800,0,0*8b99  * 31-03-2025 13:19:36.298
CRC-Response  - 56,2,I001,1*8066 * 31-03-2025 13:19:36.510
CRC-Response  - 56,2,F000,1*bf37 * 31-03-2025 13:19:42.666
RA Picked Rack From J11 * 31-03-2025 13:19:42.671
Command Sent Rack-1 Placed in J10 - #57,3,1,53864,800,0,0*480b  * 31-03-2025 13:19:43.189
CRC-Response  - 57,3,I001,1*89f6 * 31-03-2025 13:19:43.403
CRC-Response  - 57,3,F000,1*b6a7 * 31-03-2025 13:19:49.17
RA Placed Rack in J10 * 31-03-2025 13:19:49.20
Command Sent READ TEMPERATURE - #58,11*e9b0  * 31-03-2025 13:19:53.323
CRC-Response  - 58,11,F000,-273*1226 * 31-03-2025 13:19:53.537
Command Sent Rack-2 Picked from J13 - #59,2,1,64754,800,0,0*2200  * 31-03-2025 13:19:56.504
CRC-Response  - 59,2,I001,1*b056 * 31-03-2025 13:19:56.720
CRC-Response  - 59,2,F000,1*8f07 * 31-03-2025 13:20:03.135
RA Picked Rack From J13 * 31-03-2025 13:20:03.140
Command Sent Rack-2 Placed in J12 - #60,3,1,61124,800,0,0*4269  * 31-03-2025 13:20:03.462
CRC-Response  - 60,3,I001,1*1748 * 31-03-2025 13:20:03.675
CRC-Response  - 60,3,F000,1*2819 * 31-03-2025 13:20:09.281
RA Placed Rack in J12 * 31-03-2025 13:20:09.285
Command Sent READ TEMPERATURE - #61,11*75f7  * 31-03-2025 13:20:13.513
CRC-Response  - 61,11,F000,-273*1a6c * 31-03-2025 13:20:13.728
Command Sent READ TEMPERATURE - #62,11*31f7  * 31-03-2025 13:20:23.920
CRC-Response  - 62,11,F000,-273*196f * 31-03-2025 13:20:24.139
Command Sent READ TEMPERATURE - #63,11*cdf6  * 31-03-2025 13:20:34.303
CRC-Response  - 63,11,F000,-273*d86f * 31-03-2025 13:20:34.518
Command Sent READ TEMPERATURE - #64,11*b9f7  * 31-03-2025 13:20:44.698
CRC-Response  - 64,11,F000,-273*1f69 * 31-03-2025 13:20:44.913
Command Sent READ TEMPERATURE - #65,11*45f6  * 31-03-2025 13:20:55.104
CRC-Response  - 65,11,F000,-273*de69 * 31-03-2025 13:20:55.309
Command Sent READ TEMPERATURE - #66,11*01f6  * 31-03-2025 13:21:05.459
CRC-Response  - 66,11,F000,-273*dd6a * 31-03-2025 13:21:05.673
Command Sent READ TEMPERATURE - #67,11*fdf7  * 31-03-2025 13:21:15.822
CRC-Response  - 67,11,F000,-273*1c6a * 31-03-2025 13:21:16.33
Command Sent READ TEMPERATURE - #68,11*e9f4  * 31-03-2025 13:21:26.207
CRC-Response  - 68,11,F000,-273*1365 * 31-03-2025 13:21:26.426
Command Sent READ TEMPERATURE - #69,11*15f5  * 31-03-2025 13:21:37.600
CRC-Response  - 69,11,F000,-273*d265 * 31-03-2025 13:21:37.814
Command Sent READ TEMPERATURE - #70,11*49cb  * 31-03-2025 13:21:47.974
CRC-Response  - 70,11,F000,-273*dbad * 31-03-2025 13:21:48.187
Command Sent Rack-1 Picked from J10 - #71,2,1,53864,800,0,0*b2ab  * 31-03-2025 13:21:49.937
CRC-Response  - 71,2,I001,1*e2dc * 31-03-2025 13:21:50.148
CRC-Response  - 71,2,F000,1*dd8d * 31-03-2025 13:21:56.162
RA Picked Rack From J10 * 31-03-2025 13:21:56.166
Command Sent Rack-1 Placed in J9 - #72,3,1,39344,800,0,0*562b  * 31-03-2025 13:21:56.394
CRC-Response  - 72,3,I001,1*21ed * 31-03-2025 13:21:56.607
CRC-Response  - 72,3,F000,1*1ebc * 31-03-2025 13:22:03.434
RA Placed Rack in J9 * 31-03-2025 13:22:03.444
Command Sent READ TEMPERATURE - #73,11*0dcb  * 31-03-2025 13:22:06.999
CRC-Response  - 73,11,F000,-273*d8ae * 31-03-2025 13:22:07.211
Command Sent Rack-2 Picked from J12 - #74,2,1,61124,800,0,0*33f4  * 31-03-2025 13:22:10.322
CRC-Response  - 74,2,I001,1*f2cc * 31-03-2025 13:22:10.533
CRC-Response  - 74,2,F000,1*cd9d * 31-03-2025 13:22:18.183
RA Picked Rack From J12 * 31-03-2025 13:22:18.187
Command Sent Rack-2 Placed in J11 - #75,3,1,57494,800,0,0*bdf5  * 31-03-2025 13:22:18.784
CRC-Response  - 75,3,I001,1*fb5c * 31-03-2025 13:22:18.991
CRC-Response  - 75,3,F000,1*c40d * 31-03-2025 13:22:24.607
RA Placed Rack in J11 * 31-03-2025 13:22:24.610
Command Sent READ TEMPERATURE - #76,11*c1cb  * 31-03-2025 13:22:29.372
CRC-Response  - 76,11,F000,-273*ddab * 31-03-2025 13:22:29.585
Command Sent READ TEMPERATURE - #77,11*3dca  * 31-03-2025 13:22:39.767
CRC-Response  - 77,11,F000,-273*1cab * 31-03-2025 13:22:40.13
Command Sent Home Command - #78,5,00111111*f861  * 31-03-2025 13:22:40.398
CRC-Response  - 78,5,I001,00111111*4298 * 31-03-2025 13:22:40.617
CRC-Response  - 78,5,F000*8102 * 31-03-2025 13:22:40.621
Rack - R3Protocol Started * 31-03-2025 13:22:41.126
Command Sent Rack-3 Picked from L3 - #79,2,2,10304,16380,0,0*c455  * 31-03-2025 13:22:41.307
CRC-Response  - 79,2,I001,2*091d * 31-03-2025 13:22:41.523
CRC-Response  - 79,2,F000,2*364c * 31-03-2025 13:22:47.993
RA Picked Rack From L3 * 31-03-2025 13:22:47.996
Command Sent Rack-3 Placed in J13 - #80,3,2,64754,800,0,0*32e0  * 31-03-2025 13:22:48.240
CRC-Response  - 80,3,I001,2*fe3c * 31-03-2025 13:22:48.455
CRC-Response  - 80,3,F000,2*c16d * 31-03-2025 13:22:59.732
RA Placed Rack in J13 * 31-03-2025 13:22:59.735
Command Sent Rack-3 Placed in J13 - #81,1,2,2688,800 ,0*6530  * 31-03-2025 13:23:00.696
CRC-Response  - 81,1,I001,2*e2ec * 31-03-2025 13:23:00.912
CRC-Response  - 81,1,F000,2*ddbd * 31-03-2025 13:23:08.684
Command Sent READ TEMPERATURE - #82,11*f09e  * 31-03-2025 13:23:09.197
CRC-Response  - 82,11,F000,-273*1de1 * 31-03-2025 13:23:09.413
Command Sent READ TEMPERATURE - #83,11*0c9f  * 31-03-2025 13:23:19.575
CRC-Response  - 83,11,F000,-273*dce1 * 31-03-2025 13:23:19.790
Command Sent READ TEMPERATURE - #84,11*789e  * 31-03-2025 13:23:29.955
CRC-Response  - 84,11,F000,-273*1be7 * 31-03-2025 13:23:30.164
Command Sent READ TEMPERATURE - #85,11*849f  * 31-03-2025 13:23:40.342
CRC-Response  - 85,11,F000,-273*dae7 * 31-03-2025 13:23:40.548
Command Sent WATER VALVE - 3 CONTROL ON - #86,13,3,1*6372  * 31-03-2025 13:23:46.123
CRC-Response  - 86,13,F000*6b39 * 31-03-2025 13:23:46.340
Command Sent Rack-1 Picked from J9 - #87,2,1,39344,800,0,0*f4e2  * 31-03-2025 13:24:04.238
CRC-Response  - 87,2,I001,1*e90c * 31-03-2025 13:24:04.451
CRC-Response  - 87,2,F000,1*d65d * 31-03-2025 13:24:12.626
RA Picked Rack From J9 * 31-03-2025 13:24:12.628
Command Sent Rack-1 Placed in W3 - #88,3,1,50234,800,0,0*8d44  * 31-03-2025 13:24:13.154
CRC-Response  - 88,3,I001,1*15fd * 31-03-2025 13:24:13.370
CRC-Response  - 88,3,F000,1*2aac * 31-03-2025 13:24:19.791
RA Placed Rack in W3 * 31-03-2025 13:24:19.794
Command Sent READ TEMPERATURE - #89,11*d49c  * 31-03-2025 13:24:23.325
CRC-Response  - 89,11,F000,-273*d6eb * 31-03-2025 13:24:23.542
Command Sent Rack-2 Picked from J11 - #90,2,1,57494,800,0,0*ce01  * 31-03-2025 13:24:25.448
CRC-Response  - 90,2,I001,1*cfb9 * 31-03-2025 13:24:25.666
CRC-Response  - 90,2,F000,1*f0e8 * 31-03-2025 13:24:31.673
RA Picked Rack From J11 * 31-03-2025 13:24:31.676
Command Sent Rack-2 Placed in J10 - #91,3,1,53864,800,0,0*0d93  * 31-03-2025 13:24:31.875
CRC-Response  - 91,3,I001,1*c629 * 31-03-2025 13:24:32.91
CRC-Response  - 91,3,F000,1*f978 * 31-03-2025 13:24:37.687
RA Placed Rack in J10 * 31-03-2025 13:24:37.692
Command Sent READ TEMPERATURE - #92,11*30a3  * 31-03-2025 13:24:42.471
CRC-Response  - 92,11,F000,-273*1d20 * 31-03-2025 13:24:42.689
Command Sent READ TEMPERATURE - #93,11*cca2  * 31-03-2025 13:24:59.878
CRC-Response  - 93,11,F000,-273*dc20 * 31-03-2025 13:25:00.90
Command Sent Rack-3 Picked from J13 - #94,2,1,64754,800,0,0*423e  * 31-03-2025 13:25:00.521
CRC-Response  - 94,2,I001,1*1af8 * 31-03-2025 13:25:00.735
CRC-Response  - 94,2,F000,1*25a9 * 31-03-2025 13:25:07.172
RA Picked Rack From J13 * 31-03-2025 13:25:07.175
Command Sent Rack-3 Placed in J12 - #95,3,1,61124,800,0,0*70f1  * 31-03-2025 13:25:07.502
CRC-Response  - 95,3,I001,1*1368 * 31-03-2025 13:25:07.710
CRC-Response  - 95,3,F000,1*2c39 * 31-03-2025 13:25:13.328
RA Placed Rack in J12 * 31-03-2025 13:25:13.334
Command Sent READ TEMPERATURE - #96,11*00a2  * 31-03-2025 13:25:17.594
CRC-Response  - 96,11,F000,-273*d925 * 31-03-2025 13:25:17.812
Command Sent READ TEMPERATURE - #97,11*fca3  * 31-03-2025 13:25:27.976
CRC-Response  - 97,11,F000,-273*1825 * 31-03-2025 13:25:28.183
Command Sent READ TEMPERATURE - #98,11*e8a0  * 31-03-2025 13:25:38.367
CRC-Response  - 98,11,F000,-273*172a * 31-03-2025 13:25:38.578
Command Sent READ TEMPERATURE - #99,11*14a1  * 31-03-2025 13:25:48.744
CRC-Response  - 99,11,F000,-273*d62a * 31-03-2025 13:25:48.962
Command Sent READ TEMPERATURE - #100,11*b35e  * 31-03-2025 13:25:59.131
CRC-Response  - 100,11,F000,-273*12c1 * 31-03-2025 13:25:59.341
Command Sent READ TEMPERATURE - #101,11*4f5f  * 31-03-2025 13:26:10.516
CRC-Response  - 101,11,F000,-273*d3c1 * 31-03-2025 13:26:10.726
Command Sent WATER VALVE - 3 CONTROL OFF - #102,13,3,0*5dfe  * 31-03-2025 13:26:20.530
CRC-Response  - 102,13,F000*5e07 * 31-03-2025 13:26:20.743
Command Sent Rack-1 Picked from W3 - #103,2,1,50234,800,0,0*5348  * 31-03-2025 13:26:20.918
CRC-Response  - 103,2,I001,1*39b8 * 31-03-2025 13:26:21.131
CRC-Response  - 103,2,F000,1*06e9 * 31-03-2025 13:26:27.553
RA Picked Rack From W3 * 31-03-2025 13:26:27.557
Command Sent Rack-1 Placed in J8 - #104,3,1,35714,800,0,0*7b19  * 31-03-2025 13:26:27.895
CRC-Response  - 104,3,I001,1*2fc8 * 31-03-2025 13:26:28.114
CRC-Response  - 104,3,F000,1*1099 * 31-03-2025 13:26:34.937
RA Placed Rack in J8 * 31-03-2025 13:26:34.943
Command Sent Rack-1 Placed in J8 - #105,1,1,64754,800 ,0*7eb6  * 31-03-2025 13:26:35.826
CRC-Response  - 105,1,I001,1*3318 * 31-03-2025 13:26:36.40
5 Seconds Timer increments in Jar J10 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 31-03-2025 13:26:38.417
CRC-Response  - 105,1,F000,1*0c49 * 31-03-2025 13:26:40.127
Command Sent Rack-2 Picked from J10 - #106,2,1,53864,800,0,0*53b1  * 31-03-2025 13:26:43.606
CRC-Response  - 106,2,I001,1*29a8 * 31-03-2025 13:26:43.825
CRC-Response  - 106,2,F000,1*16f9 * 31-03-2025 13:26:50.241
RA Picked Rack From J10 * 31-03-2025 13:26:50.243
Command Sent Rack-2 Placed in J9 - #107,3,1,39344,800,0,0*0f48  * 31-03-2025 13:26:50.518
CRC-Response  - 107,3,I001,1*2038 * 31-03-2025 13:26:50.732
CRC-Response  - 107,3,F000,1*1f69 * 31-03-2025 13:26:57.572
RA Placed Rack in J9 * 31-03-2025 13:26:57.574
Command Sent READ TEMPERATURE - #108,11*d35c  * 31-03-2025 13:27:00.646
CRC-Response  - 108,11,F000,-273*dac8 * 31-03-2025 13:27:00.857
Command Sent Rack-3 Picked from J12 - #109,2,1,61124,800,0,0*0b75  * 31-03-2025 13:27:14.319
CRC-Response  - 109,2,I001,1*1998 * 31-03-2025 13:27:14.524
CRC-Response  - 109,2,F000,1*26c9 * 31-03-2025 13:27:22.171
RA Picked Rack From J12 * 31-03-2025 13:27:22.176
Command Sent Rack-3 Placed in J11 - #110,3,1,57494,800,0,0*35ab  * 31-03-2025 13:27:22.779
CRC-Response  - 110,3,I001,1*068d * 31-03-2025 13:27:22.993
CRC-Response  - 110,3,F000,1*39dc * 31-03-2025 13:27:28.602
RA Placed Rack in J11 * 31-03-2025 13:27:28.607
Command Sent READ TEMPERATURE - #111,11*8f62  * 31-03-2025 13:27:33.66
CRC-Response  - 111,11,F000,-273*d300 * 31-03-2025 13:27:33.277
Command Sent READ TEMPERATURE - #112,11*cb62  * 31-03-2025 13:27:43.450
CRC-Response  - 112,11,F000,-273*d003 * 31-03-2025 13:27:43.666
Command Sent Home Command - #113,5,00111111*fe15  * 31-03-2025 13:27:44.284
CRC-Response  - 113,5,I001,00111111*c128 * 31-03-2025 13:27:44.505
CRC-Response  - 113,5,F000*5f43 * 31-03-2025 13:27:44.512
Command Sent READ TEMPERATURE - #114,11*4362  * 31-03-2025 13:28:02.210
CRC-Response  - 114,11,F000,-273*d605 * 31-03-2025 13:28:02.549
Command Sent READ TEMPERATURE - #115,11*bf63  * 31-03-2025 13:28:17.766
CRC-Response  - 115,11,F000,-273*1705 * 31-03-2025 13:28:17.977
Command Sent READ TEMPERATURE - #116,11*fb63  * 31-03-2025 13:28:33.174
CRC-Response  - 116,11,F000,-273*1406 * 31-03-2025 13:28:33.382
Command Sent WATER VALVE - 3 CONTROL ON - #117,13,3,1*32f2  * 31-03-2025 13:28:40.365
CRC-Response  - 117,13,F000*cb69 * 31-03-2025 13:28:40.584
11 Seconds Timer increments in Jar J9 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 31-03-2025 13:28:58.275
11 Seconds Timer increments in Jar J9 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 31-03-2025 13:29:09.323
Command Sent WATER VALVE - 1 CONTROL ON - #118,13,1,1*b213  * 31-03-2025 13:29:17.976
CRC-Response  - 118,13,F000*3b28 * 31-03-2025 13:29:18.238
11 Seconds Timer increments in Jar J9 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 31-03-2025 13:29:20.352
11 Secconds Timer increments in Jar J11 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 31-03-2025 13:29:29.431
11 Seconds Timer increments in Jar J9 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 31-03-2025 13:29:31.386
11 Seconds Timer increments in Jar J8 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 31-03-2025 13:29:35.873
